year,category,value
2024,Abduction,0
2024,Arson,12
2024,Assault with the intent to inflict grievous bodily harm,187
2024,Attempted murder,16
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,84
2024,Burglary at residential premises,120
2024,Carjacking,7
2024,Commercial crime,121
2024,Common assault,128
2024,Common robbery,32
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,34
2024,Drug-related crime,64
2024,Illegal possession of firearms and ammunition,5
2024,Kidnapping,1
2024,Malicious damage to property,107
2024,Murder,12
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,59
2024,Robbery at non-residential premises,37
2024,Robbery at residential premises,9
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,91
2024,Sexual Offences detected as a result of police action,42
2024,Sexual assault,7
2024,Shoplifting,66
2024,Stock-theft,9
2024,Street Robbery,54
2024,TRIO crimes,53
2024,Theft of motor vehicle and motorcycle,6
2024,Theft out of or from motor vehicle,38
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,176
2023,Attempted murder,22
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,87
2023,Burglary at residential premises,109
2023,Carjacking,11
2023,Commercial crime,134
2023,Common assault,103
2023,Common robbery,30
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,13
2023,Drug-related crime,32
2023,Illegal possession of firearms and ammunition,6
2023,Kidnapping,5
2023,Malicious damage to property,101
2023,Murder,18
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,56
2023,Robbery at non-residential premises,52
2023,Robbery at residential premises,32
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,119
2023,Sexual Offences detected as a result of police action,22
2023,Sexual assault,4
2023,Shoplifting,45
2023,Stock-theft,3
2023,Street Robbery,24
2023,TRIO crimes,95
2023,Theft of motor vehicle and motorcycle,9
2023,Theft out of or from motor vehicle,28
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,173
2022,Attempted murder,22
2022,Attempted sexual offences,7
2022,Bank robbery,0
2022,Burglary at non-residential premises,114
2022,Burglary at residential premises,174
2022,Carjacking,12
2022,Commercial crime,114
2022,Common assault,78
2022,Common robbery,20
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,45
2022,Drug-related crime,17
2022,Illegal possession of firearms and ammunition,3
2022,Kidnapping,4
2022,Malicious damage to property,84
2022,Murder,17
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,29
2022,Robbery at non-residential premises,31
2022,Robbery at residential premises,34
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,133
2022,Sexual Offences detected as a result of police action,20
2022,Sexual assault,6
2022,Shoplifting,47
2022,Stock-theft,10
2022,Street Robbery,55
2022,TRIO crimes,77
2022,Theft of motor vehicle and motorcycle,15
2022,Theft out of or from motor vehicle,35
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,132
2021,Attempted murder,5
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,94
2021,Burglary at residential premises,146
2021,Carjacking,6
2021,Commercial crime,89
2021,Common assault,77
2021,Common robbery,15
2021,Contact sexual offences,0
2021,Crimen Injuria,8
2021,Culpable homicide,8
2021,Driving under the influence of alcohol or drugs,33
2021,Drug-related crime,12
2021,Illegal possession of firearms and ammunition,0
2021,Kidnapping,4
2021,Malicious damage to property,82
2021,Murder,14
2021,Neglect and ill-treatment of children,4
2021,Public violence,0
2021,Rape,34
2021,Robbery at non-residential premises,25
2021,Robbery at residential premises,50
2021,Robbery of cash in transit,3
2021,Robbery with aggravating circumstances,118
2021,Sexual Offences detected as a result of police action,23
2021,Sexual assault,8
2021,Shoplifting,45
2021,Stock-theft,13
2021,Street Robbery,34
2021,TRIO crimes,81
2021,Theft of motor vehicle and motorcycle,6
2021,Theft out of or from motor vehicle,31
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,7
2020,Assault with the intent to inflict grievous bodily harm,132
2020,Attempted murder,13
2020,Attempted sexual offences,4
2020,Bank robbery,0
2020,Burglary at non-residential premises,97
2020,Burglary at residential premises,253
2020,Carjacking,4
2020,Commercial crime,86
2020,Common assault,76
2020,Common robbery,19
2020,Contact sexual offences,1
2020,Crimen Injuria,2
2020,Culpable homicide,7
2020,Driving under the influence of alcohol or drugs,53
2020,Drug-related crime,8
2020,Illegal possession of firearms and ammunition,0
2020,Kidnapping,3
2020,Malicious damage to property,105
2020,Murder,8
2020,Neglect and ill-treatment of children,4
2020,Public violence,2
2020,Rape,46
2020,Robbery at non-residential premises,37
2020,Robbery at residential premises,21
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,101
2020,Sexual Offences detected as a result of police action,43
2020,Sexual assault,3
2020,Shoplifting,54
2020,Stock-theft,14
2020,Street Robbery,39
2020,TRIO crimes,62
2020,Theft of motor vehicle and motorcycle,7
2020,Theft out of or from motor vehicle,43
2020,Truck hijacking,0
2019,Abduction,1
2019,Arson,7
2019,Assault with the intent to inflict grievous bodily harm,169
2019,Attempted murder,13
2019,Attempted sexual offences,5
2019,Bank robbery,0
2019,Burglary at non-residential premises,95
2019,Burglary at residential premises,224
2019,Carjacking,7
2019,Commercial crime,75
2019,Common assault,93
2019,Common robbery,30
2019,Contact sexual offences,1
2019,Crimen Injuria,13
2019,Culpable homicide,15
2019,Driving under the influence of alcohol or drugs,29
2019,Drug-related crime,179
2019,Illegal possession of firearms and ammunition,16
2019,Kidnapping,3
2019,Malicious damage to property,85
2019,Murder,14
2019,Neglect and ill-treatment of children,0
2019,Public violence,5
2019,Rape,41
2019,Robbery at non-residential premises,21
2019,Robbery at residential premises,41
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,99
2019,Sexual Offences detected as a result of police action,26
2019,Sexual assault,5
2019,Shoplifting,55
2019,Stock-theft,9
2019,Street Robbery,30
2019,TRIO crimes,69
2019,Theft of motor vehicle and motorcycle,7
2019,Theft out of or from motor vehicle,33
2019,Truck hijacking,0
2018,Abduction,1
2018,Arson,14
2018,Assault with the intent to inflict grievous bodily harm,204
2018,Attempted murder,19
2018,Attempted sexual offences,2
2018,Bank robbery,0
2018,Burglary at non-residential premises,119
2018,Burglary at residential premises,186
2018,Carjacking,9
2018,Commercial crime,74
2018,Common assault,95
2018,Common robbery,26
2018,Contact sexual offences,1
2018,Crimen Injuria,7
2018,Culpable homicide,19
2018,Driving under the influence of alcohol or drugs,19
2018,Drug-related crime,273
2018,Illegal possession of firearms and ammunition,9
2018,Kidnapping,2
2018,Malicious damage to property,69
2018,Murder,17
2018,Neglect and ill-treatment of children,1
2018,Public violence,1
2018,Rape,37
2018,Robbery at non-residential premises,40
2018,Robbery at residential premises,31
