year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,216
2024,Attempted murder,55
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,111
2024,Burglary at residential premises,142
2024,Carjacking,27
2024,Commercial crime,174
2024,Common assault,166
2024,Common robbery,34
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,12
2024,Drug-related crime,141
2024,Illegal possession of firearms and ammunition,46
2024,Kidnapping,15
2024,Malicious damage to property,116
2024,Murder,23
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,36
2024,Robbery at non-residential premises,35
2024,Robbery at residential premises,22
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,202
2024,Sexual Offences detected as a result of police action,102
2024,Sexual assault,13
2024,Shoplifting,99
2024,Stock-theft,16
2024,Street Robbery,85
2024,TRIO crimes,84
2024,Theft of motor vehicle and motorcycle,14
2024,Theft out of or from motor vehicle,76
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,248
2023,Attempted murder,43
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,80
2023,Burglary at residential premises,101
2023,Carjacking,26
2023,Commercial crime,122
2023,Common assault,182
2023,Common robbery,41
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,7
2023,Drug-related crime,119
2023,Illegal possession of firearms and ammunition,51
2023,Kidnapping,19
2023,Malicious damage to property,139
2023,Murder,23
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,42
2023,Robbery at non-residential premises,29
2023,Robbery at residential premises,22
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,249
2023,Sexual Offences detected as a result of police action,101
2023,Sexual assault,4
2023,Shoplifting,87
2023,Stock-theft,12
2023,Street Robbery,169
2023,TRIO crimes,77
2023,Theft of motor vehicle and motorcycle,13
2023,Theft out of or from motor vehicle,55
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,5
2022,Assault with the intent to inflict grievous bodily harm,178
2022,Attempted murder,51
2022,Attempted sexual offences,4
2022,Bank robbery,0
2022,Burglary at non-residential premises,80
2022,Burglary at residential premises,165
2022,Carjacking,12
2022,Commercial crime,122
2022,Common assault,128
2022,Common robbery,24
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,17
2022,Drug-related crime,89
2022,Illegal possession of firearms and ammunition,33
2022,Kidnapping,10
2022,Malicious damage to property,103
2022,Murder,19
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,32
2022,Robbery at non-residential premises,68
