year,category,value
2024,Abduction,0
2024,Arson,26
2024,Assault with the intent to inflict grievous bodily harm,508
2024,Attempted murder,67
2024,Attempted sexual offences,8
2024,Bank robbery,0
2024,Burglary at non-residential premises,324
2024,Burglary at residential premises,477
2024,Carjacking,58
2024,Commercial crime,464
2024,Common assault,876
2024,Common robbery,220
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,67
2024,Drug-related crime,129
2024,Illegal possession of firearms and ammunition,37
2024,Kidnapping,42
2024,Malicious damage to property,527
2024,Murder,57
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,287
2024,Robbery at non-residential premises,87
2024,Robbery at residential premises,54
2024,Robbery of cash in transit,5
2024,Robbery with aggravating circumstances,572
2024,Sexual Offences detected as a result of police action,19
2024,Sexual assault,31
2024,Shoplifting,272
2024,Stock-theft,44
2024,Street Robbery,204
2024,TRIO crimes,199
2024,Theft of motor vehicle and motorcycle,25
2024,Theft out of or from motor vehicle,123
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,20
2023,Assault with the intent to inflict grievous bodily harm,541
2023,Attempted murder,79
2023,Attempted sexual offences,6
2023,Bank robbery,0
2023,Burglary at non-residential premises,361
2023,Burglary at residential premises,453
2023,Carjacking,60
2023,Commercial crime,393
2023,Common assault,846
2023,Common robbery,221
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,30
2023,Drug-related crime,102
2023,Illegal possession of firearms and ammunition,41
2023,Kidnapping,38
2023,Malicious damage to property,482
2023,Murder,68
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,265
2023,Robbery at non-residential premises,177
2023,Robbery at residential premises,86
2023,Robbery of cash in transit,8
2023,Robbery with aggravating circumstances,613
2023,Sexual Offences detected as a result of police action,9
2023,Sexual assault,28
2023,Shoplifting,271
2023,Stock-theft,17
2023,Street Robbery,282
2023,TRIO crimes,323
2023,Theft of motor vehicle and motorcycle,31
2023,Theft out of or from motor vehicle,125
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,20
2022,Assault with the intent to inflict grievous bodily harm,488
2022,Attempted murder,91
2022,Attempted sexual offences,7
2022,Bank robbery,0
2022,Burglary at non-residential premises,272
2022,Burglary at residential premises,408
2022,Carjacking,39
2022,Commercial crime,329
2022,Common assault,683
2022,Common robbery,144
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,267
2022,Drug-related crime,81
2022,Illegal possession of firearms and ammunition,32
2022,Kidnapping,12
2022,Malicious damage to property,469
2022,Murder,44
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,256
2022,Robbery at non-residential premises,80
2022,Robbery at residential premises,77
2022,Robbery of cash in transit,2
2022,Robbery with aggravating circumstances,416
2022,Sexual Offences detected as a result of police action,29
2022,Sexual assault,31
2022,Shoplifting,224
2022,Stock-theft,32
2022,Street Robbery,218
2022,TRIO crimes,196
2022,Theft of motor vehicle and motorcycle,33
2022,Theft out of or from motor vehicle,195
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,14
2021,Assault with the intent to inflict grievous bodily harm,394
2021,Attempted murder,66
2021,Attempted sexual offences,8
2021,Bank robbery,0
2021,Burglary at non-residential premises,324
2021,Burglary at residential premises,356
2021,Carjacking,48
2021,Commercial crime,263
2021,Common assault,529
2021,Common robbery,98
2021,Contact sexual offences,1
2021,Crimen Injuria,16
2021,Culpable homicide,43
2021,Driving under the influence of alcohol or drugs,264
2021,Drug-related crime,47
2021,Illegal possession of firearms and ammunition,35
2021,Kidnapping,11
2021,Malicious damage to property,349
2021,Murder,28
2021,Neglect and ill-treatment of children,7
2021,Public violence,2
2021,Rape,206
2021,Robbery at non-residential premises,97
2021,Robbery at residential premises,118
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,496
2021,Sexual Offences detected as a result of police action,26
2021,Sexual assault,22
2021,Shoplifting,183
2021,Stock-theft,41
2021,Street Robbery,232
2021,TRIO crimes,263
2021,Theft of motor vehicle and motorcycle,18
2021,Theft out of or from motor vehicle,126
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,19
2020,Assault with the intent to inflict grievous bodily harm,408
2020,Attempted murder,68
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,363
2020,Burglary at residential premises,553
2020,Carjacking,59
2020,Commercial crime,297
2020,Common assault,363
2020,Common robbery,90
2020,Contact sexual offences,2
