year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,121
2024,Attempted murder,3
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,45
2024,Burglary at residential premises,114
2024,Carjacking,0
2024,Commercial crime,91
2024,Common assault,173
2024,Common robbery,29
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,31
2024,Drug-related crime,92
2024,Illegal possession of firearms and ammunition,5
2024,Kidnapping,1
2024,Malicious damage to property,88
2024,Murder,4
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,13
2024,Robbery at non-residential premises,8
2024,Robbery at residential premises,16
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,52
2024,Sexual Offences detected as a result of police action,21
2024,Sexual assault,4
2024,Shoplifting,15
2024,Stock-theft,30
2024,Street Robbery,24
2024,TRIO crimes,24
2024,Theft of motor vehicle and motorcycle,5
2024,Theft out of or from motor vehicle,38
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,137
2023,Attempted murder,5
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,24
2023,Burglary at residential premises,90
2023,Carjacking,0
2023,Commercial crime,93
2023,Common assault,191
2023,Common robbery,57
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,15
2023,Drug-related crime,101
2023,Illegal possession of firearms and ammunition,3
2023,Kidnapping,3
2023,Malicious damage to property,81
2023,Murder,7
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,20
2023,Robbery at non-residential premises,13
2023,Robbery at residential premises,12
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,75
2023,Sexual Offences detected as a result of police action,61
2023,Sexual assault,1
2023,Shoplifting,14
2023,Stock-theft,32
2023,Street Robbery,49
2023,TRIO crimes,25
2023,Theft of motor vehicle and motorcycle,2
2023,Theft out of or from motor vehicle,34
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,5
2022,Assault with the intent to inflict grievous bodily harm,150
2022,Attempted murder,4
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,33
2022,Burglary at residential premises,100
2022,Carjacking,0
2022,Commercial crime,52
2022,Common assault,197
2022,Common robbery,50
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,10
2022,Drug-related crime,107
2022,Illegal possession of firearms and ammunition,10
2022,Kidnapping,1
2022,Malicious damage to property,87
2022,Murder,13
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,26
2022,Robbery at non-residential premises,13
2022,Robbery at residential premises,20
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,95
2022,Sexual Offences detected as a result of police action,90
2022,Sexual assault,6
2022,Shoplifting,11
2022,Stock-theft,25
2022,Street Robbery,61
2022,TRIO crimes,33
2022,Theft of motor vehicle and motorcycle,9
2022,Theft out of or from motor vehicle,40
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,136
2021,Attempted murder,2
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,54
2021,Burglary at residential premises,150
2021,Carjacking,0
2021,Commercial crime,59
2021,Common assault,175
2021,Common robbery,50
2021,Contact sexual offences,0
2021,Crimen Injuria,54
2021,Culpable homicide,19
2021,Driving under the influence of alcohol or drugs,35
2021,Drug-related crime,135
2021,Illegal possession of firearms and ammunition,8
2021,Kidnapping,2
2021,Malicious damage to property,65
2021,Murder,6
2021,Neglect and ill-treatment of children,3
2021,Public violence,0
2021,Rape,23
2021,Robbery at non-residential premises,7
2021,Robbery at residential premises,22
