year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,267
2024,Attempted murder,16
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,95
2024,Burglary at residential premises,317
2024,Carjacking,9
2024,Commercial crime,90
2024,Common assault,127
2024,Common robbery,53
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,63
2024,Drug-related crime,428
2024,Illegal possession of firearms and ammunition,20
2024,Kidnapping,15
2024,Malicious damage to property,193
2024,Murder,29
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,114
2024,Robbery at non-residential premises,25
2024,Robbery at residential premises,24
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,142
2024,Sexual Offences detected as a result of police action,27
2024,Sexual assault,16
2024,Shoplifting,19
2024,Stock-theft,57
2024,Street Robbery,58
2024,TRIO crimes,58
2024,Theft of motor vehicle and motorcycle,34
2024,Theft out of or from motor vehicle,110
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,571
2023,Attempted murder,30
2023,Attempted sexual offences,6
2023,Bank robbery,0
2023,Burglary at non-residential premises,79
2023,Burglary at residential premises,443
2023,Carjacking,9
2023,Commercial crime,98
2023,Common assault,530
2023,Common robbery,163
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,50
2023,Drug-related crime,324
2023,Illegal possession of firearms and ammunition,12
2023,Kidnapping,9
2023,Malicious damage to property,305
2023,Murder,27
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,119
2023,Robbery at non-residential premises,64
2023,Robbery at residential premises,28
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,231
2023,Sexual Offences detected as a result of police action,5
2023,Sexual assault,14
2023,Shoplifting,61
2023,Stock-theft,75
2023,Street Robbery,130
2023,TRIO crimes,101
2023,Theft of motor vehicle and motorcycle,25
2023,Theft out of or from motor vehicle,79
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,14
2022,Assault with the intent to inflict grievous bodily harm,396
2022,Attempted murder,31
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,84
2022,Burglary at residential premises,362
2022,Carjacking,10
2022,Commercial crime,88
2022,Common assault,237
2022,Common robbery,92
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,43
2022,Drug-related crime,271
2022,Illegal possession of firearms and ammunition,12
2022,Kidnapping,7
2022,Malicious damage to property,243
2022,Murder,24
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,121
2022,Robbery at non-residential premises,47
2022,Robbery at residential premises,11
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,167
2022,Sexual Offences detected as a result of police action,5
2022,Sexual assault,5
2022,Shoplifting,29
2022,Stock-theft,68
2022,Street Robbery,99
2022,TRIO crimes,68
2022,Theft of motor vehicle and motorcycle,15
2022,Theft out of or from motor vehicle,83
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,7
2021,Assault with the intent to inflict grievous bodily harm,330
2021,Attempted murder,30
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,61
2021,Burglary at residential premises,303
2021,Carjacking,11
2021,Commercial crime,63
2021,Common assault,198
2021,Common robbery,92
2021,Contact sexual offences,0
2021,Crimen Injuria,58
2021,Culpable homicide,19
2021,Driving under the influence of alcohol or drugs,54
2021,Drug-related crime,443
2021,Illegal possession of firearms and ammunition,13
2021,Kidnapping,4
2021,Malicious damage to property,262
2021,Murder,26
2021,Neglect and ill-treatment of children,11
2021,Public violence,2
2021,Rape,83
2021,Robbery at non-residential premises,47
2021,Robbery at residential premises,16
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,130
2021,Sexual Offences detected as a result of police action,1
2021,Sexual assault,15
2021,Shoplifting,30
2021,Stock-theft,48
2021,Street Robbery,55
2021,TRIO crimes,74
2021,Theft of motor vehicle and motorcycle,25
2021,Theft out of or from motor vehicle,96
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,18
2020,Assault with the intent to inflict grievous bodily harm,481
2020,Attempted murder,28
2020,Attempted sexual offences,0
2020,Bank robbery,0
2020,Burglary at non-residential premises,106
2020,Burglary at residential premises,417
2020,Carjacking,7
2020,Commercial crime,56
2020,Common assault,227
2020,Common robbery,148
2020,Contact sexual offences,2
2020,Crimen Injuria,66
2020,Culpable homicide,26
2020,Driving under the influence of alcohol or drugs,118
2020,Drug-related crime,639
2020,Illegal possession of firearms and ammunition,13
