year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,134
2024,Attempted murder,11
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,98
2024,Burglary at residential premises,225
2024,Carjacking,3
2024,Commercial crime,212
2024,Common assault,64
2024,Common robbery,69
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,59
2024,Drug-related crime,447
2024,Illegal possession of firearms and ammunition,5
2024,Kidnapping,9
2024,Malicious damage to property,82
2024,Murder,11
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,28
2024,Robbery at non-residential premises,15
2024,Robbery at residential premises,31
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,121
2024,Sexual Offences detected as a result of police action,14
2024,Sexual assault,7
2024,Shoplifting,135
2024,Stock-theft,16
2024,Street Robbery,51
2024,TRIO crimes,49
2024,Theft of motor vehicle and motorcycle,13
2024,Theft out of or from motor vehicle,143
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,86
2023,Attempted murder,14
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,78
2023,Burglary at residential premises,216
2023,Carjacking,2
2023,Commercial crime,111
2023,Common assault,45
2023,Common robbery,48
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,51
2023,Drug-related crime,410
2023,Illegal possession of firearms and ammunition,8
2023,Kidnapping,5
2023,Malicious damage to property,60
2023,Murder,6
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,26
2023,Robbery at non-residential premises,16
2023,Robbery at residential premises,15
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,97
2023,Sexual Offences detected as a result of police action,47
2023,Sexual assault,3
2023,Shoplifting,150
2023,Stock-theft,12
2023,Street Robbery,61
2023,TRIO crimes,33
2023,Theft of motor vehicle and motorcycle,17
2023,Theft out of or from motor vehicle,168
2023,Truck hijacking,3
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,66
2022,Attempted murder,5
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,73
2022,Burglary at residential premises,176
2022,Carjacking,0
2022,Commercial crime,97
2022,Common assault,44
2022,Common robbery,34
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,64
2022,Drug-related crime,394
2022,Illegal possession of firearms and ammunition,13
2022,Kidnapping,4
2022,Malicious damage to property,49
2022,Murder,9
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,19
2022,Robbery at non-residential premises,15
2022,Robbery at residential premises,5
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,72
2022,Sexual Offences detected as a result of police action,89
2022,Sexual assault,6
2022,Shoplifting,126
2022,Stock-theft,23
2022,Street Robbery,49
2022,TRIO crimes,20
2022,Theft of motor vehicle and motorcycle,11
2022,Theft out of or from motor vehicle,102
2022,Truck hijacking,3
2021,Abduction,0
2021,Arson,0
