year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,362
2024,Attempted murder,34
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,107
2024,Burglary at residential premises,162
2024,Carjacking,24
2024,Commercial crime,108
2024,Common assault,213
2024,Common robbery,60
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,11
2024,Drug-related crime,12
2024,Illegal possession of firearms and ammunition,15
2024,Kidnapping,11
2024,Malicious damage to property,165
2024,Murder,46
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,84
2024,Robbery at non-residential premises,32
2024,Robbery at residential premises,37
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,156
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Shoplifting,46
2024,Stock-theft,11
2024,Street Robbery,94
2024,TRIO crimes,93
2024,Theft of motor vehicle and motorcycle,16
2024,Theft out of or from motor vehicle,33
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,309
2023,Attempted murder,48
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,104
2023,Burglary at residential premises,182
2023,Carjacking,52
2023,Commercial crime,98
2023,Common assault,218
2023,Common robbery,66
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,5
2023,Drug-related crime,16
2023,Illegal possession of firearms and ammunition,25
2023,Kidnapping,15
2023,Malicious damage to property,175
2023,Murder,37
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,76
2023,Robbery at non-residential premises,60
2023,Robbery at residential premises,76
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,268
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,77
2023,Stock-theft,11
2023,Street Robbery,78
2023,TRIO crimes,188
2023,Theft of motor vehicle and motorcycle,18
2023,Theft out of or from motor vehicle,32
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,309
2022,Attempted murder,34
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,138
2022,Burglary at residential premises,203
2022,Carjacking,40
2022,Commercial crime,91
2022,Common assault,270
2022,Common robbery,57
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,2
2022,Drug-related crime,22
2022,Illegal possession of firearms and ammunition,3
2022,Kidnapping,19
2022,Malicious damage to property,168
2022,Murder,35
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,113
2022,Robbery at non-residential premises,62
2022,Robbery at residential premises,35
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,212
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,4
2022,Shoplifting,93
2022,Stock-theft,9
2022,Street Robbery,71
2022,TRIO crimes,137
2022,Theft of motor vehicle and motorcycle,14
2022,Theft out of or from motor vehicle,40
2022,Truck hijacking,3
2021,Abduction,0
2021,Arson,8
2021,Assault with the intent to inflict grievous bodily harm,283
2021,Attempted murder,42
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,151
2021,Burglary at residential premises,231
2021,Carjacking,34
2021,Commercial crime,81
2021,Common assault,178
2021,Common robbery,39
2021,Contact sexual offences,0
2021,Crimen Injuria,12
2021,Culpable homicide,13
2021,Driving under the influence of alcohol or drugs,17
2021,Drug-related crime,12
2021,Illegal possession of firearms and ammunition,8
2021,Kidnapping,9
2021,Malicious damage to property,154
2021,Murder,33
2021,Neglect and ill-treatment of children,1
2021,Public violence,2
2021,Rape,84
2021,Robbery at non-residential premises,94
2021,Robbery at residential premises,48
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,244
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,4
2021,Shoplifting,87
2021,Stock-theft,19
2021,Street Robbery,67
2021,TRIO crimes,176
2021,Theft of motor vehicle and motorcycle,37
2021,Theft out of or from motor vehicle,58
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,7
2020,Assault with the intent to inflict grievous bodily harm,277
2020,Attempted murder,37
2020,Attempted sexual offences,4
2020,Bank robbery,0
2020,Burglary at non-residential premises,198
2020,Burglary at residential premises,277
2020,Carjacking,18
2020,Commercial crime,97
2020,Common assault,151
2020,Common robbery,59
2020,Contact sexual offences,0
2020,Crimen Injuria,11
2020,Culpable homicide,21
2020,Driving under the influence of alcohol or drugs,149
2020,Drug-related crime,10
2020,Illegal possession of firearms and ammunition,8
2020,Kidnapping,11
2020,Malicious damage to property,165
2020,Murder,19
2020,Neglect and ill-treatment of children,4
2020,Public violence,12
2020,Rape,114
2020,Robbery at non-residential premises,71
2020,Robbery at residential premises,42
2020,Robbery of cash in transit,1
2020,Robbery with aggravating circumstances,202
2020,Sexual Offences detected as a result of police action,1
2020,Sexual assault,1
2020,Shoplifting,59
2020,Stock-theft,13
2020,Street Robbery,69
2020,TRIO crimes,131
2020,Theft of motor vehicle and motorcycle,47
2020,Theft out of or from motor vehicle,50
2020,Truck hijacking,1
2019,Abduction,0
2019,Arson,9
2019,Assault with the intent to inflict grievous bodily harm,301
2019,Attempted murder,36
2019,Attempted sexual offences,1
2019,Bank robbery,0
2019,Burglary at non-residential premises,124
2019,Burglary at residential premises,161
2019,Carjacking,31
2019,Commercial crime,70
2019,Common assault,146
2019,Common robbery,44
2019,Contact sexual offences,3
2019,Crimen Injuria,6
2019,Culpable homicide,21
2019,Driving under the influence of alcohol or drugs,48
2019,Drug-related crime,265
2019,Illegal possession of firearms and ammunition,16
2019,Kidnapping,6
2019,Malicious damage to property,126
2019,Murder,31
2019,Neglect and ill-treatment of children,1
2019,Public violence,0
2019,Rape,86
2019,Robbery at non-residential premises,72
2019,Robbery at residential premises,56
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,203
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,4
2019,Shoplifting,59
2019,Stock-theft,18
2019,Street Robbery,43
2019,TRIO crimes,159
2019,Theft of motor vehicle and motorcycle,46
2019,Theft out of or from motor vehicle,55
2019,Truck hijacking,1
2018,Abduction,0
2018,Arson,5
2018,Assault with the intent to inflict grievous bodily harm,212
2018,Attempted murder,35
2018,Attempted sexual offences,0
2018,Bank robbery,0
2018,Burglary at non-residential premises,170
2018,Burglary at residential premises,187
2018,Carjacking,27
2018,Commercial crime,67
2018,Common assault,125
2018,Common robbery,55
2018,Contact sexual offences,0
2018,Crimen Injuria,8
2018,Culpable homicide,28
2018,Driving under the influence of alcohol or drugs,96
2018,Drug-related crime,293
2018,Illegal possession of firearms and ammunition,12
2018,Kidnapping,9
2018,Malicious damage to property,118
2018,Murder,27
2018,Neglect and ill-treatment of children,0
2018,Public violence,6
2018,Rape,86
2018,Robbery at non-residential premises,78
2018,Robbery at residential premises,37
2018,Robbery of cash in transit,1
2018,Robbery with aggravating circumstances,188
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,1
2018,Shoplifting,71
2018,Stock-theft,4
2018,Street Robbery,45
2018,TRIO crimes,142
2018,Theft of motor vehicle and motorcycle,24
2018,Theft out of or from motor vehicle,60
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,16
2017,Assault with the intent to inflict grievous bodily harm,254
2017,Attempted murder,29
2017,Attempted sexual offences,1
2017,Bank robbery,0
2017,Burglary at non-residential premises,143
2017,Burglary at residential premises,227
2017,Carjacking,17
2017,Commercial crime,90
2017,Common assault,138
2017,Common robbery,42
2017,Contact sexual offences,0
2017,Crimen Injuria,8
2017,Culpable homicide,16
2017,Driving under the influence of alcohol or drugs,74
2017,Drug-related crime,197
2017,Illegal possession of firearms and ammunition,21
2017,Kidnapping,11
