year,category,value
2024,Abduction,0
2024,Arson,10
2024,Assault with the intent to inflict grievous bodily harm,215
2024,Attempted murder,51
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,145
2024,Burglary at residential premises,229
2024,Carjacking,45
2024,Commercial crime,92
2024,Common assault,185
2024,Common robbery,69
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,6
2024,Drug-related crime,45
2024,Illegal possession of firearms and ammunition,20
2024,Kidnapping,68
2024,Malicious damage to property,142
2024,Murder,42
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,96
2024,Robbery at non-residential premises,110
2024,Robbery at residential premises,80
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,364
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,1
2024,Shoplifting,115
2024,Stock-theft,3
2024,Street Robbery,254
2024,TRIO crimes,235
2024,Theft of motor vehicle and motorcycle,10
2024,Theft out of or from motor vehicle,29
2024,Truck hijacking,18
2023,Abduction,0
2023,Arson,9
2023,Assault with the intent to inflict grievous bodily harm,147
2023,Attempted murder,50
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,160
2023,Burglary at residential premises,188
2023,Carjacking,51
2023,Commercial crime,90
2023,Common assault,118
2023,Common robbery,32
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,15
2023,Drug-related crime,30
2023,Illegal possession of firearms and ammunition,20
2023,Kidnapping,40
2023,Malicious damage to property,120
2023,Murder,31
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,83
2023,Robbery at non-residential premises,73
2023,Robbery at residential premises,64
2023,Robbery of cash in transit,3
2023,Robbery with aggravating circumstances,288
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,1
2023,Shoplifting,108
2023,Stock-theft,9
2023,Street Robbery,77
2023,TRIO crimes,188
2023,Theft of motor vehicle and motorcycle,19
2023,Theft out of or from motor vehicle,31
2023,Truck hijacking,20
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,180
2022,Attempted murder,53
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,165
2022,Burglary at residential premises,182
2022,Carjacking,56
2022,Commercial crime,87
2022,Common assault,140
2022,Common robbery,31
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,26
2022,Drug-related crime,14
2022,Illegal possession of firearms and ammunition,45
2022,Kidnapping,49
2022,Malicious damage to property,146
2022,Murder,36
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,90
2022,Robbery at non-residential premises,97
2022,Robbery at residential premises,71
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,329
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,5
2022,Shoplifting,87
2022,Stock-theft,11
2022,Street Robbery,97
2022,TRIO crimes,224
2022,Theft of motor vehicle and motorcycle,21
2022,Theft out of or from motor vehicle,38
2022,Truck hijacking,8
2021,Abduction,0
2021,Arson,3
2021,Assault with the intent to inflict grievous bodily harm,158
2021,Attempted murder,31
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,143
2021,Burglary at residential premises,200
2021,Carjacking,37
2021,Commercial crime,90
2021,Common assault,106
2021,Common robbery,42
2021,Contact sexual offences,0
2021,Crimen Injuria,7
2021,Culpable homicide,18
2021,Driving under the influence of alcohol or drugs,94
2021,Drug-related crime,8
2021,Illegal possession of firearms and ammunition,30
2021,Kidnapping,20
2021,Malicious damage to property,132
2021,Murder,18
2021,Neglect and ill-treatment of children,4
2021,Public violence,1
2021,Rape,83
2021,Robbery at non-residential premises,75
2021,Robbery at residential premises,52
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,270
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,2
2021,Shoplifting,94
2021,Stock-theft,7
2021,Street Robbery,105
2021,TRIO crimes,164
2021,Theft of motor vehicle and motorcycle,38
2021,Theft out of or from motor vehicle,65
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,4
2020,Assault with the intent to inflict grievous bodily harm,159
2020,Attempted murder,41
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,117
2020,Burglary at residential premises,191
2020,Carjacking,28
2020,Commercial crime,42
2020,Common assault,115
2020,Common robbery,35
2020,Contact sexual offences,2
2020,Crimen Injuria,10
2020,Culpable homicide,15
2020,Driving under the influence of alcohol or drugs,423
2020,Drug-related crime,2
2020,Illegal possession of firearms and ammunition,30
2020,Kidnapping,7
2020,Malicious damage to property,126
2020,Murder,24
2020,Neglect and ill-treatment of children,6
2020,Public violence,12
2020,Rape,100
2020,Robbery at non-residential premises,75
2020,Robbery at residential premises,35
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,220
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,3
2020,Shoplifting,123
2020,Stock-theft,6
2020,Street Robbery,78
2020,TRIO crimes,138
2020,Theft of motor vehicle and motorcycle,49
2020,Theft out of or from motor vehicle,39
2020,Truck hijacking,4
2019,Abduction,1
2019,Arson,5
2019,Assault with the intent to inflict grievous bodily harm,174
2019,Attempted murder,34
2019,Attempted sexual offences,2
2019,Bank robbery,0
2019,Burglary at non-residential premises,159
2019,Burglary at residential premises,151
2019,Carjacking,36
2019,Commercial crime,73
2019,Common assault,147
2019,Common robbery,47
2019,Contact sexual offences,4
2019,Crimen Injuria,9
2019,Culpable homicide,23
2019,Driving under the influence of alcohol or drugs,92
2019,Drug-related crime,346
2019,Illegal possession of firearms and ammunition,25
2019,Kidnapping,7
2019,Malicious damage to property,109
2019,Murder,32
2019,Neglect and ill-treatment of children,2
2019,Public violence,2
2019,Rape,95
2019,Robbery at non-residential premises,124
2019,Robbery at residential premises,25
2019,Robbery of cash in transit,2
2019,Robbery with aggravating circumstances,262
