year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,333
2024,Attempted murder,35
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,74
2024,Burglary at residential premises,186
2024,Carjacking,13
2024,Commercial crime,165
2024,Common assault,252
2024,Common robbery,50
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,68
2024,Drug-related crime,36
2024,Illegal possession of firearms and ammunition,15
2024,Kidnapping,13
2024,Malicious damage to property,108
2024,Murder,36
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,66
2024,Robbery at non-residential premises,27
2024,Robbery at residential premises,53
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,207
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,8
2024,Shoplifting,83
2024,Stock-theft,14
2024,Street Robbery,95
2024,TRIO crimes,93
2024,Theft of motor vehicle and motorcycle,13
2024,Theft out of or from motor vehicle,50
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,8
2023,Assault with the intent to inflict grievous bodily harm,362
2023,Attempted murder,30
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,66
2023,Burglary at residential premises,196
2023,Carjacking,15
2023,Commercial crime,121
2023,Common assault,255
2023,Common robbery,74
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,27
2023,Drug-related crime,44
2023,Illegal possession of firearms and ammunition,23
2023,Kidnapping,16
2023,Malicious damage to property,145
2023,Murder,37
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,52
2023,Robbery at non-residential premises,27
2023,Robbery at residential premises,78
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,230
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,5
2023,Shoplifting,60
2023,Stock-theft,50
2023,Street Robbery,109
2023,TRIO crimes,120
2023,Theft of motor vehicle and motorcycle,19
2023,Theft out of or from motor vehicle,63
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,299
2022,Attempted murder,43
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,82
2022,Burglary at residential premises,173
2022,Carjacking,23
2022,Commercial crime,101
2022,Common assault,195
2022,Common robbery,51
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,29
2022,Drug-related crime,34
2022,Illegal possession of firearms and ammunition,15
2022,Kidnapping,13
2022,Malicious damage to property,120
2022,Murder,23
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,67
2022,Robbery at non-residential premises,40
