year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,95
2024,Attempted murder,23
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,65
2024,Burglary at residential premises,103
2024,Carjacking,55
2024,Commercial crime,71
2024,Common assault,52
2024,Common robbery,15
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,15
2024,Drug-related crime,23
2024,Illegal possession of firearms and ammunition,25
2024,Kidnapping,10
2024,Malicious damage to property,46
2024,Murder,25
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,35
2024,Robbery at non-residential premises,37
2024,Robbery at residential premises,21
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,215
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,0
2024,Shoplifting,50
2024,Stock-theft,6
2024,Street Robbery,129
2024,TRIO crimes,113
2024,Theft of motor vehicle and motorcycle,17
2024,Theft out of or from motor vehicle,44
2024,Truck hijacking,15
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,99
2023,Attempted murder,22
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,58
2023,Burglary at residential premises,124
2023,Carjacking,45
2023,Commercial crime,45
2023,Common assault,35
2023,Common robbery,11
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,0
2023,Drug-related crime,24
2023,Illegal possession of firearms and ammunition,26
2023,Kidnapping,10
2023,Malicious damage to property,36
2023,Murder,22
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,35
2023,Robbery at non-residential premises,28
2023,Robbery at residential premises,25
2023,Robbery of cash in transit,2
2023,Robbery with aggravating circumstances,183
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,1
2023,Shoplifting,56
2023,Stock-theft,5
2023,Street Robbery,76
2023,TRIO crimes,98
2023,Theft of motor vehicle and motorcycle,19
2023,Theft out of or from motor vehicle,78
2023,Truck hijacking,7
2022,Abduction,0
2022,Arson,5
2022,Assault with the intent to inflict grievous bodily harm,78
2022,Attempted murder,22
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,62
2022,Burglary at residential premises,103
2022,Carjacking,46
2022,Commercial crime,53
2022,Common assault,32
2022,Common robbery,7
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,1
2022,Drug-related crime,24
2022,Illegal possession of firearms and ammunition,13
2022,Kidnapping,12
2022,Malicious damage to property,33
2022,Murder,20
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,33
2022,Robbery at non-residential premises,37
2022,Robbery at residential premises,39
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,208
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,1
2022,Shoplifting,65
2022,Stock-theft,2
2022,Street Robbery,81
2022,TRIO crimes,122
2022,Theft of motor vehicle and motorcycle,12
2022,Theft out of or from motor vehicle,45
2022,Truck hijacking,5
2021,Abduction,0
2021,Arson,1
2021,Assault with the intent to inflict grievous bodily harm,73
2021,Attempted murder,16
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,62
2021,Burglary at residential premises,118
2021,Carjacking,22
2021,Commercial crime,43
2021,Common assault,29
2021,Common robbery,10
2021,Contact sexual offences,0
2021,Crimen Injuria,2
2021,Culpable homicide,8
2021,Driving under the influence of alcohol or drugs,12
2021,Drug-related crime,11
2021,Illegal possession of firearms and ammunition,9
2021,Kidnapping,2
2021,Malicious damage to property,30
2021,Murder,13
2021,Neglect and ill-treatment of children,0
2021,Public violence,0
2021,Rape,13
2021,Robbery at non-residential premises,36
2021,Robbery at residential premises,13
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,122
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,4
2021,Shoplifting,73
2021,Stock-theft,5
2021,Street Robbery,50
2021,TRIO crimes,71
2021,Theft of motor vehicle and motorcycle,15
2021,Theft out of or from motor vehicle,65
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,2
2020,Assault with the intent to inflict grievous bodily harm,89
2020,Attempted murder,10
2020,Attempted sexual offences,4
2020,Bank robbery,0
2020,Burglary at non-residential premises,85
2020,Burglary at residential premises,126
2020,Carjacking,19
2020,Commercial crime,56
2020,Common assault,36
2020,Common robbery,20
2020,Contact sexual offences,0
2020,Crimen Injuria,3
2020,Culpable homicide,18
2020,Driving under the influence of alcohol or drugs,83
2020,Drug-related crime,47
2020,Illegal possession of firearms and ammunition,9
