year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,318
2024,Attempted murder,85
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,98
2024,Burglary at residential premises,294
2024,Carjacking,93
2024,Commercial crime,118
2024,Common assault,259
2024,Common robbery,33
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,31
2024,Drug-related crime,19
2024,Illegal possession of firearms and ammunition,29
2024,Kidnapping,34
2024,Malicious damage to property,156
2024,Murder,76
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,140
2024,Robbery at non-residential premises,63
2024,Robbery at residential premises,74
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,406
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,74
2024,Stock-theft,6
2024,Street Robbery,235
2024,TRIO crimes,230
2024,Theft of motor vehicle and motorcycle,29
2024,Theft out of or from motor vehicle,49
2024,Truck hijacking,4
2023,Abduction,0
2023,Arson,13
2023,Assault with the intent to inflict grievous bodily harm,308
2023,Attempted murder,74
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,107
2023,Burglary at residential premises,286
2023,Carjacking,55
2023,Commercial crime,75
2023,Common assault,272
2023,Common robbery,23
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,13
2023,Drug-related crime,30
2023,Illegal possession of firearms and ammunition,32
2023,Kidnapping,19
2023,Malicious damage to property,160
2023,Murder,45
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,147
2023,Robbery at non-residential premises,47
2023,Robbery at residential premises,87
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,343
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,74
2023,Stock-theft,15
2023,Street Robbery,153
2023,TRIO crimes,189
2023,Theft of motor vehicle and motorcycle,28
2023,Theft out of or from motor vehicle,37
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,6
2022,Assault with the intent to inflict grievous bodily harm,311
2022,Attempted murder,46
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,105
2022,Burglary at residential premises,321
2022,Carjacking,67
2022,Commercial crime,74
2022,Common assault,260
2022,Common robbery,33
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,22
2022,Drug-related crime,25
2022,Illegal possession of firearms and ammunition,38
2022,Kidnapping,28
2022,Malicious damage to property,177
2022,Murder,40
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,160
2022,Robbery at non-residential premises,74
