year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,186
2024,Attempted murder,43
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,40
2024,Burglary at residential premises,114
2024,Carjacking,12
2024,Commercial crime,44
2024,Common assault,98
2024,Common robbery,18
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,60
2024,Drug-related crime,15
2024,Illegal possession of firearms and ammunition,9
2024,Kidnapping,4
2024,Malicious damage to property,69
2024,Murder,19
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,32
2024,Robbery at non-residential premises,19
2024,Robbery at residential premises,17
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,129
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,4
2024,Shoplifting,29
2024,Stock-theft,0
2024,Street Robbery,49
2024,TRIO crimes,48
2024,Theft of motor vehicle and motorcycle,14
2024,Theft out of or from motor vehicle,35
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,143
2023,Attempted murder,18
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,41
2023,Burglary at residential premises,154
2023,Carjacking,20
2023,Commercial crime,45
2023,Common assault,101
2023,Common robbery,18
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,19
2023,Drug-related crime,10
2023,Illegal possession of firearms and ammunition,5
2023,Kidnapping,8
2023,Malicious damage to property,73
2023,Murder,14
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,43
2023,Robbery at non-residential premises,16
2023,Robbery at residential premises,27
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,114
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,7
2023,Shoplifting,27
2023,Stock-theft,1
2023,Street Robbery,50
2023,TRIO crimes,63
2023,Theft of motor vehicle and motorcycle,18
2023,Theft out of or from motor vehicle,17
