year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,86
2024,Attempted murder,12
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,31
2024,Burglary at residential premises,84
2024,Carjacking,7
2024,Commercial crime,25
2024,Common assault,62
2024,Common robbery,8
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,42
2024,Drug-related crime,50
2024,Illegal possession of firearms and ammunition,18
2024,Kidnapping,3
2024,Malicious damage to property,40
2024,Murder,11
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,46
2024,Robbery at non-residential premises,4
2024,Robbery at residential premises,17
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,65
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,2
2024,Shoplifting,11
2024,Stock-theft,6
2024,Street Robbery,28
2024,TRIO crimes,28
2024,Theft of motor vehicle and motorcycle,2
2024,Theft out of or from motor vehicle,3
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,94
2023,Attempted murder,6
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,38
2023,Burglary at residential premises,114
2023,Carjacking,7
2023,Commercial crime,13
2023,Common assault,68
2023,Common robbery,5
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,6
2023,Drug-related crime,109
2023,Illegal possession of firearms and ammunition,11
2023,Kidnapping,4
2023,Malicious damage to property,45
2023,Murder,10
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,31
2023,Robbery at non-residential premises,4
2023,Robbery at residential premises,24
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,56
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,3
2023,Shoplifting,17
2023,Stock-theft,2
2023,Street Robbery,21
2023,TRIO crimes,35
2023,Theft of motor vehicle and motorcycle,2
