year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,211
2024,Attempted murder,43
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,418
2024,Burglary at residential premises,546
2024,Carjacking,34
2024,Commercial crime,800
2024,Common assault,307
2024,Common robbery,155
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,121
2024,Drug-related crime,134
2024,Illegal possession of firearms and ammunition,43
2024,Kidnapping,14
2024,Malicious damage to property,134
2024,Murder,22
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,45
2024,Robbery at non-residential premises,52
2024,Robbery at residential premises,47
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,462
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Shoplifting,245
2024,Stock-theft,5
2024,Street Robbery,137
2024,TRIO crimes,133
2024,Theft of motor vehicle and motorcycle,94
2024,Theft out of or from motor vehicle,602
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,167
2023,Attempted murder,25
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,503
2023,Burglary at residential premises,664
2023,Carjacking,33
2023,Commercial crime,704
2023,Common assault,272
2023,Common robbery,95
2023,Contact sexual offences,4
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,83
2023,Drug-related crime,148
2023,Illegal possession of firearms and ammunition,32
2023,Kidnapping,15
2023,Malicious damage to property,120
2023,Murder,30
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,54
2023,Robbery at non-residential premises,64
2023,Robbery at residential premises,64
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,372
2023,Sexual Offences detected as a result of police action,3
2023,Sexual assault,22
2023,Shoplifting,193
2023,Stock-theft,11
2023,Street Robbery,203
2023,TRIO crimes,161
2023,Theft of motor vehicle and motorcycle,89
2023,Theft out of or from motor vehicle,697
2023,Truck hijacking,7
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,184
2022,Attempted murder,34
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,301
2022,Burglary at residential premises,715
2022,Carjacking,35
2022,Commercial crime,657
2022,Common assault,256
2022,Common robbery,135
2022,Contact sexual offences,4
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,80
2022,Drug-related crime,198
2022,Illegal possession of firearms and ammunition,22
2022,Kidnapping,14
2022,Malicious damage to property,122
2022,Murder,24
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,49
2022,Robbery at non-residential premises,70
2022,Robbery at residential premises,54
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,405
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,9
2022,Shoplifting,192
2022,Stock-theft,11
2022,Street Robbery,236
2022,TRIO crimes,159
2022,Theft of motor vehicle and motorcycle,85
2022,Theft out of or from motor vehicle,704
2022,Truck hijacking,10
2021,Abduction,0
2021,Arson,4
