year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,127
2024,Attempted murder,20
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,99
2024,Burglary at residential premises,220
2024,Carjacking,21
2024,Commercial crime,231
2024,Common assault,130
2024,Common robbery,59
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,16
2024,Drug-related crime,18
2024,Illegal possession of firearms and ammunition,15
2024,Kidnapping,17
2024,Malicious damage to property,88
2024,Murder,14
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,21
2024,Robbery at non-residential premises,36
2024,Robbery at residential premises,25
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,203
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,2
2024,Shoplifting,51
2024,Stock-theft,5
2024,Street Robbery,86
2024,TRIO crimes,82
2024,Theft of motor vehicle and motorcycle,36
2024,Theft out of or from motor vehicle,141
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,103
2023,Attempted murder,7
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,122
2023,Burglary at residential premises,180
2023,Carjacking,16
2023,Commercial crime,185
2023,Common assault,149
2023,Common robbery,52
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,14
2023,Drug-related crime,35
2023,Illegal possession of firearms and ammunition,10
2023,Kidnapping,8
2023,Malicious damage to property,81
2023,Murder,7
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,22
2023,Robbery at non-residential premises,45
2023,Robbery at residential premises,20
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,163
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,5
2023,Shoplifting,34
2023,Stock-theft,5
2023,Street Robbery,74
2023,TRIO crimes,81
2023,Theft of motor vehicle and motorcycle,37
2023,Theft out of or from motor vehicle,201
2023,Truck hijacking,8
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,108
2022,Attempted murder,12
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,77
2022,Burglary at residential premises,148
2022,Carjacking,19
2022,Commercial crime,172
2022,Common assault,142
2022,Common robbery,56
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,13
2022,Drug-related crime,22
2022,Illegal possession of firearms and ammunition,12
2022,Kidnapping,4
2022,Malicious damage to property,77
2022,Murder,6
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,27
2022,Robbery at non-residential premises,25
2022,Robbery at residential premises,14
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,132
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,6
2022,Shoplifting,51
2022,Stock-theft,3
2022,Street Robbery,67
2022,TRIO crimes,58
2022,Theft of motor vehicle and motorcycle,34
2022,Theft out of or from motor vehicle,181
2022,Truck hijacking,7
2021,Abduction,0
2021,Arson,4
