year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,333
2024,Attempted murder,8
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,69
2024,Burglary at residential premises,123
2024,Carjacking,4
2024,Commercial crime,42
2024,Common assault,50
2024,Common robbery,25
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,3
2024,Drug-related crime,149
2024,Illegal possession of firearms and ammunition,11
2024,Kidnapping,2
2024,Malicious damage to property,44
2024,Murder,20
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,58
2024,Robbery at non-residential premises,31
2024,Robbery at residential premises,17
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,73
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,3
2024,Shoplifting,15
2024,Stock-theft,8
2024,Street Robbery,52
2024,TRIO crimes,52
2024,Theft of motor vehicle and motorcycle,2
2024,Theft out of or from motor vehicle,13
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,256
2023,Attempted murder,5
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,92
2023,Burglary at residential premises,111
2023,Carjacking,4
2023,Commercial crime,20
2023,Common assault,35
2023,Common robbery,22
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,1
2023,Drug-related crime,154
2023,Illegal possession of firearms and ammunition,9
2023,Kidnapping,6
2023,Malicious damage to property,34
2023,Murder,21
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,50
2023,Robbery at non-residential premises,29
2023,Robbery at residential premises,13
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,68
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,2
2023,Shoplifting,13
2023,Stock-theft,11
2023,Street Robbery,22
2023,TRIO crimes,46
2023,Theft of motor vehicle and motorcycle,9
2023,Theft out of or from motor vehicle,6
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,272
2022,Attempted murder,8
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,67
2022,Burglary at residential premises,85
2022,Carjacking,1
2022,Commercial crime,16
2022,Common assault,44
2022,Common robbery,22
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,8
2022,Drug-related crime,137
2022,Illegal possession of firearms and ammunition,13
2022,Kidnapping,4
2022,Malicious damage to property,44
2022,Murder,16
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,61
2022,Robbery at non-residential premises,15
2022,Robbery at residential premises,11
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,48
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,8
2022,Shoplifting,4
2022,Stock-theft,7
2022,Street Robbery,21
2022,TRIO crimes,27
2022,Theft of motor vehicle and motorcycle,3
2022,Theft out of or from motor vehicle,11
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,1
2021,Assault with the intent to inflict grievous bodily harm,210
2021,Attempted murder,4
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,75
2021,Burglary at residential premises,131
2021,Carjacking,1
2021,Commercial crime,20
2021,Common assault,31
2021,Common robbery,25
2021,Contact sexual offences,0
2021,Crimen Injuria,0
2021,Culpable homicide,8
2021,Driving under the influence of alcohol or drugs,8
2021,Drug-related crime,124
2021,Illegal possession of firearms and ammunition,5
2021,Kidnapping,0
2021,Malicious damage to property,40
2021,Murder,15
2021,Neglect and ill-treatment of children,1
2021,Public violence,0
2021,Rape,58
2021,Robbery at non-residential premises,10
2021,Robbery at residential premises,7
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,28
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,0
2021,Shoplifting,7
2021,Stock-theft,2
2021,Street Robbery,10
2021,TRIO crimes,18
2021,Theft of motor vehicle and motorcycle,4
2021,Theft out of or from motor vehicle,14
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,1
2020,Assault with the intent to inflict grievous bodily harm,247
2020,Attempted murder,7
2020,Attempted sexual offences,2
2020,Bank robbery,0
2020,Burglary at non-residential premises,59
2020,Burglary at residential premises,175
2020,Carjacking,1
2020,Commercial crime,19
2020,Common assault,28
2020,Common robbery,25
2020,Contact sexual offences,0
2020,Crimen Injuria,0
2020,Culpable homicide,10
2020,Driving under the influence of alcohol or drugs,32
2020,Drug-related crime,175
2020,Illegal possession of firearms and ammunition,5
