year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,151
2024,Attempted murder,39
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,125
2024,Burglary at residential premises,109
2024,Carjacking,23
2024,Commercial crime,83
2024,Common assault,161
2024,Common robbery,27
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,46
2024,Drug-related crime,42
2024,Illegal possession of firearms and ammunition,32
2024,Kidnapping,20
2024,Malicious damage to property,94
2024,Murder,56
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,96
2024,Robbery at non-residential premises,33
2024,Robbery at residential premises,31
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,133
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,4
2024,Shoplifting,70
2024,Stock-theft,13
2024,Street Robbery,87
2024,TRIO crimes,87
2024,Theft of motor vehicle and motorcycle,5
2024,Theft out of or from motor vehicle,19
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,118
2023,Attempted murder,26
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,124
2023,Burglary at residential premises,119
2023,Carjacking,8
2023,Commercial crime,46
2023,Common assault,162
2023,Common robbery,11
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,28
2023,Drug-related crime,110
2023,Illegal possession of firearms and ammunition,27
2023,Kidnapping,19
2023,Malicious damage to property,72
2023,Murder,26
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,90
2023,Robbery at non-residential premises,42
2023,Robbery at residential premises,31
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,139
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,1
2023,Shoplifting,51
2023,Stock-theft,13
2023,Street Robbery,57
2023,TRIO crimes,81
2023,Theft of motor vehicle and motorcycle,5
2023,Theft out of or from motor vehicle,29
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,109
2022,Attempted murder,24
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,91
2022,Burglary at residential premises,115
2022,Carjacking,10
2022,Commercial crime,51
2022,Common assault,112
2022,Common robbery,32
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,87
2022,Drug-related crime,78
2022,Illegal possession of firearms and ammunition,37
2022,Kidnapping,17
2022,Malicious damage to property,97
2022,Murder,53
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,135
2022,Robbery at non-residential premises,97
