year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,175
2024,Attempted murder,8
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,47
2024,Burglary at residential premises,89
2024,Carjacking,15
2024,Commercial crime,35
2024,Common assault,42
2024,Common robbery,19
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,9
2024,Drug-related crime,51
2024,Illegal possession of firearms and ammunition,1
2024,Kidnapping,7
2024,Malicious damage to property,42
2024,Murder,8
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,35
2024,Robbery at non-residential premises,5
2024,Robbery at residential premises,0
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,34
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,3
2024,Shoplifting,1
2024,Stock-theft,44
2024,Street Robbery,22
2024,TRIO crimes,20
2024,Theft of motor vehicle and motorcycle,10
2024,Theft out of or from motor vehicle,36
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,127
2023,Attempted murder,6
2023,Attempted sexual offences,5
2023,Bank robbery,0
2023,Burglary at non-residential premises,34
2023,Burglary at residential premises,107
2023,Carjacking,22
2023,Commercial crime,30
2023,Common assault,55
2023,Common robbery,20
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,2
2023,Drug-related crime,35
2023,Illegal possession of firearms and ammunition,7
2023,Kidnapping,16
2023,Malicious damage to property,42
2023,Murder,8
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,26
2023,Robbery at non-residential premises,18
2023,Robbery at residential premises,5
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,60
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,2
2023,Shoplifting,8
2023,Stock-theft,50
2023,Street Robbery,12
2023,TRIO crimes,45
2023,Theft of motor vehicle and motorcycle,13
2023,Theft out of or from motor vehicle,44
