year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,297
2024,Attempted murder,25
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,118
2024,Burglary at residential premises,338
2024,Carjacking,5
2024,Commercial crime,260
2024,Common assault,142
2024,Common robbery,65
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,102
2024,Drug-related crime,206
2024,Illegal possession of firearms and ammunition,14
2024,Kidnapping,18
2024,Malicious damage to property,148
2024,Murder,59
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,96
2024,Robbery at non-residential premises,19
2024,Robbery at residential premises,34
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,196
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,22
2024,Shoplifting,119
2024,Stock-theft,62
2024,Street Robbery,58
2024,TRIO crimes,58
2024,Theft of motor vehicle and motorcycle,43
2024,Theft out of or from motor vehicle,85
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,8
2023,Assault with the intent to inflict grievous bodily harm,223
2023,Attempted murder,24
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,143
2023,Burglary at residential premises,395
2023,Carjacking,4
2023,Commercial crime,211
2023,Common assault,93
2023,Common robbery,45
2023,Contact sexual offences,7
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,90
2023,Drug-related crime,252
2023,Illegal possession of firearms and ammunition,18
2023,Kidnapping,25
2023,Malicious damage to property,139
2023,Murder,56
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,102
2023,Robbery at non-residential premises,42
2023,Robbery at residential premises,29
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,160
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,15
2023,Shoplifting,148
2023,Stock-theft,93
2023,Street Robbery,85
2023,TRIO crimes,75
2023,Theft of motor vehicle and motorcycle,31
2023,Theft out of or from motor vehicle,86
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,10
2022,Assault with the intent to inflict grievous bodily harm,217
2022,Attempted murder,12
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,117
2022,Burglary at residential premises,397
2022,Carjacking,3
2022,Commercial crime,241
2022,Common assault,102
2022,Common robbery,44
2022,Contact sexual offences,7
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,155
2022,Drug-related crime,254
2022,Illegal possession of firearms and ammunition,4
2022,Kidnapping,21
2022,Malicious damage to property,147
2022,Murder,37
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,112
2022,Robbery at non-residential premises,22
2022,Robbery at residential premises,19
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,116
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,17
2022,Shoplifting,94
2022,Stock-theft,109
2022,Street Robbery,71
2022,TRIO crimes,44
2022,Theft of motor vehicle and motorcycle,57
2022,Theft out of or from motor vehicle,81
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,5
2021,Assault with the intent to inflict grievous bodily harm,188
2021,Attempted murder,10
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,149
2021,Burglary at residential premises,356
2021,Carjacking,6
2021,Commercial crime,193
2021,Common assault,77
2021,Common robbery,38
2021,Contact sexual offences,3
2021,Crimen Injuria,9
2021,Culpable homicide,25
2021,Driving under the influence of alcohol or drugs,82
2021,Drug-related crime,368
2021,Illegal possession of firearms and ammunition,12
2021,Kidnapping,10
2021,Malicious damage to property,125
2021,Murder,27
2021,Neglect and ill-treatment of children,1
2021,Public violence,4
2021,Rape,92
2021,Robbery at non-residential premises,20
2021,Robbery at residential premises,18
