year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,304
2024,Attempted murder,31
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,157
2024,Burglary at residential premises,354
2024,Carjacking,6
2024,Commercial crime,259
2024,Common assault,205
2024,Common robbery,62
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,155
2024,Drug-related crime,114
2024,Illegal possession of firearms and ammunition,32
2024,Kidnapping,7
2024,Malicious damage to property,165
2024,Murder,38
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,90
2024,Robbery at non-residential premises,20
2024,Robbery at residential premises,24
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,128
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,30
2024,Shoplifting,94
2024,Stock-theft,72
2024,Street Robbery,51
2024,TRIO crimes,50
2024,Theft of motor vehicle and motorcycle,54
2024,Theft out of or from motor vehicle,127
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,211
2023,Attempted murder,32
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,162
2023,Burglary at residential premises,382
2023,Carjacking,8
2023,Commercial crime,251
2023,Common assault,176
2023,Common robbery,53
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,105
2023,Drug-related crime,90
2023,Illegal possession of firearms and ammunition,25
2023,Kidnapping,15
2023,Malicious damage to property,194
2023,Murder,72
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,79
2023,Robbery at non-residential premises,44
2023,Robbery at residential premises,43
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,208
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,24
2023,Shoplifting,83
2023,Stock-theft,76
2023,Street Robbery,111
2023,TRIO crimes,95
2023,Theft of motor vehicle and motorcycle,55
2023,Theft out of or from motor vehicle,166
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,276
2022,Attempted murder,44
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,146
2022,Burglary at residential premises,487
2022,Carjacking,12
2022,Commercial crime,277
2022,Common assault,186
2022,Common robbery,55
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,157
2022,Drug-related crime,66
2022,Illegal possession of firearms and ammunition,20
2022,Kidnapping,18
2022,Malicious damage to property,210
2022,Murder,56
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,105
2022,Robbery at non-residential premises,48
2022,Robbery at residential premises,64
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,232
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,11
2022,Shoplifting,93
2022,Stock-theft,76
2022,Street Robbery,107
2022,TRIO crimes,124
2022,Theft of motor vehicle and motorcycle,47
2022,Theft out of or from motor vehicle,142
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,9
2021,Assault with the intent to inflict grievous bodily harm,247
2021,Attempted murder,31
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,108
2021,Burglary at residential premises,530
2021,Carjacking,3
2021,Commercial crime,240
2021,Common assault,216
2021,Common robbery,65
2021,Contact sexual offences,4
2021,Crimen Injuria,4
2021,Culpable homicide,30
2021,Driving under the influence of alcohol or drugs,112
2021,Drug-related crime,80
2021,Illegal possession of firearms and ammunition,13
2021,Kidnapping,15
2021,Malicious damage to property,162
2021,Murder,45
2021,Neglect and ill-treatment of children,5
2021,Public violence,6
2021,Rape,89
2021,Robbery at non-residential premises,42
2021,Robbery at residential premises,23
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,144
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,28
2021,Shoplifting,101
2021,Stock-theft,75
2021,Street Robbery,74
2021,TRIO crimes,68
2021,Theft of motor vehicle and motorcycle,40
2021,Theft out of or from motor vehicle,129
2021,Truck hijacking,2
2020,Abduction,0
2020,Arson,4
2020,Assault with the intent to inflict grievous bodily harm,313
2020,Attempted murder,18
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,144
2020,Burglary at residential premises,489
2020,Carjacking,5
2020,Commercial crime,258
2020,Common assault,224
2020,Common robbery,75
2020,Contact sexual offences,5
2020,Crimen Injuria,9
2020,Culpable homicide,32
2020,Driving under the influence of alcohol or drugs,264
2020,Drug-related crime,98
2020,Illegal possession of firearms and ammunition,13
