year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,133
2024,Attempted murder,11
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,78
2024,Burglary at residential premises,119
2024,Carjacking,11
2024,Commercial crime,23
2024,Common assault,95
2024,Common robbery,22
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,2
2024,Drug-related crime,4
2024,Illegal possession of firearms and ammunition,2
2024,Kidnapping,7
2024,Malicious damage to property,49
2024,Murder,4
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,28
2024,Robbery at non-residential premises,37
2024,Robbery at residential premises,31
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,114
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,3
2024,Shoplifting,13
2024,Stock-theft,98
2024,Street Robbery,79
2024,TRIO crimes,79
2024,Theft of motor vehicle and motorcycle,8
2024,Theft out of or from motor vehicle,8
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,110
2023,Attempted murder,10
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,110
2023,Burglary at residential premises,107
2023,Carjacking,10
2023,Commercial crime,21
2023,Common assault,82
2023,Common robbery,17
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,6
2023,Drug-related crime,16
2023,Illegal possession of firearms and ammunition,3
2023,Kidnapping,2
2023,Malicious damage to property,56
2023,Murder,7
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,46
2023,Robbery at non-residential premises,24
2023,Robbery at residential premises,14
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,87
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,9
2023,Stock-theft,89
2023,Street Robbery,39
2023,TRIO crimes,48
2023,Theft of motor vehicle and motorcycle,7
2023,Theft out of or from motor vehicle,6
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,122
2022,Attempted murder,9
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,74
2022,Burglary at residential premises,103
2022,Carjacking,12
2022,Commercial crime,19
2022,Common assault,74
2022,Common robbery,17
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,4
2022,Drug-related crime,32
2022,Illegal possession of firearms and ammunition,2
2022,Kidnapping,8
2022,Malicious damage to property,36
2022,Murder,9
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,29
2022,Robbery at non-residential premises,31
2022,Robbery at residential premises,29
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,104
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,3
2022,Shoplifting,4
2022,Stock-theft,40
2022,Street Robbery,32
2022,TRIO crimes,72
2022,Theft of motor vehicle and motorcycle,10
2022,Theft out of or from motor vehicle,8
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,87
2021,Attempted murder,4
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,63
2021,Burglary at residential premises,101
2021,Carjacking,3
2021,Commercial crime,23
2021,Common assault,93
2021,Common robbery,17
2021,Contact sexual offences,0
2021,Crimen Injuria,6
2021,Culpable homicide,4
2021,Driving under the influence of alcohol or drugs,3
2021,Drug-related crime,28
2021,Illegal possession of firearms and ammunition,1
2021,Kidnapping,0
2021,Malicious damage to property,49
2021,Murder,6
2021,Neglect and ill-treatment of children,1
2021,Public violence,0
2021,Rape,23
2021,Robbery at non-residential premises,25
2021,Robbery at residential premises,32
