year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,212
2024,Attempted murder,26
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,91
2024,Burglary at residential premises,136
2024,Carjacking,22
2024,Commercial crime,54
2024,Common assault,244
2024,Common robbery,32
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,17
2024,Drug-related crime,13
2024,Illegal possession of firearms and ammunition,14
2024,Kidnapping,16
2024,Malicious damage to property,103
2024,Murder,18
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,39
2024,Robbery at non-residential premises,36
2024,Robbery at residential premises,23
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,127
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,6
2024,Shoplifting,103
2024,Stock-theft,78
2024,Street Robbery,83
2024,TRIO crimes,81
2024,Theft of motor vehicle and motorcycle,17
2024,Theft out of or from motor vehicle,52
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,190
2023,Attempted murder,25
2023,Attempted sexual offences,8
2023,Bank robbery,0
2023,Burglary at non-residential premises,123
2023,Burglary at residential premises,181
2023,Carjacking,13
2023,Commercial crime,61
2023,Common assault,230
2023,Common robbery,23
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,6
2023,Drug-related crime,8
2023,Illegal possession of firearms and ammunition,8
2023,Kidnapping,8
2023,Malicious damage to property,95
2023,Murder,25
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,48
2023,Robbery at non-residential premises,30
2023,Robbery at residential premises,27
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,116
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,6
2023,Shoplifting,104
2023,Stock-theft,51
2023,Street Robbery,45
2023,TRIO crimes,70
2023,Theft of motor vehicle and motorcycle,19
2023,Theft out of or from motor vehicle,22
