year,category,value
2024,Abduction,0
2024,Arson,8
2024,Assault with the intent to inflict grievous bodily harm,567
2024,Attempted murder,48
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,140
2024,Burglary at residential premises,320
2024,Carjacking,44
2024,Commercial crime,145
2024,Common assault,424
2024,Common robbery,105
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,63
2024,Drug-related crime,95
2024,Illegal possession of firearms and ammunition,31
2024,Kidnapping,40
2024,Malicious damage to property,271
2024,Murder,86
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,76
2024,Robbery at non-residential premises,53
2024,Robbery at residential premises,73
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,320
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,2
2024,Shoplifting,142
2024,Stock-theft,118
2024,Street Robbery,172
2024,TRIO crimes,170
2024,Theft of motor vehicle and motorcycle,45
2024,Theft out of or from motor vehicle,110
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,9
2023,Assault with the intent to inflict grievous bodily harm,581
2023,Attempted murder,56
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,158
2023,Burglary at residential premises,465
2023,Carjacking,47
2023,Commercial crime,184
2023,Common assault,401
2023,Common robbery,115
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,14
2023,Drug-related crime,69
2023,Illegal possession of firearms and ammunition,12
2023,Kidnapping,32
2023,Malicious damage to property,282
2023,Murder,75
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,86
2023,Robbery at non-residential premises,68
2023,Robbery at residential premises,68
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,317
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,21
2023,Shoplifting,163
2023,Stock-theft,121
2023,Street Robbery,132
2023,TRIO crimes,183
2023,Theft of motor vehicle and motorcycle,31
2023,Theft out of or from motor vehicle,111
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,542
2022,Attempted murder,52
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,122
2022,Burglary at residential premises,361
2022,Carjacking,89
2022,Commercial crime,173
2022,Common assault,325
2022,Common robbery,66
2022,Contact sexual offences,3
2022,Crimen Injuria,-1
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,34
2022,Drug-related crime,51
2022,Illegal possession of firearms and ammunition,13
2022,Kidnapping,26
2022,Malicious damage to property,247
2022,Murder,38
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,108
2022,Robbery at non-residential premises,62
2022,Robbery at residential premises,77
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,349
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,16
2022,Shoplifting,146
2022,Stock-theft,80
2022,Street Robbery,120
2022,TRIO crimes,228
2022,Theft of motor vehicle and motorcycle,35
2022,Theft out of or from motor vehicle,59
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,6
2021,Assault with the intent to inflict grievous bodily harm,465
2021,Attempted murder,33
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,195
2021,Burglary at residential premises,323
2021,Carjacking,37
2021,Commercial crime,122
2021,Common assault,300
2021,Common robbery,81
2021,Contact sexual offences,6
2021,Crimen Injuria,6
2021,Culpable homicide,34
2021,Driving under the influence of alcohol or drugs,34
2021,Drug-related crime,87
2021,Illegal possession of firearms and ammunition,2
2021,Kidnapping,15
2021,Malicious damage to property,225
2021,Murder,41
2021,Neglect and ill-treatment of children,2
2021,Public violence,3
2021,Rape,78
2021,Robbery at non-residential premises,71
2021,Robbery at residential premises,60
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,261
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,19
2021,Shoplifting,117
2021,Stock-theft,96
2021,Street Robbery,88
2021,TRIO crimes,168
2021,Theft of motor vehicle and motorcycle,28
2021,Theft out of or from motor vehicle,49
2021,Truck hijacking,5
2020,Abduction,0
2020,Arson,4
2020,Assault with the intent to inflict grievous bodily harm,466
2020,Attempted murder,26
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,209
2020,Burglary at residential premises,437
2020,Carjacking,49
2020,Commercial crime,116
2020,Common assault,228
2020,Common robbery,97
2020,Contact sexual offences,2
2020,Crimen Injuria,7
2020,Culpable homicide,40
2020,Driving under the influence of alcohol or drugs,54
2020,Drug-related crime,234
2020,Illegal possession of firearms and ammunition,2
2020,Kidnapping,13
2020,Malicious damage to property,202
2020,Murder,44
2020,Neglect and ill-treatment of children,2
2020,Public violence,2
2020,Rape,90
2020,Robbery at non-residential premises,64
2020,Robbery at residential premises,62
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,307
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,13
2020,Shoplifting,144
2020,Stock-theft,122
2020,Street Robbery,131
2020,TRIO crimes,175
2020,Theft of motor vehicle and motorcycle,78
2020,Theft out of or from motor vehicle,76
2020,Truck hijacking,1
2019,Abduction,0
2019,Arson,6
2019,Assault with the intent to inflict grievous bodily harm,534
2019,Attempted murder,41
2019,Attempted sexual offences,2
2019,Bank robbery,0
2019,Burglary at non-residential premises,229
2019,Burglary at residential premises,487
2019,Carjacking,40
2019,Commercial crime,119
2019,Common assault,267
2019,Common robbery,93
2019,Contact sexual offences,2
2019,Crimen Injuria,8
2019,Culpable homicide,38
2019,Driving under the influence of alcohol or drugs,39
2019,Drug-related crime,272
2019,Illegal possession of firearms and ammunition,36
2019,Kidnapping,15
2019,Malicious damage to property,202
2019,Murder,41
2019,Neglect and ill-treatment of children,4
2019,Public violence,4
2019,Rape,68
2019,Robbery at non-residential premises,59
2019,Robbery at residential premises,59
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,284
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,10
2019,Shoplifting,138
2019,Stock-theft,137
2019,Street Robbery,123
2019,TRIO crimes,158
2019,Theft of motor vehicle and motorcycle,52
2019,Theft out of or from motor vehicle,116
2019,Truck hijacking,3
2018,Abduction,1
2018,Arson,9
2018,Assault with the intent to inflict grievous bodily harm,395
2018,Attempted murder,31
2018,Attempted sexual offences,8
2018,Bank robbery,0
2018,Burglary at non-residential premises,173
2018,Burglary at residential premises,484
2018,Carjacking,46
2018,Commercial crime,91
2018,Common assault,219
2018,Common robbery,63
2018,Contact sexual offences,3
2018,Crimen Injuria,6
2018,Culpable homicide,64
2018,Driving under the influence of alcohol or drugs,116
2018,Drug-related crime,296
2018,Illegal possession of firearms and ammunition,22
2018,Kidnapping,16
2018,Malicious damage to property,198
2018,Murder,41
2018,Neglect and ill-treatment of children,4
2018,Public violence,3
2018,Rape,94
2018,Robbery at non-residential premises,59
2018,Robbery at residential premises,52
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,272
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,7
2018,Shoplifting,145
2018,Stock-theft,142
2018,Street Robbery,114
2018,TRIO crimes,157
2018,Theft of motor vehicle and motorcycle,59
2018,Theft out of or from motor vehicle,94
2018,Truck hijacking,1
2017,Abduction,1
2017,Arson,13
2017,Assault with the intent to inflict grievous bodily harm,440
2017,Attempted murder,34
2017,Attempted sexual offences,1
2017,Bank robbery,0
2017,Burglary at non-residential premises,171
2017,Burglary at residential premises,469
