year,category,value
2024,Abduction,0
2024,Arson,11
2024,Assault with the intent to inflict grievous bodily harm,268
2024,Attempted murder,116
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,84
2024,Burglary at residential premises,183
2024,Carjacking,68
2024,Commercial crime,151
2024,Common assault,341
2024,Common robbery,75
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,19
2024,Drug-related crime,59
2024,Illegal possession of firearms and ammunition,7
2024,Kidnapping,106
2024,Malicious damage to property,214
2024,Murder,23
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,45
2024,Robbery at non-residential premises,45
2024,Robbery at residential premises,31
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,306
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,10
2024,Shoplifting,85
2024,Stock-theft,23
2024,Street Robbery,178
2024,TRIO crimes,144
2024,Theft of motor vehicle and motorcycle,50
2024,Theft out of or from motor vehicle,121
2024,Truck hijacking,34
2023,Abduction,0
2023,Arson,14
2023,Assault with the intent to inflict grievous bodily harm,200
2023,Attempted murder,124
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,91
2023,Burglary at residential premises,231
2023,Carjacking,94
2023,Commercial crime,119
2023,Common assault,357
2023,Common robbery,59
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,12
2023,Drug-related crime,60
2023,Illegal possession of firearms and ammunition,8
2023,Kidnapping,177
2023,Malicious damage to property,211
2023,Murder,29
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,53
2023,Robbery at non-residential premises,46
2023,Robbery at residential premises,56
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,376
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,8
2023,Shoplifting,56
2023,Stock-theft,37
2023,Street Robbery,127
2023,TRIO crimes,196
2023,Theft of motor vehicle and motorcycle,40
2023,Theft out of or from motor vehicle,121
2023,Truck hijacking,53
2022,Abduction,0
2022,Arson,17
2022,Assault with the intent to inflict grievous bodily harm,151
2022,Attempted murder,86
2022,Attempted sexual offences,5
2022,Bank robbery,0
2022,Burglary at non-residential premises,102
2022,Burglary at residential premises,232
2022,Carjacking,73
2022,Commercial crime,82
2022,Common assault,264
2022,Common robbery,65
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,29
2022,Drug-related crime,33
2022,Illegal possession of firearms and ammunition,8
2022,Kidnapping,154
2022,Malicious damage to property,163
2022,Murder,34
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,77
2022,Robbery at non-residential premises,62
2022,Robbery at residential premises,35
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,334
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,9
2022,Shoplifting,46
2022,Stock-theft,45
2022,Street Robbery,117
2022,TRIO crimes,170
2022,Theft of motor vehicle and motorcycle,42
2022,Theft out of or from motor vehicle,155
2022,Truck hijacking,47
2021,Abduction,0
2021,Arson,11
2021,Assault with the intent to inflict grievous bodily harm,177
2021,Attempted murder,75
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,137
2021,Burglary at residential premises,231
2021,Carjacking,66
2021,Commercial crime,74
2021,Common assault,269
2021,Common robbery,65
2021,Contact sexual offences,1
2021,Crimen Injuria,15
2021,Culpable homicide,20
2021,Driving under the influence of alcohol or drugs,19
2021,Drug-related crime,29
2021,Illegal possession of firearms and ammunition,5
2021,Kidnapping,98
2021,Malicious damage to property,159
2021,Murder,20
2021,Neglect and ill-treatment of children,0
2021,Public violence,7
2021,Rape,46
2021,Robbery at non-residential premises,49
2021,Robbery at residential premises,24
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,296
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,6
2021,Shoplifting,33
2021,Stock-theft,40
2021,Street Robbery,128
2021,TRIO crimes,139
2021,Theft of motor vehicle and motorcycle,44
2021,Theft out of or from motor vehicle,159
2021,Truck hijacking,29
2020,Abduction,0
2020,Arson,8
2020,Assault with the intent to inflict grievous bodily harm,185
2020,Attempted murder,59
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,170
2020,Burglary at residential premises,286
2020,Carjacking,65
2020,Commercial crime,71
2020,Common assault,190
2020,Common robbery,58
2020,Contact sexual offences,0
2020,Crimen Injuria,6
2020,Culpable homicide,28
2020,Driving under the influence of alcohol or drugs,37
2020,Drug-related crime,81
2020,Illegal possession of firearms and ammunition,5
2020,Kidnapping,66
2020,Malicious damage to property,153
2020,Murder,28
2020,Neglect and ill-treatment of children,1
2020,Public violence,6
2020,Rape,55
2020,Robbery at non-residential premises,42
2020,Robbery at residential premises,30
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,310
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,7
2020,Shoplifting,66
2020,Stock-theft,38
2020,Street Robbery,131
2020,TRIO crimes,137
2020,Theft of motor vehicle and motorcycle,72
2020,Theft out of or from motor vehicle,213
2020,Truck hijacking,42
2019,Abduction,1
2019,Arson,3
2019,Assault with the intent to inflict grievous bodily harm,185
2019,Attempted murder,57
2019,Attempted sexual offences,1
2019,Bank robbery,0
2019,Burglary at non-residential premises,157
2019,Burglary at residential premises,293
2019,Carjacking,91
2019,Commercial crime,74
2019,Common assault,168
2019,Common robbery,57
2019,Contact sexual offences,1
