year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,491
2024,Attempted murder,39
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,202
2024,Burglary at residential premises,420
2024,Carjacking,38
2024,Commercial crime,169
2024,Common assault,526
2024,Common robbery,144
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,205
2024,Drug-related crime,393
2024,Illegal possession of firearms and ammunition,66
2024,Kidnapping,28
2024,Malicious damage to property,260
2024,Murder,36
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,101
2024,Robbery at non-residential premises,62
2024,Robbery at residential premises,53
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,538
2024,Sexual Offences detected as a result of police action,122
2024,Sexual assault,12
2024,Shoplifting,127
2024,Stock-theft,19
2024,Street Robbery,167
2024,TRIO crimes,153
2024,Theft of motor vehicle and motorcycle,106
2024,Theft out of or from motor vehicle,217
2024,Truck hijacking,14
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,414
2023,Attempted murder,58
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,176
2023,Burglary at residential premises,372
2023,Carjacking,31
2023,Commercial crime,148
2023,Common assault,385
2023,Common robbery,107
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,162
2023,Drug-related crime,318
2023,Illegal possession of firearms and ammunition,52
2023,Kidnapping,26
2023,Malicious damage to property,229
2023,Murder,37
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,68
2023,Robbery at non-residential premises,63
2023,Robbery at residential premises,60
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,454
2023,Sexual Offences detected as a result of police action,96
2023,Sexual assault,10
2023,Shoplifting,104
2023,Stock-theft,23
2023,Street Robbery,286
2023,TRIO crimes,154
2023,Theft of motor vehicle and motorcycle,139
2023,Theft out of or from motor vehicle,231
2023,Truck hijacking,13
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,389
2022,Attempted murder,52
2022,Attempted sexual offences,4
2022,Bank robbery,0
2022,Burglary at non-residential premises,187
2022,Burglary at residential premises,315
2022,Carjacking,34
2022,Commercial crime,148
2022,Common assault,307
2022,Common robbery,96
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,-1
2022,Driving under the influence of alcohol or drugs,166
2022,Drug-related crime,195
2022,Illegal possession of firearms and ammunition,37
2022,Kidnapping,9
2022,Malicious damage to property,207
2022,Murder,26
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,61
2022,Robbery at non-residential premises,73
2022,Robbery at residential premises,82
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,446
2022,Sexual Offences detected as a result of police action,34
2022,Sexual assault,11
2022,Shoplifting,104
2022,Stock-theft,33
2022,Street Robbery,247
2022,TRIO crimes,189
2022,Theft of motor vehicle and motorcycle,191
2022,Theft out of or from motor vehicle,259
2022,Truck hijacking,9
2021,Abduction,0
2021,Arson,4
