year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,137
2024,Attempted murder,13
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,139
2024,Burglary at residential premises,270
2024,Carjacking,15
2024,Commercial crime,196
2024,Common assault,180
2024,Common robbery,21
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,103
2024,Drug-related crime,191
2024,Illegal possession of firearms and ammunition,22
2024,Kidnapping,12
2024,Malicious damage to property,129
2024,Murder,14
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,22
2024,Robbery at non-residential premises,34
2024,Robbery at residential premises,32
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,136
2024,Sexual Offences detected as a result of police action,40
2024,Sexual assault,9
2024,Shoplifting,41
2024,Stock-theft,12
2024,Street Robbery,84
2024,TRIO crimes,81
2024,Theft of motor vehicle and motorcycle,99
2024,Theft out of or from motor vehicle,91
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,138
2023,Attempted murder,19
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,117
2023,Burglary at residential premises,320
2023,Carjacking,17
2023,Commercial crime,198
2023,Common assault,130
2023,Common robbery,21
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,82
2023,Drug-related crime,176
2023,Illegal possession of firearms and ammunition,6
2023,Kidnapping,6
2023,Malicious damage to property,152
2023,Murder,7
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,37
2023,Robbery at non-residential premises,23
2023,Robbery at residential premises,46
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,141
2023,Sexual Offences detected as a result of police action,28
2023,Sexual assault,8
2023,Shoplifting,26
2023,Stock-theft,20
2023,Street Robbery,54
2023,TRIO crimes,86
2023,Theft of motor vehicle and motorcycle,138
2023,Theft out of or from motor vehicle,89
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,96
2022,Attempted murder,19
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,97
2022,Burglary at residential premises,329
2022,Carjacking,11
2022,Commercial crime,248
2022,Common assault,128
2022,Common robbery,17
2022,Contact sexual offences,7
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,69
2022,Drug-related crime,129
2022,Illegal possession of firearms and ammunition,7
2022,Kidnapping,8
2022,Malicious damage to property,139
2022,Murder,8
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,21
2022,Robbery at non-residential premises,22
2022,Robbery at residential premises,49
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,137
2022,Sexual Offences detected as a result of police action,15
2022,Sexual assault,7
2022,Shoplifting,15
2022,Stock-theft,21
2022,Street Robbery,54
2022,TRIO crimes,82
2022,Theft of motor vehicle and motorcycle,170
2022,Theft out of or from motor vehicle,125
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,3
