year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,774
2024,Attempted murder,83
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,167
2024,Burglary at residential premises,612
2024,Carjacking,48
2024,Commercial crime,108
2024,Common assault,1313
2024,Common robbery,331
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,274
2024,Drug-related crime,447
2024,Illegal possession of firearms and ammunition,78
2024,Kidnapping,66
2024,Malicious damage to property,425
2024,Murder,48
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,158
2024,Robbery at non-residential premises,70
2024,Robbery at residential premises,104
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,635
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,30
2024,Shoplifting,75
2024,Stock-theft,43
2024,Street Robbery,224
2024,TRIO crimes,222
2024,Theft of motor vehicle and motorcycle,120
2024,Theft out of or from motor vehicle,131
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,7
2023,Assault with the intent to inflict grievous bodily harm,835
2023,Attempted murder,72
2023,Attempted sexual offences,9
2023,Bank robbery,0
2023,Burglary at non-residential premises,263
2023,Burglary at residential premises,680
2023,Carjacking,51
2023,Commercial crime,111
2023,Common assault,1352
2023,Common robbery,282
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,290
2023,Drug-related crime,345
2023,Illegal possession of firearms and ammunition,69
2023,Kidnapping,53
2023,Malicious damage to property,509
2023,Murder,58
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,165
2023,Robbery at non-residential premises,99
2023,Robbery at residential premises,95
2023,Robbery of cash in transit,3
2023,Robbery with aggravating circumstances,576
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,44
2023,Shoplifting,86
2023,Stock-theft,75
2023,Street Robbery,328
2023,TRIO crimes,245
2023,Theft of motor vehicle and motorcycle,73
2023,Theft out of or from motor vehicle,99
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,12
2022,Assault with the intent to inflict grievous bodily harm,1072
2022,Attempted murder,65
2022,Attempted sexual offences,9
2022,Bank robbery,0
2022,Burglary at non-residential premises,144
2022,Burglary at residential premises,580
2022,Carjacking,64
2022,Commercial crime,83
2022,Common assault,1189
2022,Common robbery,256
2022,Contact sexual offences,4
2022,Crimen Injuria,0
2022,Culpable homicide,-1
2022,Driving under the influence of alcohol or drugs,247
2022,Drug-related crime,277
2022,Illegal possession of firearms and ammunition,43
2022,Kidnapping,68
2022,Malicious damage to property,608
2022,Murder,54
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,215
2022,Robbery at non-residential premises,89
2022,Robbery at residential premises,104
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,617
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,44
2022,Shoplifting,86
2022,Stock-theft,92
2022,Street Robbery,357
2022,TRIO crimes,257
2022,Theft of motor vehicle and motorcycle,57
2022,Theft out of or from motor vehicle,148
2022,Truck hijacking,3
2021,Abduction,0
2021,Arson,13
2021,Assault with the intent to inflict grievous bodily harm,989
2021,Attempted murder,58
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,218
2021,Burglary at residential premises,583
2021,Carjacking,48
2021,Commercial crime,110
2021,Common assault,893
2021,Common robbery,206
2021,Contact sexual offences,3
2021,Crimen Injuria,41
2021,Culpable homicide,27
2021,Driving under the influence of alcohol or drugs,91
2021,Drug-related crime,178
2021,Illegal possession of firearms and ammunition,27
2021,Kidnapping,36
2021,Malicious damage to property,564
2021,Murder,40
2021,Neglect and ill-treatment of children,6
2021,Public violence,1
2021,Rape,168
2021,Robbery at non-residential premises,83
