year,category,value
2024,Abduction,0
2024,Arson,14
2024,Assault with the intent to inflict grievous bodily harm,440
2024,Attempted murder,36
2024,Attempted sexual offences,11
2024,Bank robbery,0
2024,Burglary at non-residential premises,176
2024,Burglary at residential premises,282
2024,Carjacking,16
2024,Commercial crime,227
2024,Common assault,553
2024,Common robbery,100
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,141
2024,Drug-related crime,153
2024,Illegal possession of firearms and ammunition,4
2024,Kidnapping,33
2024,Malicious damage to property,307
2024,Murder,35
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,139
2024,Robbery at non-residential premises,74
2024,Robbery at residential premises,38
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,230
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,9
2024,Shoplifting,38
2024,Stock-theft,70
2024,Street Robbery,128
2024,TRIO crimes,128
2024,Theft of motor vehicle and motorcycle,24
2024,Theft out of or from motor vehicle,25
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,14
2023,Assault with the intent to inflict grievous bodily harm,460
2023,Attempted murder,48
2023,Attempted sexual offences,23
2023,Bank robbery,0
2023,Burglary at non-residential premises,100
2023,Burglary at residential premises,304
2023,Carjacking,21
2023,Commercial crime,1360
2023,Common assault,429
2023,Common robbery,61
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,141
2023,Drug-related crime,112
2023,Illegal possession of firearms and ammunition,7
2023,Kidnapping,12
2023,Malicious damage to property,276
2023,Murder,40
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,96
2023,Robbery at non-residential premises,58
2023,Robbery at residential premises,33
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,194
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,9
2023,Shoplifting,90
2023,Stock-theft,44
2023,Street Robbery,81
2023,TRIO crimes,112
2023,Theft of motor vehicle and motorcycle,18
2023,Theft out of or from motor vehicle,34
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,22
2022,Assault with the intent to inflict grievous bodily harm,373
2022,Attempted murder,19
2022,Attempted sexual offences,19
2022,Bank robbery,0
2022,Burglary at non-residential premises,116
2022,Burglary at residential premises,251
2022,Carjacking,15
2022,Commercial crime,174
2022,Common assault,371
2022,Common robbery,54
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,82
2022,Drug-related crime,91
2022,Illegal possession of firearms and ammunition,7
2022,Kidnapping,14
2022,Malicious damage to property,225
2022,Murder,26
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,94
2022,Robbery at non-residential premises,60
2022,Robbery at residential premises,19
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,144
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,6
2022,Shoplifting,68
2022,Stock-theft,59
2022,Street Robbery,48
2022,TRIO crimes,94
2022,Theft of motor vehicle and motorcycle,55
2022,Theft out of or from motor vehicle,39
2022,Truck hijacking,2
2021,Abduction,0
2021,Arson,19
2021,Assault with the intent to inflict grievous bodily harm,313
2021,Attempted murder,18
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,178
2021,Burglary at residential premises,337
2021,Carjacking,6
2021,Commercial crime,110
2021,Common assault,342
2021,Common robbery,47
2021,Contact sexual offences,0
2021,Crimen Injuria,63
2021,Culpable homicide,19
2021,Driving under the influence of alcohol or drugs,50
2021,Drug-related crime,72
2021,Illegal possession of firearms and ammunition,8
2021,Kidnapping,17
2021,Malicious damage to property,174
2021,Murder,14
2021,Neglect and ill-treatment of children,7
2021,Public violence,2
2021,Rape,81
2021,Robbery at non-residential premises,59
2021,Robbery at residential premises,37
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,149
2021,Sexual Offences detected as a result of police action,2
2021,Sexual assault,6
2021,Shoplifting,67
2021,Stock-theft,99
2021,Street Robbery,46
2021,TRIO crimes,102
2021,Theft of motor vehicle and motorcycle,63
2021,Theft out of or from motor vehicle,41
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,28
2020,Assault with the intent to inflict grievous bodily harm,342
2020,Attempted murder,31
2020,Attempted sexual offences,17
2020,Bank robbery,0
2020,Burglary at non-residential premises,160
2020,Burglary at residential premises,368
2020,Carjacking,10
2020,Commercial crime,126
2020,Common assault,314
2020,Common robbery,46
2020,Contact sexual offences,2
2020,Crimen Injuria,40
2020,Culpable homicide,26
2020,Driving under the influence of alcohol or drugs,96
2020,Drug-related crime,135
2020,Illegal possession of firearms and ammunition,8
2020,Kidnapping,10
2020,Malicious damage to property,202
2020,Murder,26
2020,Neglect and ill-treatment of children,12
2020,Public violence,5
2020,Rape,92
2020,Robbery at non-residential premises,51
2020,Robbery at residential premises,27
2020,Robbery of cash in transit,2
2020,Robbery with aggravating circumstances,166
2020,Sexual Offences detected as a result of police action,1
2020,Sexual assault,7
2020,Shoplifting,76
2020,Stock-theft,120
2020,Street Robbery,74
2020,TRIO crimes,88
2020,Theft of motor vehicle and motorcycle,44
2020,Theft out of or from motor vehicle,36
2020,Truck hijacking,2
2019,Abduction,0
2019,Arson,17
2019,Assault with the intent to inflict grievous bodily harm,360
2019,Attempted murder,38
2019,Attempted sexual offences,7
2019,Bank robbery,0
2019,Burglary at non-residential premises,148
2019,Burglary at residential premises,353
2019,Carjacking,11
2019,Commercial crime,135
2019,Common assault,267
2019,Common robbery,55
2019,Contact sexual offences,5
2019,Crimen Injuria,40
2019,Culpable homicide,27
2019,Driving under the influence of alcohol or drugs,58
2019,Drug-related crime,102
2019,Illegal possession of firearms and ammunition,19
2019,Kidnapping,7
2019,Malicious damage to property,198
2019,Murder,43
2019,Neglect and ill-treatment of children,16
2019,Public violence,4
2019,Rape,93
2019,Robbery at non-residential premises,74
2019,Robbery at residential premises,46
2019,Robbery of cash in transit,2
2019,Robbery with aggravating circumstances,183
2019,Sexual Offences detected as a result of police action,3
2019,Sexual assault,5
2019,Shoplifting,42
2019,Stock-theft,170
2019,Street Robbery,50
2019,TRIO crimes,131
2019,Theft of motor vehicle and motorcycle,29
2019,Theft out of or from motor vehicle,46
2019,Truck hijacking,0
2018,Abduction,2
2018,Arson,13
2018,Assault with the intent to inflict grievous bodily harm,342
2018,Attempted murder,26
2018,Attempted sexual offences,11
2018,Bank robbery,0
