year,category,value
2024,Abduction,0
2024,Arson,17
2024,Assault with the intent to inflict grievous bodily harm,818
2024,Attempted murder,74
2024,Attempted sexual offences,11
2024,Bank robbery,0
2024,Burglary at non-residential premises,78
2024,Burglary at residential premises,292
2024,Carjacking,78
2024,Commercial crime,105
2024,Common assault,619
2024,Common robbery,100
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,99
2024,Drug-related crime,170
2024,Illegal possession of firearms and ammunition,59
2024,Kidnapping,44
2024,Malicious damage to property,277
2024,Murder,77
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,153
2024,Robbery at non-residential premises,66
2024,Robbery at residential premises,67
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,419
2024,Sexual Offences detected as a result of police action,68
2024,Sexual assault,22
2024,Shoplifting,31
2024,Stock-theft,19
2024,Street Robbery,213
2024,TRIO crimes,211
2024,Theft of motor vehicle and motorcycle,101
2024,Theft out of or from motor vehicle,56
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,9
2023,Assault with the intent to inflict grievous bodily harm,709
2023,Attempted murder,61
2023,Attempted sexual offences,15
2023,Bank robbery,0
2023,Burglary at non-residential premises,67
2023,Burglary at residential premises,338
2023,Carjacking,37
2023,Commercial crime,88
2023,Common assault,477
2023,Common robbery,79
2023,Contact sexual offences,6
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,48
2023,Drug-related crime,120
2023,Illegal possession of firearms and ammunition,51
2023,Kidnapping,25
2023,Malicious damage to property,260
2023,Murder,84
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,136
2023,Robbery at non-residential premises,34
2023,Robbery at residential premises,51
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,349
2023,Sexual Offences detected as a result of police action,33
2023,Sexual assault,5
2023,Shoplifting,40
2023,Stock-theft,22
2023,Street Robbery,217
2023,TRIO crimes,122
2023,Theft of motor vehicle and motorcycle,124
2023,Theft out of or from motor vehicle,74
2023,Truck hijacking,9
2022,Abduction,0
2022,Arson,10
2022,Assault with the intent to inflict grievous bodily harm,630
2022,Attempted murder,56
2022,Attempted sexual offences,4
2022,Bank robbery,0
2022,Burglary at non-residential premises,92
2022,Burglary at residential premises,345
2022,Carjacking,32
2022,Commercial crime,71
2022,Common assault,363
2022,Common robbery,50
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,44
2022,Drug-related crime,104
2022,Illegal possession of firearms and ammunition,25
2022,Kidnapping,19
2022,Malicious damage to property,234
2022,Murder,68
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,134
2022,Robbery at non-residential premises,53
2022,Robbery at residential premises,43
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,292
2022,Sexual Offences detected as a result of police action,14
2022,Sexual assault,8
2022,Shoplifting,32
2022,Stock-theft,23
2022,Street Robbery,159
2022,TRIO crimes,128
2022,Theft of motor vehicle and motorcycle,115
2022,Theft out of or from motor vehicle,66
2022,Truck hijacking,5
2021,Abduction,0
2021,Arson,8
2021,Assault with the intent to inflict grievous bodily harm,509
2021,Attempted murder,40
2021,Attempted sexual offences,8
2021,Bank robbery,0
2021,Burglary at non-residential premises,78
2021,Burglary at residential premises,281
2021,Carjacking,21
2021,Commercial crime,65
2021,Common assault,312
2021,Common robbery,57
2021,Contact sexual offences,1
2021,Crimen Injuria,15
2021,Culpable homicide,12
2021,Driving under the influence of alcohol or drugs,43
2021,Drug-related crime,42
2021,Illegal possession of firearms and ammunition,25
2021,Kidnapping,9
2021,Malicious damage to property,185
2021,Murder,36
2021,Neglect and ill-treatment of children,5
2021,Public violence,6
2021,Rape,114
2021,Robbery at non-residential premises,29
2021,Robbery at residential premises,42
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,247
2021,Sexual Offences detected as a result of police action,2
2021,Sexual assault,8
2021,Shoplifting,40
2021,Stock-theft,14
2021,Street Robbery,153
2021,TRIO crimes,92
2021,Theft of motor vehicle and motorcycle,103
2021,Theft out of or from motor vehicle,66
2021,Truck hijacking,2
2020,Abduction,0
2020,Arson,8
2020,Assault with the intent to inflict grievous bodily harm,540
2020,Attempted murder,45
2020,Attempted sexual offences,10
2020,Bank robbery,0
2020,Burglary at non-residential premises,115
2020,Burglary at residential premises,328
