year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,489
2024,Attempted murder,61
2024,Attempted sexual offences,17
2024,Bank robbery,0
2024,Burglary at non-residential premises,108
2024,Burglary at residential premises,282
2024,Carjacking,34
2024,Commercial crime,214
2024,Common assault,411
2024,Common robbery,46
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,59
2024,Drug-related crime,63
2024,Illegal possession of firearms and ammunition,30
2024,Kidnapping,37
2024,Malicious damage to property,213
2024,Murder,66
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,97
2024,Robbery at non-residential premises,66
2024,Robbery at residential premises,44
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,280
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,27
2024,Stock-theft,82
2024,Street Robbery,145
2024,TRIO crimes,144
2024,Theft of motor vehicle and motorcycle,130
2024,Theft out of or from motor vehicle,73
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,494
2023,Attempted murder,44
2023,Attempted sexual offences,11
2023,Bank robbery,0
2023,Burglary at non-residential premises,161
2023,Burglary at residential premises,260
2023,Carjacking,29
2023,Commercial crime,166
2023,Common assault,382
2023,Common robbery,51
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,23
2023,Drug-related crime,43
2023,Illegal possession of firearms and ammunition,14
2023,Kidnapping,35
2023,Malicious damage to property,194
2023,Murder,70
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,88
2023,Robbery at non-residential premises,43
2023,Robbery at residential premises,33
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,221
2023,Sexual Offences detected as a result of police action,3
2023,Sexual assault,10
2023,Shoplifting,39
2023,Stock-theft,104
2023,Street Robbery,113
2023,TRIO crimes,105
2023,Theft of motor vehicle and motorcycle,171
2023,Theft out of or from motor vehicle,138
2023,Truck hijacking,3
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,405
2022,Attempted murder,34
2022,Attempted sexual offences,7
2022,Bank robbery,0
2022,Burglary at non-residential premises,131
2022,Burglary at residential premises,221
2022,Carjacking,25
2022,Commercial crime,177
2022,Common assault,269
2022,Common robbery,45
2022,Contact sexual offences,6
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,24
2022,Drug-related crime,51
2022,Illegal possession of firearms and ammunition,51
2022,Kidnapping,18
2022,Malicious damage to property,172
2022,Murder,54
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,78
2022,Robbery at non-residential premises,54
2022,Robbery at residential premises,30
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,194
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,11
2022,Shoplifting,31
2022,Stock-theft,71
2022,Street Robbery,84
2022,TRIO crimes,109
2022,Theft of motor vehicle and motorcycle,147
2022,Theft out of or from motor vehicle,100
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,0
