year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,357
2024,Attempted murder,57
2024,Attempted sexual offences,9
2024,Bank robbery,0
2024,Burglary at non-residential premises,393
2024,Burglary at residential premises,643
2024,Carjacking,65
2024,Commercial crime,1208
2024,Common assault,582
2024,Common robbery,245
2024,Contact sexual offences,4
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,186
2024,Drug-related crime,167
2024,Illegal possession of firearms and ammunition,47
2024,Kidnapping,67
2024,Malicious damage to property,331
2024,Murder,62
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,84
2024,Robbery at non-residential premises,129
2024,Robbery at residential premises,45
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,616
2024,Sexual Offences detected as a result of police action,135
2024,Sexual assault,22
2024,Shoplifting,316
2024,Stock-theft,21
2024,Street Robbery,240
2024,TRIO crimes,239
2024,Theft of motor vehicle and motorcycle,310
2024,Theft out of or from motor vehicle,592
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,359
2023,Attempted murder,59
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,572
2023,Burglary at residential premises,682
2023,Carjacking,66
2023,Commercial crime,1039
2023,Common assault,551
2023,Common robbery,219
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,124
2023,Drug-related crime,276
2023,Illegal possession of firearms and ammunition,40
2023,Kidnapping,36
2023,Malicious damage to property,351
2023,Murder,49
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,74
2023,Robbery at non-residential premises,110
2023,Robbery at residential premises,44
2023,Robbery of cash in transit,2
2023,Robbery with aggravating circumstances,621
2023,Sexual Offences detected as a result of police action,79
2023,Sexual assault,25
2023,Shoplifting,333
2023,Stock-theft,13
2023,Street Robbery,394
2023,TRIO crimes,220
2023,Theft of motor vehicle and motorcycle,352
2023,Theft out of or from motor vehicle,840
2023,Truck hijacking,5
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,329
2022,Attempted murder,60
2022,Attempted sexual offences,5
2022,Bank robbery,0
2022,Burglary at non-residential premises,533
2022,Burglary at residential premises,640
2022,Carjacking,61
2022,Commercial crime,789
2022,Common assault,500
2022,Common robbery,226
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,123
2022,Drug-related crime,257
2022,Illegal possession of firearms and ammunition,53
2022,Kidnapping,36
2022,Malicious damage to property,306
2022,Murder,54
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,75
2022,Robbery at non-residential premises,164
2022,Robbery at residential premises,60
2022,Robbery of cash in transit,4
2022,Robbery with aggravating circumstances,621
2022,Sexual Offences detected as a result of police action,53
2022,Sexual assault,22
2022,Shoplifting,370
2022,Stock-theft,18
2022,Street Robbery,329
2022,TRIO crimes,285
2022,Theft of motor vehicle and motorcycle,257
2022,Theft out of or from motor vehicle,715
2022,Truck hijacking,3
2021,Abduction,0
2021,Arson,5
