year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,246
2024,Attempted murder,55
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,56
2024,Burglary at residential premises,172
2024,Carjacking,19
2024,Commercial crime,36
2024,Common assault,174
2024,Common robbery,22
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,7
2024,Drug-related crime,30
2024,Illegal possession of firearms and ammunition,38
2024,Kidnapping,22
2024,Malicious damage to property,71
2024,Murder,65
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,113
2024,Robbery at non-residential premises,61
2024,Robbery at residential premises,59
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,231
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,12
2024,Shoplifting,34
2024,Stock-theft,12
2024,Street Robbery,139
2024,TRIO crimes,139
2024,Theft of motor vehicle and motorcycle,5
2024,Theft out of or from motor vehicle,35
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,204
2023,Attempted murder,47
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,61
2023,Burglary at residential premises,224
2023,Carjacking,18
2023,Commercial crime,18
2023,Common assault,139
2023,Common robbery,17
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,2
2023,Drug-related crime,23
2023,Illegal possession of firearms and ammunition,40
2023,Kidnapping,22
2023,Malicious damage to property,80
2023,Murder,76
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,97
2023,Robbery at non-residential premises,54
2023,Robbery at residential premises,49
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,172
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,12
2023,Shoplifting,26
2023,Stock-theft,10
2023,Street Robbery,51
2023,TRIO crimes,121
2023,Theft of motor vehicle and motorcycle,22
2023,Theft out of or from motor vehicle,13
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,144
2022,Attempted murder,22
2022,Attempted sexual offences,9
2022,Bank robbery,0
2022,Burglary at non-residential premises,17
2022,Burglary at residential premises,145
2022,Carjacking,13
2022,Commercial crime,20
2022,Common assault,118
2022,Common robbery,15
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,8
2022,Drug-related crime,16
2022,Illegal possession of firearms and ammunition,27
2022,Kidnapping,20
2022,Malicious damage to property,57
2022,Murder,53
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,87
2022,Robbery at non-residential premises,25
2022,Robbery at residential premises,22
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,96
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,7
2022,Shoplifting,20
2022,Stock-theft,11
2022,Street Robbery,36
2022,TRIO crimes,60
2022,Theft of motor vehicle and motorcycle,14
2022,Theft out of or from motor vehicle,19
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,137
2021,Attempted murder,18
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,30
2021,Burglary at residential premises,156
2021,Carjacking,13
2021,Commercial crime,19
2021,Common assault,126
2021,Common robbery,19
2021,Contact sexual offences,0
2021,Crimen Injuria,10
2021,Culpable homicide,4
2021,Driving under the influence of alcohol or drugs,5
2021,Drug-related crime,44
2021,Illegal possession of firearms and ammunition,27
2021,Kidnapping,19
2021,Malicious damage to property,76
2021,Murder,54
2021,Neglect and ill-treatment of children,1
2021,Public violence,1
2021,Rape,89
2021,Robbery at non-residential premises,40
2021,Robbery at residential premises,25
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,124
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,12
2021,Shoplifting,23
2021,Stock-theft,15
2021,Street Robbery,46
2021,TRIO crimes,78
2021,Theft of motor vehicle and motorcycle,14
2021,Theft out of or from motor vehicle,30
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,4
2020,Assault with the intent to inflict grievous bodily harm,185
2020,Attempted murder,33
2020,Attempted sexual offences,7
2020,Bank robbery,0
2020,Burglary at non-residential premises,36
2020,Burglary at residential premises,238
2020,Carjacking,6
2020,Commercial crime,10
2020,Common assault,115
2020,Common robbery,22
2020,Contact sexual offences,2
2020,Crimen Injuria,2
2020,Culpable homicide,2
2020,Driving under the influence of alcohol or drugs,10
2020,Drug-related crime,40
2020,Illegal possession of firearms and ammunition,26
2020,Kidnapping,11
2020,Malicious damage to property,68
2020,Murder,48
2020,Neglect and ill-treatment of children,2
2020,Public violence,2
2020,Rape,97
2020,Robbery at non-residential premises,14
2020,Robbery at residential premises,41
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,132
2020,Sexual Offences detected as a result of police action,1
2020,Sexual assault,6
2020,Shoplifting,19
2020,Stock-theft,11
2020,Street Robbery,71
2020,TRIO crimes,61
2020,Theft of motor vehicle and motorcycle,28
2020,Theft out of or from motor vehicle,28
2020,Truck hijacking,0
2019,Abduction,3
2019,Arson,10
2019,Assault with the intent to inflict grievous bodily harm,184
2019,Attempted murder,21
2019,Attempted sexual offences,6
2019,Bank robbery,0
2019,Burglary at non-residential premises,41
2019,Burglary at residential premises,264
2019,Carjacking,1
2019,Commercial crime,12
2019,Common assault,112
2019,Common robbery,26
2019,Contact sexual offences,3
2019,Crimen Injuria,1
2019,Culpable homicide,1
2019,Driving under the influence of alcohol or drugs,23
2019,Drug-related crime,30
2019,Illegal possession of firearms and ammunition,43
2019,Kidnapping,9
2019,Malicious damage to property,72
2019,Murder,52
2019,Neglect and ill-treatment of children,3
2019,Public violence,0
2019,Rape,86
2019,Robbery at non-residential premises,18
2019,Robbery at residential premises,40
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,120
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,9
2019,Shoplifting,6
2019,Stock-theft,10
2019,Street Robbery,61
2019,TRIO crimes,59
2019,Theft of motor vehicle and motorcycle,14
2019,Theft out of or from motor vehicle,32
2019,Truck hijacking,0
2018,Abduction,5
2018,Arson,9
2018,Assault with the intent to inflict grievous bodily harm,196
2018,Attempted murder,24
2018,Attempted sexual offences,10
2018,Bank robbery,0
2018,Burglary at non-residential premises,47
2018,Burglary at residential premises,274
2018,Carjacking,7
2018,Commercial crime,11
2018,Common assault,154
2018,Common robbery,25
2018,Contact sexual offences,5
2018,Crimen Injuria,2
2018,Culpable homicide,4
2018,Driving under the influence of alcohol or drugs,26
2018,Drug-related crime,75
2018,Illegal possession of firearms and ammunition,22
2018,Kidnapping,13
2018,Malicious damage to property,70
2018,Murder,42
2018,Neglect and ill-treatment of children,4
2018,Public violence,0
2018,Rape,117
2018,Robbery at non-residential premises,30
2018,Robbery at residential premises,52
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,162
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,12
2018,Shoplifting,2
2018,Stock-theft,9
2018,Street Robbery,73
2018,TRIO crimes,89
2018,Theft of motor vehicle and motorcycle,31
2018,Theft out of or from motor vehicle,28
2018,Truck hijacking,0
2017,Abduction,20
2017,Arson,9
2017,Assault with the intent to inflict grievous bodily harm,171
2017,Attempted murder,13
2017,Attempted sexual offences,8
2017,Bank robbery,0
2017,Burglary at non-residential premises,34
2017,Burglary at residential premises,277
2017,Carjacking,7
2017,Commercial crime,8
2017,Common assault,114
2017,Common robbery,21
2017,Contact sexual offences,20
2017,Crimen Injuria,5
2017,Culpable homicide,7
2017,Driving under the influence of alcohol or drugs,11
2017,Drug-related crime,50
2017,Illegal possession of firearms and ammunition,14
2017,Kidnapping,9
