year,category,value
2024,Abduction,0
2024,Arson,12
2024,Assault with the intent to inflict grievous bodily harm,247
2024,Attempted murder,28
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,32
2024,Burglary at residential premises,65
2024,Carjacking,5
2024,Commercial crime,31
2024,Common assault,151
2024,Common robbery,7
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,4
2024,Drug-related crime,25
2024,Illegal possession of firearms and ammunition,39
2024,Kidnapping,13
2024,Malicious damage to property,97
2024,Murder,22
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,61
2024,Robbery at non-residential premises,15
2024,Robbery at residential premises,10
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,55
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,3
2024,Shoplifting,0
2024,Stock-theft,1
2024,Street Robbery,30
2024,TRIO crimes,30
2024,Theft of motor vehicle and motorcycle,11
2024,Theft out of or from motor vehicle,25
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,7
2023,Assault with the intent to inflict grievous bodily harm,213
2023,Attempted murder,19
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,21
2023,Burglary at residential premises,78
2023,Carjacking,1
2023,Commercial crime,18
2023,Common assault,132
2023,Common robbery,10
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,4
2023,Drug-related crime,21
2023,Illegal possession of firearms and ammunition,16
2023,Kidnapping,7
2023,Malicious damage to property,83
2023,Murder,27
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,45
2023,Robbery at non-residential premises,12
2023,Robbery at residential premises,15
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,44
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,7
2023,Shoplifting,0
2023,Stock-theft,6
2023,Street Robbery,16
2023,TRIO crimes,28
2023,Theft of motor vehicle and motorcycle,14
2023,Theft out of or from motor vehicle,15
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,5
2022,Assault with the intent to inflict grievous bodily harm,207
2022,Attempted murder,23
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,37
2022,Burglary at residential premises,134
2022,Carjacking,0
2022,Commercial crime,33
2022,Common assault,131
2022,Common robbery,12
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,7
2022,Drug-related crime,18
2022,Illegal possession of firearms and ammunition,9
2022,Kidnapping,12
2022,Malicious damage to property,81
2022,Murder,20
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,48
2022,Robbery at non-residential premises,10
2022,Robbery at residential premises,17
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,61
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,4
2022,Shoplifting,0
2022,Stock-theft,24
2022,Street Robbery,34
2022,TRIO crimes,27
2022,Theft of motor vehicle and motorcycle,6
2022,Theft out of or from motor vehicle,20
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,7
2021,Assault with the intent to inflict grievous bodily harm,199
2021,Attempted murder,29
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,36
2021,Burglary at residential premises,161
2021,Carjacking,1
2021,Commercial crime,38
2021,Common assault,121
2021,Common robbery,24
2021,Contact sexual offences,2
2021,Crimen Injuria,9
2021,Culpable homicide,1
2021,Driving under the influence of alcohol or drugs,5
2021,Drug-related crime,15
2021,Illegal possession of firearms and ammunition,24
2021,Kidnapping,15
2021,Malicious damage to property,86
2021,Murder,13
2021,Neglect and ill-treatment of children,1
2021,Public violence,2
2021,Rape,45
2021,Robbery at non-residential premises,11
2021,Robbery at residential premises,15
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,69
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,10
2021,Shoplifting,0
2021,Stock-theft,9
2021,Street Robbery,42
2021,TRIO crimes,27
2021,Theft of motor vehicle and motorcycle,10
2021,Theft out of or from motor vehicle,24
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,4
2020,Assault with the intent to inflict grievous bodily harm,237
2020,Attempted murder,17
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,43
2020,Burglary at residential premises,189
2020,Carjacking,0
2020,Commercial crime,10
2020,Common assault,137
2020,Common robbery,32
2020,Contact sexual offences,7
2020,Crimen Injuria,5
2020,Culpable homicide,3
2020,Driving under the influence of alcohol or drugs,11
2020,Drug-related crime,77
2020,Illegal possession of firearms and ammunition,24
2020,Kidnapping,4
2020,Malicious damage to property,106
2020,Murder,14
2020,Neglect and ill-treatment of children,3
2020,Public violence,3
2020,Rape,56
2020,Robbery at non-residential premises,19
2020,Robbery at residential premises,13
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,95
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,4
2020,Shoplifting,0
2020,Stock-theft,28
2020,Street Robbery,63
2020,TRIO crimes,32
2020,Theft of motor vehicle and motorcycle,7
2020,Theft out of or from motor vehicle,39
2020,Truck hijacking,0
2019,Abduction,8
2019,Arson,5
2019,Assault with the intent to inflict grievous bodily harm,251
2019,Attempted murder,31
2019,Attempted sexual offences,0
2019,Bank robbery,0
2019,Burglary at non-residential premises,50
2019,Burglary at residential premises,232
2019,Carjacking,1
2019,Commercial crime,9
2019,Common assault,165
2019,Common robbery,25
2019,Contact sexual offences,9
2019,Crimen Injuria,9
2019,Culpable homicide,8
2019,Driving under the influence of alcohol or drugs,9
2019,Drug-related crime,102
2019,Illegal possession of firearms and ammunition,17
2019,Kidnapping,5
2019,Malicious damage to property,79
2019,Murder,14
2019,Neglect and ill-treatment of children,2
2019,Public violence,0
2019,Rape,59
2019,Robbery at non-residential premises,21
2019,Robbery at residential premises,40
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,128
2019,Sexual Offences detected as a result of police action,1
2019,Sexual assault,3
2019,Shoplifting,0
2019,Stock-theft,20
2019,Street Robbery,66
2019,TRIO crimes,62
2019,Theft of motor vehicle and motorcycle,7
2019,Theft out of or from motor vehicle,34
2019,Truck hijacking,0
2018,Abduction,5
2018,Arson,7
2018,Assault with the intent to inflict grievous bodily harm,253
2018,Attempted murder,51
2018,Attempted sexual offences,3
2018,Bank robbery,0
2018,Burglary at non-residential premises,32
2018,Burglary at residential premises,206
2018,Carjacking,1
2018,Commercial crime,6
2018,Common assault,141
2018,Common robbery,16
2018,Contact sexual offences,6
2018,Crimen Injuria,7
2018,Culpable homicide,8
2018,Driving under the influence of alcohol or drugs,16
2018,Drug-related crime,107
2018,Illegal possession of firearms and ammunition,21
2018,Kidnapping,6
2018,Malicious damage to property,81
2018,Murder,21
2018,Neglect and ill-treatment of children,1
2018,Public violence,0
2018,Rape,85
2018,Robbery at non-residential premises,31
2018,Robbery at residential premises,32
