year,category,value
2024,Abduction,0
2024,Arson,8
2024,Assault with the intent to inflict grievous bodily harm,166
2024,Attempted murder,34
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,242
2024,Burglary at residential premises,518
2024,Carjacking,39
2024,Commercial crime,539
2024,Common assault,503
2024,Common robbery,212
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,81
2024,Drug-related crime,169
2024,Illegal possession of firearms and ammunition,55
2024,Kidnapping,30
2024,Malicious damage to property,217
2024,Murder,47
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,61
2024,Robbery at non-residential premises,68
2024,Robbery at residential premises,67
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,478
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,14
2024,Shoplifting,209
2024,Stock-theft,38
2024,Street Robbery,180
2024,TRIO crimes,174
2024,Theft of motor vehicle and motorcycle,54
2024,Theft out of or from motor vehicle,459
2024,Truck hijacking,4
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,159
2023,Attempted murder,34
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,322
2023,Burglary at residential premises,515
2023,Carjacking,37
2023,Commercial crime,543
2023,Common assault,432
2023,Common robbery,158
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,57
2023,Drug-related crime,163
2023,Illegal possession of firearms and ammunition,70
2023,Kidnapping,32
2023,Malicious damage to property,204
2023,Murder,35
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,115
2023,Robbery at non-residential premises,110
2023,Robbery at residential premises,44
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,477
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,25
2023,Shoplifting,223
2023,Stock-theft,26
2023,Street Robbery,284
2023,TRIO crimes,191
2023,Theft of motor vehicle and motorcycle,77
2023,Theft out of or from motor vehicle,418
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,8
2022,Assault with the intent to inflict grievous bodily harm,185
2022,Attempted murder,32
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,240
2022,Burglary at residential premises,506
2022,Carjacking,16
2022,Commercial crime,394
2022,Common assault,402
2022,Common robbery,189
2022,Contact sexual offences,5
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,93
2022,Drug-related crime,135
2022,Illegal possession of firearms and ammunition,15
2022,Kidnapping,21
2022,Malicious damage to property,257
2022,Murder,29
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,70
2022,Robbery at non-residential premises,79
2022,Robbery at residential premises,30
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,392
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,16
2022,Shoplifting,173
2022,Stock-theft,39
2022,Street Robbery,265
2022,TRIO crimes,125
2022,Theft of motor vehicle and motorcycle,51
2022,Theft out of or from motor vehicle,503
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,4
2021,Assault with the intent to inflict grievous bodily harm,146
2021,Attempted murder,23
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,231
2021,Burglary at residential premises,475
2021,Carjacking,10
2021,Commercial crime,269
2021,Common assault,384
2021,Common robbery,143
2021,Contact sexual offences,2
2021,Crimen Injuria,59
2021,Culpable homicide,33
2021,Driving under the influence of alcohol or drugs,56
2021,Drug-related crime,221
2021,Illegal possession of firearms and ammunition,35
2021,Kidnapping,16
2021,Malicious damage to property,253
2021,Murder,24
2021,Neglect and ill-treatment of children,3
2021,Public violence,5
2021,Rape,79
2021,Robbery at non-residential premises,71
2021,Robbery at residential premises,36
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,323
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,18
2021,Shoplifting,131
2021,Stock-theft,46
2021,Street Robbery,205
2021,TRIO crimes,117
2021,Theft of motor vehicle and motorcycle,42
2021,Theft out of or from motor vehicle,533
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,6
2020,Assault with the intent to inflict grievous bodily harm,146
2020,Attempted murder,24
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,239
2020,Burglary at residential premises,645
2020,Carjacking,11
2020,Commercial crime,413
2020,Common assault,368
2020,Common robbery,213
2020,Contact sexual offences,5
2020,Crimen Injuria,75
2020,Culpable homicide,29
2020,Driving under the influence of alcohol or drugs,115
2020,Drug-related crime,330
2020,Illegal possession of firearms and ammunition,35
2020,Kidnapping,13
2020,Malicious damage to property,227
2020,Murder,20
2020,Neglect and ill-treatment of children,1
2020,Public violence,2
2020,Rape,44
2020,Robbery at non-residential premises,67
2020,Robbery at residential premises,46
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,359
2020,Sexual Offences detected as a result of police action,2
2020,Sexual assault,17
2020,Shoplifting,169
2020,Stock-theft,41
2020,Street Robbery,233
2020,TRIO crimes,124
2020,Theft of motor vehicle and motorcycle,83
2020,Theft out of or from motor vehicle,564
2020,Truck hijacking,2
2019,Abduction,1
2019,Arson,5
2019,Assault with the intent to inflict grievous bodily harm,173
2019,Attempted murder,49
2019,Attempted sexual offences,1
2019,Bank robbery,0
2019,Burglary at non-residential premises,296
2019,Burglary at residential premises,758
2019,Carjacking,12
2019,Commercial crime,303
2019,Common assault,353
2019,Common robbery,174
2019,Contact sexual offences,2
2019,Crimen Injuria,68
2019,Culpable homicide,40
2019,Driving under the influence of alcohol or drugs,86
2019,Drug-related crime,335
2019,Illegal possession of firearms and ammunition,20
2019,Kidnapping,20
2019,Malicious damage to property,238
2019,Murder,20
2019,Neglect and ill-treatment of children,0
2019,Public violence,6
2019,Rape,98
2019,Robbery at non-residential premises,41
2019,Robbery at residential premises,50
2019,Robbery of cash in transit,2
2019,Robbery with aggravating circumstances,307
2019,Sexual Offences detected as a result of police action,3
2019,Sexual assault,28
2019,Shoplifting,207
2019,Stock-theft,39
2019,Street Robbery,198
2019,TRIO crimes,103
2019,Theft of motor vehicle and motorcycle,119
2019,Theft out of or from motor vehicle,755
2019,Truck hijacking,4
2018,Abduction,5
2018,Arson,2
2018,Assault with the intent to inflict grievous bodily harm,190
2018,Attempted murder,26
2018,Attempted sexual offences,5
2018,Bank robbery,0
2018,Burglary at non-residential premises,313
2018,Burglary at residential premises,705
2018,Carjacking,6
2018,Commercial crime,432
2018,Common assault,303
2018,Common robbery,115
2018,Contact sexual offences,8
2018,Crimen Injuria,34
2018,Culpable homicide,38
2018,Driving under the influence of alcohol or drugs,74
2018,Drug-related crime,293
2018,Illegal possession of firearms and ammunition,26
2018,Kidnapping,10
2018,Malicious damage to property,181
2018,Murder,23
2018,Neglect and ill-treatment of children,0
2018,Public violence,1
2018,Rape,75
2018,Robbery at non-residential premises,34
2018,Robbery at residential premises,34
2018,Robbery of cash in transit,1
2018,Robbery with aggravating circumstances,243
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,48
2018,Shoplifting,186
2018,Stock-theft,54
2018,Street Robbery,167
2018,TRIO crimes,74
2018,Theft of motor vehicle and motorcycle,106
2018,Theft out of or from motor vehicle,500
2018,Truck hijacking,1
2017,Abduction,3
2017,Arson,5
2017,Assault with the intent to inflict grievous bodily harm,190
2017,Attempted murder,47
2017,Attempted sexual offences,3
2017,Bank robbery,0
2017,Burglary at non-residential premises,322
2017,Burglary at residential premises,840
