year,category,value
2024,Abduction,0
2024,Arson,20
2024,Assault with the intent to inflict grievous bodily harm,760
2024,Attempted murder,12
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,78
2024,Burglary at residential premises,596
2024,Carjacking,1
2024,Commercial crime,142
2024,Common assault,507
2024,Common robbery,91
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,19
2024,Drug-related crime,110
2024,Illegal possession of firearms and ammunition,22
2024,Kidnapping,10
2024,Malicious damage to property,382
2024,Murder,40
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,136
2024,Robbery at non-residential premises,19
2024,Robbery at residential premises,18
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,212
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,29
2024,Shoplifting,58
2024,Stock-theft,30
2024,Street Robbery,38
2024,TRIO crimes,38
2024,Theft of motor vehicle and motorcycle,13
2024,Theft out of or from motor vehicle,114
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,12
2023,Assault with the intent to inflict grievous bodily harm,758
2023,Attempted murder,16
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,72
2023,Burglary at residential premises,616
2023,Carjacking,9
2023,Commercial crime,108
2023,Common assault,531
2023,Common robbery,114
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,4
2023,Drug-related crime,89
2023,Illegal possession of firearms and ammunition,9
2023,Kidnapping,9
2023,Malicious damage to property,457
2023,Murder,44
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,125
2023,Robbery at non-residential premises,18
2023,Robbery at residential premises,21
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,180
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,22
2023,Shoplifting,50
2023,Stock-theft,29
2023,Street Robbery,131
2023,TRIO crimes,48
2023,Theft of motor vehicle and motorcycle,26
2023,Theft out of or from motor vehicle,139
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,15
2022,Assault with the intent to inflict grievous bodily harm,775
2022,Attempted murder,16
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,106
2022,Burglary at residential premises,723
2022,Carjacking,4
2022,Commercial crime,73
2022,Common assault,485
2022,Common robbery,89
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,41
2022,Drug-related crime,81
2022,Illegal possession of firearms and ammunition,3
2022,Kidnapping,13
2022,Malicious damage to property,460
2022,Murder,39
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,113
2022,Robbery at non-residential premises,26
2022,Robbery at residential premises,22
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,247
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,20
2022,Shoplifting,30
2022,Stock-theft,11
2022,Street Robbery,195
2022,TRIO crimes,52
