year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,271
2024,Attempted murder,29
2024,Attempted sexual offences,6
2024,Bank robbery,0
2024,Burglary at non-residential premises,139
2024,Burglary at residential premises,175
2024,Carjacking,3
2024,Commercial crime,318
2024,Common assault,204
2024,Common robbery,84
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,13
2024,Drug-related crime,38
2024,Illegal possession of firearms and ammunition,5
2024,Kidnapping,7
2024,Malicious damage to property,158
2024,Murder,19
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,62
2024,Robbery at non-residential premises,50
2024,Robbery at residential premises,33
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,274
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,3
2024,Shoplifting,26
2024,Stock-theft,43
2024,Street Robbery,88
2024,TRIO crimes,86
2024,Theft of motor vehicle and motorcycle,4
2024,Theft out of or from motor vehicle,158
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,299
2023,Attempted murder,16
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,138
2023,Burglary at residential premises,247
2023,Carjacking,1
2023,Commercial crime,63
2023,Common assault,179
2023,Common robbery,80
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,8
2023,Drug-related crime,35
2023,Illegal possession of firearms and ammunition,5
2023,Kidnapping,3
2023,Malicious damage to property,160
2023,Murder,13
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,50
2023,Robbery at non-residential premises,26
2023,Robbery at residential premises,9
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,124
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,8
2023,Shoplifting,27
2023,Stock-theft,48
2023,Street Robbery,87
2023,TRIO crimes,36
2023,Theft of motor vehicle and motorcycle,4
2023,Theft out of or from motor vehicle,175
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,221
2022,Attempted murder,18
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,96
2022,Burglary at residential premises,216
2022,Carjacking,1
2022,Commercial crime,1407
2022,Common assault,203
2022,Common robbery,59
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,21
2022,Drug-related crime,32
2022,Illegal possession of firearms and ammunition,6
2022,Kidnapping,10
2022,Malicious damage to property,131
2022,Murder,10
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,45
2022,Robbery at non-residential premises,20
2022,Robbery at residential premises,7
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,94
2022,Sexual Offences detected as a result of police action,2
2022,Sexual assault,4
2022,Shoplifting,23
2022,Stock-theft,56
2022,Street Robbery,66
2022,TRIO crimes,28
2022,Theft of motor vehicle and motorcycle,8
2022,Theft out of or from motor vehicle,76
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,194
2021,Attempted murder,14
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,135
2021,Burglary at residential premises,218
2021,Carjacking,0
2021,Commercial crime,35
2021,Common assault,117
2021,Common robbery,56
2021,Contact sexual offences,0
2021,Crimen Injuria,15
2021,Culpable homicide,14
2021,Driving under the influence of alcohol or drugs,12
2021,Drug-related crime,41
2021,Illegal possession of firearms and ammunition,6
2021,Kidnapping,4
2021,Malicious damage to property,93
2021,Murder,7
2021,Neglect and ill-treatment of children,3
2021,Public violence,1
2021,Rape,49
2021,Robbery at non-residential premises,12
2021,Robbery at residential premises,9
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,86
2021,Sexual Offences detected as a result of police action,4
2021,Sexual assault,4
2021,Shoplifting,33
2021,Stock-theft,98
2021,Street Robbery,65
2021,TRIO crimes,21
2021,Theft of motor vehicle and motorcycle,4
2021,Theft out of or from motor vehicle,84
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,4
2020,Assault with the intent to inflict grievous bodily harm,191
2020,Attempted murder,9
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,107
2020,Burglary at residential premises,202
2020,Carjacking,2
2020,Commercial crime,39
2020,Common assault,108
2020,Common robbery,44
2020,Contact sexual offences,2
2020,Crimen Injuria,13
2020,Culpable homicide,14
2020,Driving under the influence of alcohol or drugs,12
2020,Drug-related crime,28
2020,Illegal possession of firearms and ammunition,6
