year,category,value
2024,Abduction,0
2024,Arson,6
2024,Assault with the intent to inflict grievous bodily harm,373
2024,Attempted murder,11
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,31
2024,Burglary at residential premises,124
2024,Carjacking,4
2024,Commercial crime,35
2024,Common assault,142
2024,Common robbery,22
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,11
2024,Drug-related crime,29
2024,Illegal possession of firearms and ammunition,2
2024,Kidnapping,13
2024,Malicious damage to property,87
2024,Murder,12
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,62
2024,Robbery at non-residential premises,13
2024,Robbery at residential premises,12
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,79
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,4
2024,Shoplifting,0
2024,Stock-theft,70
2024,Street Robbery,30
2024,TRIO crimes,29
2024,Theft of motor vehicle and motorcycle,2
2024,Theft out of or from motor vehicle,26
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,321
2023,Attempted murder,3
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,42
2023,Burglary at residential premises,160
2023,Carjacking,6
2023,Commercial crime,19
2023,Common assault,101
2023,Common robbery,34
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,8
2023,Drug-related crime,17
2023,Illegal possession of firearms and ammunition,4
2023,Kidnapping,15
2023,Malicious damage to property,120
2023,Murder,9
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,59
2023,Robbery at non-residential premises,6
2023,Robbery at residential premises,9
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,46
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,6
2023,Shoplifting,0
2023,Stock-theft,83
2023,Street Robbery,24
2023,TRIO crimes,21
2023,Theft of motor vehicle and motorcycle,2
2023,Theft out of or from motor vehicle,18
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,228
2022,Attempted murder,1
2022,Attempted sexual offences,6
2022,Bank robbery,0
2022,Burglary at non-residential premises,50
2022,Burglary at residential premises,180
2022,Carjacking,3
2022,Commercial crime,15
2022,Common assault,91
2022,Common robbery,22
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,9
2022,Drug-related crime,26
2022,Illegal possession of firearms and ammunition,0
2022,Kidnapping,15
2022,Malicious damage to property,81
2022,Murder,14
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,81
2022,Robbery at non-residential premises,10
2022,Robbery at residential premises,16
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,60
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,2
2022,Shoplifting,0
2022,Stock-theft,89
2022,Street Robbery,29
2022,TRIO crimes,29
2022,Theft of motor vehicle and motorcycle,4
2022,Theft out of or from motor vehicle,21
2022,Truck hijacking,2
2021,Abduction,0
2021,Arson,1
2021,Assault with the intent to inflict grievous bodily harm,247
2021,Attempted murder,7
2021,Attempted sexual offences,13
2021,Bank robbery,0
2021,Burglary at non-residential premises,30
2021,Burglary at residential premises,186
2021,Carjacking,4
2021,Commercial crime,12
2021,Common assault,51
2021,Common robbery,14
2021,Contact sexual offences,5
2021,Crimen Injuria,6
2021,Culpable homicide,3
2021,Driving under the influence of alcohol or drugs,8
2021,Drug-related crime,25
2021,Illegal possession of firearms and ammunition,15
2021,Kidnapping,9
2021,Malicious damage to property,64
2021,Murder,7
2021,Neglect and ill-treatment of children,1
2021,Public violence,0
2021,Rape,67
2021,Robbery at non-residential premises,13
2021,Robbery at residential premises,7
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,34
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,1
2021,Shoplifting,0
2021,Stock-theft,107
2021,Street Robbery,9
2021,TRIO crimes,24
2021,Theft of motor vehicle and motorcycle,5
2021,Theft out of or from motor vehicle,16
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,2
2020,Assault with the intent to inflict grievous bodily harm,251
2020,Attempted murder,6
2020,Attempted sexual offences,8
2020,Bank robbery,0
2020,Burglary at non-residential premises,37
2020,Burglary at residential premises,216
2020,Carjacking,4
2020,Commercial crime,4
2020,Common assault,45
2020,Common robbery,20
2020,Contact sexual offences,2
2020,Crimen Injuria,3
2020,Culpable homicide,2
2020,Driving under the influence of alcohol or drugs,14
2020,Drug-related crime,159
2020,Illegal possession of firearms and ammunition,15
2020,Kidnapping,4
2020,Malicious damage to property,55
2020,Murder,8
2020,Neglect and ill-treatment of children,2
2020,Public violence,1
2020,Rape,59
2020,Robbery at non-residential premises,13
2020,Robbery at residential premises,10
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,52
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,3
2020,Shoplifting,0
2020,Stock-theft,97
2020,Street Robbery,25
2020,TRIO crimes,27
2020,Theft of motor vehicle and motorcycle,10
2020,Theft out of or from motor vehicle,26
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,4
2019,Assault with the intent to inflict grievous bodily harm,211
2019,Attempted murder,11
2019,Attempted sexual offences,9
2019,Bank robbery,0
2019,Burglary at non-residential premises,76
2019,Burglary at residential premises,246
2019,Carjacking,5
2019,Commercial crime,3
2019,Common assault,46
2019,Common robbery,28
2019,Contact sexual offences,0
2019,Crimen Injuria,5
2019,Culpable homicide,10
2019,Driving under the influence of alcohol or drugs,4
2019,Drug-related crime,193
2019,Illegal possession of firearms and ammunition,9
2019,Kidnapping,2
2019,Malicious damage to property,67
2019,Murder,10
2019,Neglect and ill-treatment of children,7
2019,Public violence,2
2019,Rape,78
2019,Robbery at non-residential premises,31
2019,Robbery at residential premises,13
2019,Robbery of cash in transit,1
2019,Robbery with aggravating circumstances,78
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,4
2019,Shoplifting,0
2019,Stock-theft,58
2019,Street Robbery,28
2019,TRIO crimes,49
2019,Theft of motor vehicle and motorcycle,9
2019,Theft out of or from motor vehicle,31
2019,Truck hijacking,0
2018,Abduction,1
2018,Arson,6
2018,Assault with the intent to inflict grievous bodily harm,212
2018,Attempted murder,5
2018,Attempted sexual offences,5
2018,Bank robbery,0
2018,Burglary at non-residential premises,36
2018,Burglary at residential premises,231
2018,Carjacking,0
2018,Commercial crime,4
2018,Common assault,34
2018,Common robbery,11
2018,Contact sexual offences,1
2018,Crimen Injuria,3
2018,Culpable homicide,5
2018,Driving under the influence of alcohol or drugs,14
2018,Drug-related crime,342
2018,Illegal possession of firearms and ammunition,6
2018,Kidnapping,2
2018,Malicious damage to property,50
2018,Murder,11
2018,Neglect and ill-treatment of children,4
2018,Public violence,1
2018,Rape,64
2018,Robbery at non-residential premises,9
2018,Robbery at residential premises,7
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,45
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,3
2018,Shoplifting,0
2018,Stock-theft,74
2018,Street Robbery,29
2018,TRIO crimes,16
2018,Theft of motor vehicle and motorcycle,6
2018,Theft out of or from motor vehicle,22
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,3
2017,Assault with the intent to inflict grievous bodily harm,168
2017,Attempted murder,6
2017,Attempted sexual offences,7
2017,Bank robbery,0
2017,Burglary at non-residential premises,72
2017,Burglary at residential premises,210
2017,Carjacking,3
2017,Commercial crime,0
2017,Common assault,31
2017,Common robbery,13
2017,Contact sexual offences,0
2017,Crimen Injuria,4
2017,Culpable homicide,13
2017,Driving under the influence of alcohol or drugs,6
2017,Drug-related crime,324
2017,Illegal possession of firearms and ammunition,9
2017,Kidnapping,0
2017,Malicious damage to property,55
2017,Murder,8
2017,Neglect and ill-treatment of children,0
2017,Public violence,2
2017,Rape,58
2017,Robbery at non-residential premises,12
2017,Robbery at residential premises,9
2017,Robbery of cash in transit,0
2017,Robbery with aggravating circumstances,44
2017,Sexual Offences detected as a result of police action,0
2017,Sexual assault,2
2017,Shoplifting,0
2017,Stock-theft,61
2017,Street Robbery,19
2017,TRIO crimes,24
2017,Theft of motor vehicle and motorcycle,17
2017,Theft out of or from motor vehicle,26
2017,Truck hijacking,1
2016,Arson,0
2016,Assault with the intent to inflict grievous bodily harm,108
2016,Attempted murder,6
2016,Attempted sexual offences,9
2016,Bank robbery,0
2016,Burglary at non-residential premises,48
2016,Burglary at residential premises,181
2016,Carjacking,1
2016,Commercial crime,0
2016,Common assault,21
2016,Common robbery,10
2016,Contact sexual offences,1
2016,Crimen Injuria,0
2016,Culpable homicide,0
2016,Driving under the influence of alcohol or drugs,16
2016,Drug-related crime,289
2016,Illegal possession of firearms and ammunition,10
2016,Kidnapping,0
2016,Malicious damage to property,34
2016,Murder,4
2016,Neglect and ill-treatment of children,0
2016,Public violence,0
2016,Rape,55
2016,Robbery at non-residential premises,12
2016,Robbery at residential premises,16
2016,Robbery of cash in transit,0
2016,Robbery with aggravating circumstances,42
2016,Sexual Offences detected as a result of police action,0
2016,Sexual assault,3
2016,Shoplifting,0
2016,Stock-theft,32
2016,Street Robbery,13
2016,TRIO crimes,29
2016,Theft of motor vehicle and motorcycle,10
2016,Theft out of or from motor vehicle,21
2016,Truck hijacking,0
2015,Arson,1
2015,Assault with the intent to inflict grievous bodily harm,101
2015,Attempted murder,7
2015,Attempted sexual offences,10
2015,Bank robbery,0
2015,Burglary at non-residential premises,50
2015,Burglary at residential premises,150
2015,Carjacking,0
2015,Commercial crime,1
2015,Common assault,19
2015,Common robbery,15
2015,Contact sexual offences,0
2015,Crimen Injuria,3
2015,Culpable homicide,11
2015,Driving under the influence of alcohol or drugs,12
2015,Drug-related crime,219
2015,Illegal possession of firearms and ammunition,1
2015,Kidnapping,1
2015,Malicious damage to property,43
2015,Murder,15
2015,Neglect and ill-treatment of children,6
2015,Public violence,0
2015,Rape,88
2015,Robbery at non-residential premises,13
2015,Robbery at residential premises,7
2015,Robbery of cash in transit,0
2015,Robbery with aggravating circumstances,37
2015,Sexual Offences detected as a result of police action,0
2015,Sexual assault,3
2015,Shoplifting,0
2015,Stock-theft,46
2015,Street Robbery,17
2015,TRIO crimes,20
2015,Theft of motor vehicle and motorcycle,7
2015,Theft out of or from motor vehicle,26
2015,Truck hijacking,0
2014,Arson,1
2014,Assault with the intent to inflict grievous bodily harm,159
2014,Attempted murder,4
2014,Attempted sexual offences,13
2014,Bank robbery,0
2014,Burglary at non-residential premises,38
2014,Burglary at residential premises,167
2014,Carjacking,4
2014,Commercial crime,1
2014,Common assault,31
2014,Common robbery,8
2014,Contact sexual offences,1
2014,Crimen Injuria,1
2014,Culpable homicide,4
2014,Driving under the influence of alcohol or drugs,12
2014,Drug-related crime,143
2014,Illegal possession of firearms and ammunition,3
2014,Kidnapping,2
2014,Malicious damage to property,57
2014,Murder,11
2014,Neglect and ill-treatment of children,3
2014,Public violence,0
2014,Rape,54
2014,Robbery at non-residential premises,13
2014,Robbery at residential premises,9
2014,Robbery of cash in transit,0
2014,Robbery with aggravating circumstances,47
2014,Sexual Offences detected as a result of police action,0
2014,Sexual assault,7
2014,Shoplifting,0
2014,Stock-theft,59
2014,Street Robbery,21
2014,TRIO crimes,26
2014,Theft of motor vehicle and motorcycle,11
2014,Theft out of or from motor vehicle,18
2014,Truck hijacking,0
2013,Arson,4
2013,Assault with the intent to inflict grievous bodily harm,167
2013,Attempted murder,9
2013,Attempted sexual offences,12
2013,Bank robbery,0
2013,Burglary at non-residential premises,35
2013,Burglary at residential premises,170
2013,Carjacking,1
2013,Commercial crime,0
2013,Common assault,50
2013,Common robbery,15
2013,Contact sexual offences,10
2013,Crimen Injuria,1
2013,Culpable homicide,10
2013,Driving under the influence of alcohol or drugs,11
2013,Drug-related crime,104
2013,Illegal possession of firearms and ammunition,1
2013,Kidnapping,1
2013,Malicious damage to property,60
2013,Murder,14
2013,Neglect and ill-treatment of children,1
2013,Public violence,0
2013,Rape,87
2013,Robbery at non-residential premises,15
2013,Robbery at residential premises,12
2013,Robbery of cash in transit,0
2013,Robbery with aggravating circumstances,47
2013,Sexual Offences detected as a result of police action,0
2013,Sexual assault,6
2013,Shoplifting,0
2013,Stock-theft,66
2013,Street Robbery,19
2013,TRIO crimes,28
2013,Theft of motor vehicle and motorcycle,15
2013,Theft out of or from motor vehicle,24
2013,Truck hijacking,0
2012,Arson,8
2012,Assault with the intent to inflict grievous bodily harm,187
2012,Attempted murder,6
2012,Attempted sexual offences,7
2012,Bank robbery,0
2012,Burglary at non-residential premises,45
2012,Burglary at residential premises,153
2012,Carjacking,1
2012,Commercial crime,0
2012,Common assault,52
2012,Common robbery,27
2012,Contact sexual offences,2
2012,Crimen Injuria,4
2012,Culpable homicide,7
2012,Driving under the influence of alcohol or drugs,6
2012,Drug-related crime,81
2012,Illegal possession of firearms and ammunition,3
2012,Kidnapping,2
2012,Malicious damage to property,52
2012,Murder,8
2012,Neglect and ill-treatment of children,1
2012,Public violence,0
2012,Rape,54
