year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,545
2024,Attempted murder,15
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,228
2024,Burglary at residential premises,369
2024,Carjacking,17
2024,Commercial crime,117
2024,Common assault,396
2024,Common robbery,168
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,110
2024,Drug-related crime,154
2024,Illegal possession of firearms and ammunition,7
2024,Kidnapping,20
2024,Malicious damage to property,257
2024,Murder,25
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,99
2024,Robbery at non-residential premises,35
2024,Robbery at residential premises,24
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,335
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,4
2024,Shoplifting,190
2024,Stock-theft,71
2024,Street Robbery,76
2024,TRIO crimes,76
2024,Theft of motor vehicle and motorcycle,35
2024,Theft out of or from motor vehicle,346
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,459
2023,Attempted murder,10
2023,Attempted sexual offences,10
2023,Bank robbery,0
2023,Burglary at non-residential premises,256
2023,Burglary at residential premises,398
2023,Carjacking,9
2023,Commercial crime,81
2023,Common assault,459
2023,Common robbery,119
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,78
2023,Drug-related crime,190
2023,Illegal possession of firearms and ammunition,12
2023,Kidnapping,26
2023,Malicious damage to property,215
2023,Murder,19
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,109
2023,Robbery at non-residential premises,27
2023,Robbery at residential premises,32
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,209
2023,Sexual Offences detected as a result of police action,3
2023,Sexual assault,6
2023,Shoplifting,224
2023,Stock-theft,91
2023,Street Robbery,141
2023,TRIO crimes,68
2023,Theft of motor vehicle and motorcycle,40
2023,Theft out of or from motor vehicle,401
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,5
2022,Assault with the intent to inflict grievous bodily harm,406
2022,Attempted murder,13
2022,Attempted sexual offences,6
2022,Bank robbery,0
2022,Burglary at non-residential premises,237
2022,Burglary at residential premises,360
2022,Carjacking,11
2022,Commercial crime,103
2022,Common assault,327
2022,Common robbery,88
2022,Contact sexual offences,4
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,138
2022,Drug-related crime,143
2022,Illegal possession of firearms and ammunition,5
2022,Kidnapping,10
2022,Malicious damage to property,208
2022,Murder,27
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,112
2022,Robbery at non-residential premises,25
2022,Robbery at residential premises,24
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,171
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,10
2022,Shoplifting,233
2022,Stock-theft,60
2022,Street Robbery,111
2022,TRIO crimes,60
2022,Theft of motor vehicle and motorcycle,44
2022,Theft out of or from motor vehicle,402
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,4
