year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,708
2024,Attempted murder,22
2024,Attempted sexual offences,10
2024,Bank robbery,0
2024,Burglary at non-residential premises,138
2024,Burglary at residential premises,680
2024,Carjacking,11
2024,Commercial crime,302
2024,Common assault,258
2024,Common robbery,109
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,96
2024,Drug-related crime,140
2024,Illegal possession of firearms and ammunition,14
2024,Kidnapping,14
2024,Malicious damage to property,273
2024,Murder,37
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,122
2024,Robbery at non-residential premises,26
2024,Robbery at residential premises,60
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,339
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,12
2024,Shoplifting,83
2024,Stock-theft,151
2024,Street Robbery,103
2024,TRIO crimes,97
2024,Theft of motor vehicle and motorcycle,18
2024,Theft out of or from motor vehicle,154
2024,Truck hijacking,6
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,623
2023,Attempted murder,38
2023,Attempted sexual offences,14
2023,Bank robbery,0
2023,Burglary at non-residential premises,104
2023,Burglary at residential premises,593
2023,Carjacking,14
2023,Commercial crime,229
2023,Common assault,269
2023,Common robbery,105
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,44
2023,Drug-related crime,87
2023,Illegal possession of firearms and ammunition,22
2023,Kidnapping,16
2023,Malicious damage to property,224
2023,Murder,30
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,163
2023,Robbery at non-residential premises,23
2023,Robbery at residential premises,55
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,269
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,10
2023,Shoplifting,73
2023,Stock-theft,144
2023,Street Robbery,177
2023,TRIO crimes,92
2023,Theft of motor vehicle and motorcycle,14
2023,Theft out of or from motor vehicle,104
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,456
2022,Attempted murder,23
2022,Attempted sexual offences,18
2022,Bank robbery,0
2022,Burglary at non-residential premises,114
2022,Burglary at residential premises,504
2022,Carjacking,21
2022,Commercial crime,185
2022,Common assault,259
2022,Common robbery,70
2022,Contact sexual offences,4
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,115
2022,Drug-related crime,165
2022,Illegal possession of firearms and ammunition,10
2022,Kidnapping,19
2022,Malicious damage to property,187
2022,Murder,43
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,174
2022,Robbery at non-residential premises,20
2022,Robbery at residential premises,38
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,238
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,12
2022,Shoplifting,52
2022,Stock-theft,99
2022,Street Robbery,159
2022,TRIO crimes,79
2022,Theft of motor vehicle and motorcycle,26
2022,Theft out of or from motor vehicle,112
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,4
2021,Assault with the intent to inflict grievous bodily harm,420
2021,Attempted murder,26
2021,Attempted sexual offences,11
2021,Bank robbery,0
2021,Burglary at non-residential premises,116
2021,Burglary at residential premises,410
2021,Carjacking,4
2021,Commercial crime,146
2021,Common assault,207
2021,Common robbery,60
2021,Contact sexual offences,1
2021,Crimen Injuria,39
2021,Culpable homicide,16
2021,Driving under the influence of alcohol or drugs,74
2021,Drug-related crime,156
2021,Illegal possession of firearms and ammunition,16
2021,Kidnapping,18
2021,Malicious damage to property,159
2021,Murder,21
2021,Neglect and ill-treatment of children,9
2021,Public violence,1
2021,Rape,117
2021,Robbery at non-residential premises,16
2021,Robbery at residential premises,41
