year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,159
2024,Attempted murder,25
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,55
2024,Burglary at residential premises,101
2024,Carjacking,0
2024,Commercial crime,13
2024,Common assault,105
2024,Common robbery,12
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,4
2024,Drug-related crime,40
2024,Illegal possession of firearms and ammunition,0
2024,Kidnapping,2
2024,Malicious damage to property,74
2024,Murder,4
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,12
2024,Robbery at non-residential premises,0
2024,Robbery at residential premises,3
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,23
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,4
2024,Shoplifting,1
2024,Stock-theft,19
2024,Street Robbery,4
2024,TRIO crimes,3
2024,Theft of motor vehicle and motorcycle,1
2024,Theft out of or from motor vehicle,19
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,123
2023,Attempted murder,22
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,31
2023,Burglary at residential premises,127
2023,Carjacking,0
2023,Commercial crime,13
2023,Common assault,114
2023,Common robbery,19
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,1
2023,Drug-related crime,27
2023,Illegal possession of firearms and ammunition,0
2023,Kidnapping,1
2023,Malicious damage to property,74
2023,Murder,4
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,9
2023,Robbery at non-residential premises,4
2023,Robbery at residential premises,4
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,24
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,8
2023,Stock-theft,10
2023,Street Robbery,16
2023,TRIO crimes,8
2023,Theft of motor vehicle and motorcycle,0
2023,Theft out of or from motor vehicle,20
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,2
2022,Assault with the intent to inflict grievous bodily harm,150
2022,Attempted murder,21
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,66
2022,Burglary at residential premises,139
2022,Carjacking,0
2022,Commercial crime,18
2022,Common assault,94
2022,Common robbery,14
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,4
2022,Drug-related crime,26
2022,Illegal possession of firearms and ammunition,2
2022,Kidnapping,2
2022,Malicious damage to property,105
2022,Murder,5
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,13
2022,Robbery at non-residential premises,1
2022,Robbery at residential premises,5
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,20
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,10
2022,Shoplifting,2
2022,Stock-theft,13
2022,Street Robbery,14
2022,TRIO crimes,6
2022,Theft of motor vehicle and motorcycle,7
2022,Theft out of or from motor vehicle,29
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,1
2021,Assault with the intent to inflict grievous bodily harm,110
2021,Attempted murder,16
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,45
2021,Burglary at residential premises,154
2021,Carjacking,0
2021,Commercial crime,7
2021,Common assault,90
2021,Common robbery,20
2021,Contact sexual offences,3
2021,Crimen Injuria,24
2021,Culpable homicide,5
2021,Driving under the influence of alcohol or drugs,1
2021,Drug-related crime,24
2021,Illegal possession of firearms and ammunition,0
2021,Kidnapping,0
2021,Malicious damage to property,77
2021,Murder,5
2021,Neglect and ill-treatment of children,11
2021,Public violence,3
2021,Rape,19
2021,Robbery at non-residential premises,8
2021,Robbery at residential premises,3
