year,category,value
2024,Abduction,0
2024,Arson,10
2024,Assault with the intent to inflict grievous bodily harm,422
2024,Attempted murder,64
2024,Attempted sexual offences,10
2024,Bank robbery,0
2024,Burglary at non-residential premises,283
2024,Burglary at residential premises,551
2024,Carjacking,5
2024,Commercial crime,506
2024,Common assault,621
2024,Common robbery,278
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,67
2024,Drug-related crime,91
2024,Illegal possession of firearms and ammunition,4
2024,Kidnapping,21
2024,Malicious damage to property,369
2024,Murder,30
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,80
2024,Robbery at non-residential premises,30
2024,Robbery at residential premises,14
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,319
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,20
2024,Shoplifting,313
2024,Stock-theft,17
2024,Street Robbery,49
2024,TRIO crimes,49
2024,Theft of motor vehicle and motorcycle,34
2024,Theft out of or from motor vehicle,570
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,24
2023,Assault with the intent to inflict grievous bodily harm,372
2023,Attempted murder,80
2023,Attempted sexual offences,15
2023,Bank robbery,0
2023,Burglary at non-residential premises,300
2023,Burglary at residential premises,570
2023,Carjacking,4
2023,Commercial crime,482
2023,Common assault,614
2023,Common robbery,283
2023,Contact sexual offences,6
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,28
2023,Drug-related crime,77
2023,Illegal possession of firearms and ammunition,5
2023,Kidnapping,7
2023,Malicious damage to property,416
2023,Murder,27
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,75
2023,Robbery at non-residential premises,36
2023,Robbery at residential premises,13
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,286
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,21
2023,Shoplifting,298
2023,Stock-theft,25
2023,Street Robbery,232
2023,TRIO crimes,53
2023,Theft of motor vehicle and motorcycle,38
2023,Theft out of or from motor vehicle,555
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,14
2022,Assault with the intent to inflict grievous bodily harm,386
2022,Attempted murder,46
2022,Attempted sexual offences,7
2022,Bank robbery,0
2022,Burglary at non-residential premises,227
2022,Burglary at residential premises,427
2022,Carjacking,2
2022,Commercial crime,393
2022,Common assault,564
2022,Common robbery,243
2022,Contact sexual offences,8
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,77
2022,Drug-related crime,63
2022,Illegal possession of firearms and ammunition,4
2022,Kidnapping,2
2022,Malicious damage to property,402
2022,Murder,24
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,62
2022,Robbery at non-residential premises,25
2022,Robbery at residential premises,14
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,259
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,19
2022,Shoplifting,219
2022,Stock-theft,28
2022,Street Robbery,218
2022,TRIO crimes,41
2022,Theft of motor vehicle and motorcycle,38
2022,Theft out of or from motor vehicle,407
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,6
2021,Assault with the intent to inflict grievous bodily harm,381
2021,Attempted murder,39
2021,Attempted sexual offences,12
2021,Bank robbery,0
2021,Burglary at non-residential premises,251
2021,Burglary at residential premises,556
2021,Carjacking,1
2021,Commercial crime,313
2021,Common assault,528
2021,Common robbery,288
2021,Contact sexual offences,4
2021,Crimen Injuria,89
2021,Culpable homicide,16
2021,Driving under the influence of alcohol or drugs,46
2021,Drug-related crime,85
2021,Illegal possession of firearms and ammunition,5
2021,Kidnapping,9
2021,Malicious damage to property,332
2021,Murder,14
2021,Neglect and ill-treatment of children,5
2021,Public violence,5
2021,Rape,71
2021,Robbery at non-residential premises,26
2021,Robbery at residential premises,9
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,297
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,10
2021,Shoplifting,221
2021,Stock-theft,26
2021,Street Robbery,261
2021,TRIO crimes,36
2021,Theft of motor vehicle and motorcycle,32
2021,Theft out of or from motor vehicle,522
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,10
2020,Assault with the intent to inflict grievous bodily harm,471
2020,Attempted murder,44
2020,Attempted sexual offences,14
2020,Bank robbery,0
2020,Burglary at non-residential premises,263
2020,Burglary at residential premises,665
2020,Carjacking,6
2020,Commercial crime,345
2020,Common assault,677
2020,Common robbery,450
2020,Contact sexual offences,3
2020,Crimen Injuria,101
2020,Culpable homicide,15
2020,Driving under the influence of alcohol or drugs,126
2020,Drug-related crime,118
2020,Illegal possession of firearms and ammunition,5
2020,Kidnapping,16
2020,Malicious damage to property,443
2020,Murder,15
2020,Neglect and ill-treatment of children,8
2020,Public violence,9
2020,Rape,60
2020,Robbery at non-residential premises,17
2020,Robbery at residential premises,14
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,425
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,23
2020,Shoplifting,361
2020,Stock-theft,17
2020,Street Robbery,388
2020,TRIO crimes,37
2020,Theft of motor vehicle and motorcycle,40
2020,Theft out of or from motor vehicle,872
2020,Truck hijacking,0
2019,Abduction,1
2019,Arson,20
2019,Assault with the intent to inflict grievous bodily harm,507
2019,Attempted murder,42
2019,Attempted sexual offences,10
2019,Bank robbery,0
2019,Burglary at non-residential premises,366
2019,Burglary at residential premises,680
2019,Carjacking,3
2019,Commercial crime,330
2019,Common assault,566
2019,Common robbery,422
2019,Contact sexual offences,4
2019,Crimen Injuria,103
2019,Culpable homicide,25
2019,Driving under the influence of alcohol or drugs,107
2019,Drug-related crime,125
2019,Illegal possession of firearms and ammunition,8
2019,Kidnapping,7
2019,Malicious damage to property,465
2019,Murder,10
2019,Neglect and ill-treatment of children,3
2019,Public violence,17
2019,Rape,63
2019,Robbery at non-residential premises,28
2019,Robbery at residential premises,17
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,432
