year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,96
2024,Attempted murder,28
2024,Attempted sexual offences,6
2024,Bank robbery,0
2024,Burglary at non-residential premises,105
2024,Burglary at residential premises,105
2024,Carjacking,3
2024,Commercial crime,96
2024,Common assault,105
2024,Common robbery,40
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,14
2024,Drug-related crime,61
2024,Illegal possession of firearms and ammunition,0
2024,Kidnapping,5
2024,Malicious damage to property,75
2024,Murder,11
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,17
2024,Robbery at non-residential premises,5
2024,Robbery at residential premises,14
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,86
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,6
2024,Shoplifting,154
2024,Stock-theft,15
2024,Street Robbery,22
2024,TRIO crimes,22
2024,Theft of motor vehicle and motorcycle,3
2024,Theft out of or from motor vehicle,140
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,102
2023,Attempted murder,22
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,165
2023,Burglary at residential premises,103
2023,Carjacking,3
2023,Commercial crime,81
2023,Common assault,88
2023,Common robbery,109
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,3
2023,Drug-related crime,67
2023,Illegal possession of firearms and ammunition,3
2023,Kidnapping,6
2023,Malicious damage to property,84
2023,Murder,10
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,32
2023,Robbery at non-residential premises,14
2023,Robbery at residential premises,2
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,103
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,1
2023,Shoplifting,152
2023,Stock-theft,34
2023,Street Robbery,84
2023,TRIO crimes,19
2023,Theft of motor vehicle and motorcycle,10
2023,Theft out of or from motor vehicle,246
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,2
2022,Assault with the intent to inflict grievous bodily harm,132
2022,Attempted murder,11
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,167
2022,Burglary at residential premises,119
2022,Carjacking,0
2022,Commercial crime,53
2022,Common assault,90
2022,Common robbery,167
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,7
2022,Drug-related crime,48
2022,Illegal possession of firearms and ammunition,4
2022,Kidnapping,5
2022,Malicious damage to property,95
2022,Murder,11
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,27
2022,Robbery at non-residential premises,13
2022,Robbery at residential premises,6
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,121
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,2
2022,Shoplifting,123
2022,Stock-theft,24
2022,Street Robbery,101
2022,TRIO crimes,19
2022,Theft of motor vehicle and motorcycle,11
2022,Theft out of or from motor vehicle,279
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,3
