year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,92
2024,Attempted murder,42
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,30
2024,Burglary at residential premises,55
2024,Carjacking,0
2024,Commercial crime,31
2024,Common assault,72
2024,Common robbery,5
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,6
2024,Drug-related crime,74
2024,Illegal possession of firearms and ammunition,2
2024,Kidnapping,0
2024,Malicious damage to property,27
2024,Murder,10
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,10
2024,Robbery at non-residential premises,2
2024,Robbery at residential premises,0
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,4
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Shoplifting,21
2024,Stock-theft,10
2024,Street Robbery,2
2024,TRIO crimes,2
2024,Theft of motor vehicle and motorcycle,2
2024,Theft out of or from motor vehicle,8
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,115
2023,Attempted murder,59
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,39
2023,Burglary at residential premises,98
2023,Carjacking,0
2023,Commercial crime,18
2023,Common assault,86
2023,Common robbery,5
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,1
2023,Drug-related crime,55
2023,Illegal possession of firearms and ammunition,1
2023,Kidnapping,1
2023,Malicious damage to property,51
2023,Murder,9
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,13
2023,Robbery at non-residential premises,2
2023,Robbery at residential premises,3
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,12
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,5
2023,Shoplifting,16
2023,Stock-theft,18
2023,Street Robbery,7
2023,TRIO crimes,5
2023,Theft of motor vehicle and motorcycle,0
2023,Theft out of or from motor vehicle,26
