year,category,value
2024,Abduction,0
2024,Arson,11
2024,Assault with the intent to inflict grievous bodily harm,670
2024,Attempted murder,282
2024,Attempted sexual offences,9
2024,Bank robbery,1
2024,Burglary at non-residential premises,277
2024,Burglary at residential premises,489
2024,Carjacking,2
2024,Commercial crime,310
2024,Common assault,1046
2024,Common robbery,143
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,84
2024,Drug-related crime,1511
2024,Illegal possession of firearms and ammunition,52
2024,Kidnapping,19
2024,Malicious damage to property,732
2024,Murder,60
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,97
2024,Robbery at non-residential premises,27
2024,Robbery at residential premises,17
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,241
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,28
2024,Shoplifting,207
2024,Stock-theft,10
2024,Street Robbery,49
2024,TRIO crimes,46
2024,Theft of motor vehicle and motorcycle,32
2024,Theft out of or from motor vehicle,485
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,21
2023,Assault with the intent to inflict grievous bodily harm,749
2023,Attempted murder,85
2023,Attempted sexual offences,8
2023,Bank robbery,0
2023,Burglary at non-residential premises,328
2023,Burglary at residential premises,598
2023,Carjacking,2
2023,Commercial crime,268
2023,Common assault,1121
2023,Common robbery,169
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,102
2023,Drug-related crime,1321
2023,Illegal possession of firearms and ammunition,38
2023,Kidnapping,12
2023,Malicious damage to property,723
2023,Murder,48
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,91
2023,Robbery at non-residential premises,17
2023,Robbery at residential premises,17
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,230
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,31
2023,Shoplifting,241
2023,Stock-theft,4
2023,Street Robbery,187
2023,TRIO crimes,36
2023,Theft of motor vehicle and motorcycle,34
2023,Theft out of or from motor vehicle,510
2023,Truck hijacking,7
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,529
2022,Attempted murder,74
2022,Attempted sexual offences,4
2022,Bank robbery,0
2022,Burglary at non-residential premises,283
2022,Burglary at residential premises,529
2022,Carjacking,5
2022,Commercial crime,209
2022,Common assault,1108
2022,Common robbery,167
2022,Contact sexual offences,5
2022,Crimen Injuria,-1
2022,Culpable homicide,-1
2022,Driving under the influence of alcohol or drugs,48
2022,Drug-related crime,1160
2022,Illegal possession of firearms and ammunition,40
2022,Kidnapping,10
2022,Malicious damage to property,704
2022,Murder,58
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,39
2022,Robbery at non-residential premises,14
2022,Robbery at residential premises,16
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,148
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,16
2022,Shoplifting,167
2022,Stock-theft,5
2022,Street Robbery,111
2022,TRIO crimes,35
2022,Theft of motor vehicle and motorcycle,46
2022,Theft out of or from motor vehicle,444
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,15
2021,Assault with the intent to inflict grievous bodily harm,503
2021,Attempted murder,46
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,294
2021,Burglary at residential premises,537
2021,Carjacking,2
2021,Commercial crime,179
2021,Common assault,947
2021,Common robbery,127
2021,Contact sexual offences,1
2021,Crimen Injuria,87
2021,Culpable homicide,25
2021,Driving under the influence of alcohol or drugs,35
2021,Drug-related crime,1068
2021,Illegal possession of firearms and ammunition,44
2021,Kidnapping,8
2021,Malicious damage to property,563
2021,Murder,51
2021,Neglect and ill-treatment of children,4
2021,Public violence,24
2021,Rape,28
2021,Robbery at non-residential premises,16
2021,Robbery at residential premises,21
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,173
2021,Sexual Offences detected as a result of police action,1
2021,Sexual assault,29
2021,Shoplifting,217
2021,Stock-theft,8
2021,Street Robbery,133
2021,TRIO crimes,39
2021,Theft of motor vehicle and motorcycle,46
2021,Theft out of or from motor vehicle,492
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,15
2020,Assault with the intent to inflict grievous bodily harm,631
2020,Attempted murder,71
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,261
2020,Burglary at residential premises,631
2020,Carjacking,1
2020,Commercial crime,202
2020,Common assault,1109
2020,Common robbery,210
2020,Contact sexual offences,6
2020,Crimen Injuria,91
2020,Culpable homicide,19
2020,Driving under the influence of alcohol or drugs,173
2020,Drug-related crime,1270
2020,Illegal possession of firearms and ammunition,44
2020,Kidnapping,4
2020,Malicious damage to property,627
2020,Murder,46
2020,Neglect and ill-treatment of children,2
2020,Public violence,13
2020,Rape,49
2020,Robbery at non-residential premises,17
2020,Robbery at residential premises,7
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,176
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,30
2020,Shoplifting,268
2020,Stock-theft,15
2020,Street Robbery,150
2020,TRIO crimes,25
2020,Theft of motor vehicle and motorcycle,44
2020,Theft out of or from motor vehicle,715
2020,Truck hijacking,1
2019,Abduction,1
2019,Arson,25
2019,Assault with the intent to inflict grievous bodily harm,587
2019,Attempted murder,54
2019,Attempted sexual offences,7
2019,Bank robbery,0
2019,Burglary at non-residential premises,226
2019,Burglary at residential premises,629
2019,Carjacking,10
2019,Commercial crime,189
2019,Common assault,1158
2019,Common robbery,199
