year,category,value
2024,Abduction,0
2024,Arson,12
2024,Assault with the intent to inflict grievous bodily harm,275
2024,Attempted murder,21
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,228
2024,Burglary at residential premises,298
2024,Carjacking,4
2024,Commercial crime,188
2024,Common assault,492
2024,Common robbery,53
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,13
2024,Drug-related crime,404
2024,Illegal possession of firearms and ammunition,17
2024,Kidnapping,4
2024,Malicious damage to property,409
2024,Murder,33
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,29
2024,Robbery at non-residential premises,15
2024,Robbery at residential premises,7
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,110
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,16
2024,Shoplifting,72
2024,Stock-theft,0
2024,Street Robbery,26
2024,TRIO crimes,26
2024,Theft of motor vehicle and motorcycle,15
2024,Theft out of or from motor vehicle,230
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,11
2023,Assault with the intent to inflict grievous bodily harm,265
2023,Attempted murder,14
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,218
2023,Burglary at residential premises,316
2023,Carjacking,4
2023,Commercial crime,209
2023,Common assault,533
2023,Common robbery,35
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,15
2023,Drug-related crime,393
2023,Illegal possession of firearms and ammunition,12
2023,Kidnapping,2
2023,Malicious damage to property,375
2023,Murder,21
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,30
2023,Robbery at non-residential premises,4
2023,Robbery at residential premises,8
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,108
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,12
2023,Shoplifting,55
2023,Stock-theft,7
2023,Street Robbery,92
2023,TRIO crimes,16
2023,Theft of motor vehicle and motorcycle,26
2023,Theft out of or from motor vehicle,219
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,8
2022,Assault with the intent to inflict grievous bodily harm,248
2022,Attempted murder,28
2022,Attempted sexual offences,4
2022,Bank robbery,0
2022,Burglary at non-residential premises,198
2022,Burglary at residential premises,314
2022,Carjacking,2
2022,Commercial crime,153
2022,Common assault,454
2022,Common robbery,48
2022,Contact sexual offences,6
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,12
2022,Drug-related crime,356
2022,Illegal possession of firearms and ammunition,13
2022,Kidnapping,2
2022,Malicious damage to property,323
2022,Murder,22
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,40
2022,Robbery at non-residential premises,9
2022,Robbery at residential premises,16
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,94
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,16
2022,Shoplifting,61
2022,Stock-theft,9
2022,Street Robbery,66
2022,TRIO crimes,27
2022,Theft of motor vehicle and motorcycle,24
2022,Theft out of or from motor vehicle,232
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,6
2021,Assault with the intent to inflict grievous bodily harm,208
2021,Attempted murder,14
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,256
2021,Burglary at residential premises,362
2021,Carjacking,3
2021,Commercial crime,125
2021,Common assault,434
2021,Common robbery,33
2021,Contact sexual offences,2
2021,Crimen Injuria,152
2021,Culpable homicide,7
2021,Driving under the influence of alcohol or drugs,8
2021,Drug-related crime,335
2021,Illegal possession of firearms and ammunition,7
2021,Kidnapping,0
2021,Malicious damage to property,300
2021,Murder,22
2021,Neglect and ill-treatment of children,3
2021,Public violence,2
2021,Rape,34
2021,Robbery at non-residential premises,7
2021,Robbery at residential premises,6
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,94
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,15
2021,Shoplifting,52
2021,Stock-theft,4
2021,Street Robbery,78
2021,TRIO crimes,16
2021,Theft of motor vehicle and motorcycle,29
2021,Theft out of or from motor vehicle,269
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,6
2020,Assault with the intent to inflict grievous bodily harm,312
2020,Attempted murder,28
2020,Attempted sexual offences,5
2020,Bank robbery,0
2020,Burglary at non-residential premises,178
2020,Burglary at residential premises,397
2020,Carjacking,5
2020,Commercial crime,63
2020,Common assault,505
2020,Common robbery,38
2020,Contact sexual offences,2
2020,Crimen Injuria,143
2020,Culpable homicide,11
2020,Driving under the influence of alcohol or drugs,32
2020,Drug-related crime,568
2020,Illegal possession of firearms and ammunition,7
2020,Kidnapping,1
2020,Malicious damage to property,329
2020,Murder,27
2020,Neglect and ill-treatment of children,2
2020,Public violence,4
2020,Rape,55
2020,Robbery at non-residential premises,10
2020,Robbery at residential premises,9
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,144
2020,Sexual Offences detected as a result of police action,1
2020,Sexual assault,22
2020,Shoplifting,79
2020,Stock-theft,4
2020,Street Robbery,119
2020,TRIO crimes,24
2020,Theft of motor vehicle and motorcycle,27
2020,Theft out of or from motor vehicle,300
2020,Truck hijacking,1
2019,Abduction,0
2019,Arson,8
2019,Assault with the intent to inflict grievous bodily harm,331
2019,Attempted murder,17
2019,Attempted sexual offences,6
2019,Bank robbery,0
2019,Burglary at non-residential premises,232
2019,Burglary at residential premises,478
2019,Carjacking,4
2019,Commercial crime,82
2019,Common assault,490
2019,Common robbery,61
2019,Contact sexual offences,1
2019,Crimen Injuria,148
2019,Culpable homicide,10
2019,Driving under the influence of alcohol or drugs,49
2019,Drug-related crime,518
2019,Illegal possession of firearms and ammunition,15
2019,Kidnapping,3
2019,Malicious damage to property,342
2019,Murder,27
2019,Neglect and ill-treatment of children,1
2019,Public violence,0
2019,Rape,52
2019,Robbery at non-residential premises,12
2019,Robbery at residential premises,11
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,158
2019,Sexual Offences detected as a result of police action,2
2019,Sexual assault,15
2019,Shoplifting,92
2019,Stock-theft,2
2019,Street Robbery,131
2019,TRIO crimes,27
2019,Theft of motor vehicle and motorcycle,33
2019,Theft out of or from motor vehicle,331
2019,Truck hijacking,0
2018,Abduction,0
2018,Arson,13
2018,Assault with the intent to inflict grievous bodily harm,272
2018,Attempted murder,10
2018,Attempted sexual offences,5
2018,Bank robbery,0
2018,Burglary at non-residential premises,176
2018,Burglary at residential premises,433
2018,Carjacking,9
2018,Commercial crime,72
2018,Common assault,447
2018,Common robbery,49
2018,Contact sexual offences,3
2018,Crimen Injuria,125
2018,Culpable homicide,9
2018,Driving under the influence of alcohol or drugs,31
2018,Drug-related crime,886
2018,Illegal possession of firearms and ammunition,8
2018,Kidnapping,0
2018,Malicious damage to property,313
2018,Murder,23
2018,Neglect and ill-treatment of children,4
2018,Public violence,0
2018,Rape,57
2018,Robbery at non-residential premises,21
2018,Robbery at residential premises,8
