year,category,value
2024,Abduction,0
2024,Arson,6
2024,Assault with the intent to inflict grievous bodily harm,283
2024,Attempted murder,81
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,62
2024,Burglary at residential premises,297
2024,Carjacking,0
2024,Commercial crime,128
2024,Common assault,454
2024,Common robbery,22
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,51
2024,Drug-related crime,277
2024,Illegal possession of firearms and ammunition,2
2024,Kidnapping,18
2024,Malicious damage to property,244
2024,Murder,22
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,54
2024,Robbery at non-residential premises,13
2024,Robbery at residential premises,13
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,88
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,14
2024,Shoplifting,108
2024,Stock-theft,1
2024,Street Robbery,26
2024,TRIO crimes,26
2024,Theft of motor vehicle and motorcycle,7
2024,Theft out of or from motor vehicle,160
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,13
2023,Assault with the intent to inflict grievous bodily harm,266
2023,Attempted murder,51
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,106
2023,Burglary at residential premises,367
2023,Carjacking,0
2023,Commercial crime,77
2023,Common assault,371
2023,Common robbery,24
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,30
2023,Drug-related crime,279
2023,Illegal possession of firearms and ammunition,3
2023,Kidnapping,5
2023,Malicious damage to property,252
2023,Murder,12
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,39
2023,Robbery at non-residential premises,15
2023,Robbery at residential premises,2
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,80
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,9
2023,Shoplifting,128
2023,Stock-theft,18
2023,Street Robbery,63
2023,TRIO crimes,17
2023,Theft of motor vehicle and motorcycle,3
2023,Theft out of or from motor vehicle,192
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,8
2022,Assault with the intent to inflict grievous bodily harm,310
2022,Attempted murder,17
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,81
2022,Burglary at residential premises,323
2022,Carjacking,0
2022,Commercial crime,82
2022,Common assault,336
2022,Common robbery,19
2022,Contact sexual offences,6
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,15
2022,Drug-related crime,216
2022,Illegal possession of firearms and ammunition,5
2022,Kidnapping,4
2022,Malicious damage to property,250
2022,Murder,14
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,26
2022,Robbery at non-residential premises,15
2022,Robbery at residential premises,5
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,51
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,9
2022,Shoplifting,128
2022,Stock-theft,5
2022,Street Robbery,30
2022,TRIO crimes,20
2022,Theft of motor vehicle and motorcycle,9
2022,Theft out of or from motor vehicle,177
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,6
2021,Assault with the intent to inflict grievous bodily harm,259
2021,Attempted murder,8
2021,Attempted sexual offences,7
2021,Bank robbery,0
2021,Burglary at non-residential premises,77
2021,Burglary at residential premises,317
2021,Carjacking,1
2021,Commercial crime,52
2021,Common assault,287
2021,Common robbery,28
2021,Contact sexual offences,4
2021,Crimen Injuria,13
2021,Culpable homicide,9
2021,Driving under the influence of alcohol or drugs,14
2021,Drug-related crime,189
2021,Illegal possession of firearms and ammunition,6
2021,Kidnapping,6
2021,Malicious damage to property,193
2021,Murder,10
2021,Neglect and ill-treatment of children,1
2021,Public violence,4
2021,Rape,18
2021,Robbery at non-residential premises,6
2021,Robbery at residential premises,4
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,50
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,6
2021,Shoplifting,106
2021,Stock-theft,12
2021,Street Robbery,39
2021,TRIO crimes,11
2021,Theft of motor vehicle and motorcycle,7
2021,Theft out of or from motor vehicle,171
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,12
2020,Assault with the intent to inflict grievous bodily harm,320
2020,Attempted murder,6
2020,Attempted sexual offences,2
2020,Bank robbery,0
2020,Burglary at non-residential premises,101
2020,Burglary at residential premises,301
2020,Carjacking,1
2020,Commercial crime,52
2020,Common assault,379
2020,Common robbery,38
2020,Contact sexual offences,2
2020,Crimen Injuria,23
2020,Culpable homicide,12
2020,Driving under the influence of alcohol or drugs,33
2020,Drug-related crime,284
2020,Illegal possession of firearms and ammunition,6
2020,Kidnapping,8
2020,Malicious damage to property,205
2020,Murder,15
2020,Neglect and ill-treatment of children,1
2020,Public violence,2
2020,Rape,33
2020,Robbery at non-residential premises,8
2020,Robbery at residential premises,4
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,55
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,16
2020,Shoplifting,141
2020,Stock-theft,13
2020,Street Robbery,42
2020,TRIO crimes,13
2020,Theft of motor vehicle and motorcycle,5
2020,Theft out of or from motor vehicle,175
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,11
2019,Assault with the intent to inflict grievous bodily harm,278
2019,Attempted murder,10
2019,Attempted sexual offences,2
2019,Bank robbery,0
2019,Burglary at non-residential premises,78
2019,Burglary at residential premises,368
2019,Carjacking,0
2019,Commercial crime,56
2019,Common assault,341
2019,Common robbery,47
2019,Contact sexual offences,4
2019,Crimen Injuria,13
2019,Culpable homicide,6
2019,Driving under the influence of alcohol or drugs,31
2019,Drug-related crime,698
2019,Illegal possession of firearms and ammunition,2
2019,Kidnapping,10
2019,Malicious damage to property,185
2019,Murder,17
2019,Neglect and ill-treatment of children,1
2019,Public violence,0
2019,Rape,23
2019,Robbery at non-residential premises,14
2019,Robbery at residential premises,3
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,44
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,3
2019,Shoplifting,134
2019,Stock-theft,13
2019,Street Robbery,27
2019,TRIO crimes,17
2019,Theft of motor vehicle and motorcycle,8
2019,Theft out of or from motor vehicle,218
2019,Truck hijacking,0
2018,Abduction,0
2018,Arson,10
2018,Assault with the intent to inflict grievous bodily harm,318
2018,Attempted murder,4
2018,Attempted sexual offences,4
2018,Bank robbery,0
2018,Burglary at non-residential premises,54
2018,Burglary at residential premises,341
2018,Carjacking,0
2018,Commercial crime,53
2018,Common assault,351
2018,Common robbery,57
2018,Contact sexual offences,0
2018,Crimen Injuria,6
2018,Culpable homicide,8
2018,Driving under the influence of alcohol or drugs,16
2018,Drug-related crime,1007
2018,Illegal possession of firearms and ammunition,2
2018,Kidnapping,6
2018,Malicious damage to property,159
2018,Murder,15
2018,Neglect and ill-treatment of children,2
2018,Public violence,1
2018,Rape,27
2018,Robbery at non-residential premises,9
2018,Robbery at residential premises,4
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,39
2018,Sexual Offences detected as a result of police action,3
2018,Sexual assault,15
2018,Shoplifting,114
2018,Stock-theft,5
2018,Street Robbery,26
2018,TRIO crimes,13
2018,Theft of motor vehicle and motorcycle,6
2018,Theft out of or from motor vehicle,161
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,9
2017,Assault with the intent to inflict grievous bodily harm,308
2017,Attempted murder,5
2017,Attempted sexual offences,1
2017,Bank robbery,0
2017,Burglary at non-residential premises,93
2017,Burglary at residential premises,332
2017,Carjacking,1
2017,Commercial crime,46
2017,Common assault,320
2017,Common robbery,71
2017,Contact sexual offences,1
2017,Crimen Injuria,15
2017,Culpable homicide,9
2017,Driving under the influence of alcohol or drugs,31
2017,Drug-related crime,758
2017,Illegal possession of firearms and ammunition,3
2017,Kidnapping,6
2017,Malicious damage to property,209
2017,Murder,14
2017,Neglect and ill-treatment of children,0
2017,Public violence,2
2017,Rape,18
2017,Robbery at non-residential premises,14
2017,Robbery at residential premises,6
2017,Robbery of cash in transit,0
2017,Robbery with aggravating circumstances,43
2017,Sexual Offences detected as a result of police action,0
2017,Sexual assault,9
2017,Shoplifting,118
2017,Stock-theft,4
2017,Street Robbery,22
2017,TRIO crimes,21
2017,Theft of motor vehicle and motorcycle,1
2017,Theft out of or from motor vehicle,166
2017,Truck hijacking,0
2016,Arson,10
2016,Assault with the intent to inflict grievous bodily harm,301
2016,Attempted murder,4
2016,Attempted sexual offences,1
2016,Bank robbery,0
2016,Burglary at non-residential premises,61
2016,Burglary at residential premises,349
2016,Carjacking,0
2016,Commercial crime,39
2016,Common assault,313
2016,Common robbery,64
2016,Contact sexual offences,1
2016,Crimen Injuria,0
2016,Culpable homicide,0
2016,Driving under the influence of alcohol or drugs,37
2016,Drug-related crime,642
2016,Illegal possession of firearms and ammunition,11
2016,Kidnapping,5
2016,Malicious damage to property,178
2016,Murder,17
2016,Neglect and ill-treatment of children,0
2016,Public violence,0
2016,Rape,28
2016,Robbery at non-residential premises,11
2016,Robbery at residential premises,4
2016,Robbery of cash in transit,0
2016,Robbery with aggravating circumstances,37
2016,Sexual Offences detected as a result of police action,0
2016,Sexual assault,11
2016,Shoplifting,129
2016,Stock-theft,8
2016,Street Robbery,22
2016,TRIO crimes,15
2016,Theft of motor vehicle and motorcycle,6
2016,Theft out of or from motor vehicle,211
2016,Truck hijacking,0
2015,Arson,3
2015,Assault with the intent to inflict grievous bodily harm,321
2015,Attempted murder,2
2015,Attempted sexual offences,3
2015,Bank robbery,0
2015,Burglary at non-residential premises,41
2015,Burglary at residential premises,274
2015,Carjacking,0
2015,Commercial crime,36
2015,Common assault,366
2015,Common robbery,37
2015,Contact sexual offences,1
2015,Crimen Injuria,35
2015,Culpable homicide,10
2015,Driving under the influence of alcohol or drugs,38
2015,Drug-related crime,612
2015,Illegal possession of firearms and ammunition,8
2015,Kidnapping,2
2015,Malicious damage to property,139
2015,Murder,5
2015,Neglect and ill-treatment of children,0
2015,Public violence,0
2015,Rape,25
2015,Robbery at non-residential premises,6
2015,Robbery at residential premises,0
2015,Robbery of cash in transit,0
2015,Robbery with aggravating circumstances,25
2015,Sexual Offences detected as a result of police action,0
2015,Sexual assault,15
2015,Shoplifting,120
2015,Stock-theft,7
2015,Street Robbery,19
2015,TRIO crimes,6
2015,Theft of motor vehicle and motorcycle,4
2015,Theft out of or from motor vehicle,135
2015,Truck hijacking,0
2014,Arson,4
2014,Assault with the intent to inflict grievous bodily harm,305
2014,Attempted murder,1
2014,Attempted sexual offences,3
2014,Bank robbery,0
2014,Burglary at non-residential premises,80
2014,Burglary at residential premises,333
2014,Carjacking,0
2014,Commercial crime,40
2014,Common assault,295
2014,Common robbery,35
2014,Contact sexual offences,1
2014,Crimen Injuria,43
2014,Culpable homicide,8
2014,Driving under the influence of alcohol or drugs,62
2014,Drug-related crime,534
2014,Illegal possession of firearms and ammunition,2
2014,Kidnapping,0
2014,Malicious damage to property,145
2014,Murder,13
2014,Neglect and ill-treatment of children,0
2014,Public violence,0
2014,Rape,38
2014,Robbery at non-residential premises,6
2014,Robbery at residential premises,0
2014,Robbery of cash in transit,0
2014,Robbery with aggravating circumstances,15
2014,Sexual Offences detected as a result of police action,0
2014,Sexual assault,15
2014,Shoplifting,111
2014,Stock-theft,10
2014,Street Robbery,9
2014,TRIO crimes,6
2014,Theft of motor vehicle and motorcycle,6
2014,Theft out of or from motor vehicle,144
2014,Truck hijacking,0
2013,Arson,9
2013,Assault with the intent to inflict grievous bodily harm,317
2013,Attempted murder,8
2013,Attempted sexual offences,3
2013,Bank robbery,0
2013,Burglary at non-residential premises,60
2013,Burglary at residential premises,313
2013,Carjacking,0
2013,Commercial crime,22
2013,Common assault,284
2013,Common robbery,41
2013,Contact sexual offences,5
2013,Crimen Injuria,37
2013,Culpable homicide,0
2013,Driving under the influence of alcohol or drugs,75
2013,Drug-related crime,486
2013,Illegal possession of firearms and ammunition,4
2013,Kidnapping,2
2013,Malicious damage to property,152
2013,Murder,9
2013,Neglect and ill-treatment of children,2
2013,Public violence,0
2013,Rape,46
2013,Robbery at non-residential premises,2
2013,Robbery at residential premises,0
2013,Robbery of cash in transit,0
2013,Robbery with aggravating circumstances,20
2013,Sexual Offences detected as a result of police action,0
2013,Sexual assault,16
2013,Shoplifting,99
2013,Stock-theft,4
2013,Street Robbery,18
2013,TRIO crimes,2
2013,Theft of motor vehicle and motorcycle,6
2013,Theft out of or from motor vehicle,136
2013,Truck hijacking,0
2012,Arson,8
2012,Assault with the intent to inflict grievous bodily harm,261
2012,Attempted murder,6
2012,Attempted sexual offences,0
2012,Bank robbery,0
2012,Burglary at non-residential premises,59
2012,Burglary at residential premises,222
2012,Carjacking,1
2012,Commercial crime,30
2012,Common assault,255
2012,Common robbery,13
2012,Contact sexual offences,1
2012,Crimen Injuria,67
2012,Culpable homicide,7
2012,Driving under the influence of alcohol or drugs,58
2012,Drug-related crime,482
2012,Illegal possession of firearms and ammunition,4
2012,Kidnapping,4
2012,Malicious damage to property,111
2012,Murder,12
2012,Neglect and ill-treatment of children,1
2012,Public violence,0
2012,Rape,42
