year,category,value
2024,Abduction,0
2024,Arson,12
2024,Assault with the intent to inflict grievous bodily harm,318
2024,Attempted murder,41
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,49
2024,Burglary at residential premises,137
2024,Carjacking,1
2024,Commercial crime,101
2024,Common assault,315
2024,Common robbery,26
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,45
2024,Drug-related crime,526
2024,Illegal possession of firearms and ammunition,4
2024,Kidnapping,6
2024,Malicious damage to property,156
2024,Murder,15
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,26
2024,Robbery at non-residential premises,5
2024,Robbery at residential premises,4
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,32
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,11
2024,Shoplifting,67
2024,Stock-theft,10
2024,Street Robbery,10
2024,TRIO crimes,10
2024,Theft of motor vehicle and motorcycle,9
2024,Theft out of or from motor vehicle,99
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,282
2023,Attempted murder,23
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,60
2023,Burglary at residential premises,221
2023,Carjacking,0
2023,Commercial crime,81
2023,Common assault,384
2023,Common robbery,44
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,61
2023,Drug-related crime,459
2023,Illegal possession of firearms and ammunition,3
2023,Kidnapping,2
2023,Malicious damage to property,166
2023,Murder,29
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,31
2023,Robbery at non-residential premises,5
2023,Robbery at residential premises,6
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,50
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,17
2023,Shoplifting,94
2023,Stock-theft,4
2023,Street Robbery,39
2023,TRIO crimes,11
2023,Theft of motor vehicle and motorcycle,9
2023,Theft out of or from motor vehicle,87
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,5
2022,Assault with the intent to inflict grievous bodily harm,304
2022,Attempted murder,26
2022,Attempted sexual offences,4
2022,Bank robbery,0
2022,Burglary at non-residential premises,95
2022,Burglary at residential premises,219
2022,Carjacking,0
2022,Commercial crime,87
2022,Common assault,303
2022,Common robbery,36
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,165
2022,Drug-related crime,357
2022,Illegal possession of firearms and ammunition,5
2022,Kidnapping,6
2022,Malicious damage to property,161
2022,Murder,39
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,24
2022,Robbery at non-residential premises,7
2022,Robbery at residential premises,2
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,31
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,12
2022,Shoplifting,59
2022,Stock-theft,3
2022,Street Robbery,22
2022,TRIO crimes,9
2022,Theft of motor vehicle and motorcycle,5
2022,Theft out of or from motor vehicle,110
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,11
2021,Assault with the intent to inflict grievous bodily harm,228
2021,Attempted murder,30
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,86
2021,Burglary at residential premises,300
2021,Carjacking,1
2021,Commercial crime,71
2021,Common assault,266
2021,Common robbery,26
2021,Contact sexual offences,2
2021,Crimen Injuria,36
2021,Culpable homicide,7
2021,Driving under the influence of alcohol or drugs,52
2021,Drug-related crime,269
2021,Illegal possession of firearms and ammunition,5
2021,Kidnapping,3
2021,Malicious damage to property,153
2021,Murder,27
2021,Neglect and ill-treatment of children,5
2021,Public violence,8
2021,Rape,21
2021,Robbery at non-residential premises,9
2021,Robbery at residential premises,7
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,46
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,8
2021,Shoplifting,66
2021,Stock-theft,9
2021,Street Robbery,29
2021,TRIO crimes,17
2021,Theft of motor vehicle and motorcycle,7
2021,Theft out of or from motor vehicle,108
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,10
2020,Assault with the intent to inflict grievous bodily harm,255
2020,Attempted murder,5
2020,Attempted sexual offences,4
2020,Bank robbery,0
2020,Burglary at non-residential premises,131
2020,Burglary at residential premises,307
2020,Carjacking,1
2020,Commercial crime,77
2020,Common assault,270
2020,Common robbery,36
2020,Contact sexual offences,3
2020,Crimen Injuria,68
2020,Culpable homicide,10
2020,Driving under the influence of alcohol or drugs,72
2020,Drug-related crime,435
2020,Illegal possession of firearms and ammunition,5
2020,Kidnapping,5
2020,Malicious damage to property,166
2020,Murder,22
2020,Neglect and ill-treatment of children,1
2020,Public violence,2
2020,Rape,29
2020,Robbery at non-residential premises,6
2020,Robbery at residential premises,3
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,47
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,9
2020,Shoplifting,93
2020,Stock-theft,12
2020,Street Robbery,37
2020,TRIO crimes,10
2020,Theft of motor vehicle and motorcycle,13
2020,Theft out of or from motor vehicle,201
2020,Truck hijacking,0
2019,Abduction,1
2019,Arson,11
2019,Assault with the intent to inflict grievous bodily harm,269
2019,Attempted murder,12
2019,Attempted sexual offences,2
2019,Bank robbery,0
2019,Burglary at non-residential premises,113
2019,Burglary at residential premises,348
2019,Carjacking,0
2019,Commercial crime,58
2019,Common assault,302
2019,Common robbery,38
2019,Contact sexual offences,1
2019,Crimen Injuria,81
2019,Culpable homicide,10
2019,Driving under the influence of alcohol or drugs,39
2019,Drug-related crime,823
2019,Illegal possession of firearms and ammunition,4
2019,Kidnapping,2
2019,Malicious damage to property,152
2019,Murder,15
2019,Neglect and ill-treatment of children,3
2019,Public violence,8
2019,Rape,27
2019,Robbery at non-residential premises,11
2019,Robbery at residential premises,4
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,55
2019,Sexual Offences detected as a result of police action,1
2019,Sexual assault,4
2019,Shoplifting,122
2019,Stock-theft,8
2019,Street Robbery,40
2019,TRIO crimes,15
2019,Theft of motor vehicle and motorcycle,15
2019,Theft out of or from motor vehicle,148
2019,Truck hijacking,0
2018,Abduction,5
2018,Arson,6
2018,Assault with the intent to inflict grievous bodily harm,237
2018,Attempted murder,9
2018,Attempted sexual offences,4
2018,Bank robbery,0
2018,Burglary at non-residential premises,67
2018,Burglary at residential premises,280
2018,Carjacking,0
2018,Commercial crime,65
2018,Common assault,247
2018,Common robbery,55
2018,Contact sexual offences,5
2018,Crimen Injuria,69
2018,Culpable homicide,10
2018,Driving under the influence of alcohol or drugs,38
2018,Drug-related crime,1449
2018,Illegal possession of firearms and ammunition,11
2018,Kidnapping,1
2018,Malicious damage to property,102
2018,Murder,19
2018,Neglect and ill-treatment of children,4
2018,Public violence,8
2018,Rape,34
2018,Robbery at non-residential premises,7
2018,Robbery at residential premises,5
