year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,318
2024,Attempted murder,32
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,33
2024,Burglary at residential premises,186
2024,Carjacking,0
2024,Commercial crime,161
2024,Common assault,448
2024,Common robbery,47
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,111
2024,Drug-related crime,233
2024,Illegal possession of firearms and ammunition,3
2024,Kidnapping,5
2024,Malicious damage to property,300
2024,Murder,16
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,19
2024,Robbery at non-residential premises,11
2024,Robbery at residential premises,6
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,71
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,7
2024,Shoplifting,169
2024,Stock-theft,61
2024,Street Robbery,17
2024,TRIO crimes,17
2024,Theft of motor vehicle and motorcycle,2
2024,Theft out of or from motor vehicle,172
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,8
2023,Assault with the intent to inflict grievous bodily harm,308
2023,Attempted murder,30
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,52
2023,Burglary at residential premises,265
2023,Carjacking,1
2023,Commercial crime,121
2023,Common assault,551
2023,Common robbery,40
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,127
2023,Drug-related crime,316
2023,Illegal possession of firearms and ammunition,4
2023,Kidnapping,4
2023,Malicious damage to property,356
2023,Murder,14
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,19
2023,Robbery at non-residential premises,9
2023,Robbery at residential premises,8
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,56
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,12
2023,Shoplifting,97
2023,Stock-theft,42
2023,Street Robbery,38
2023,TRIO crimes,18
2023,Theft of motor vehicle and motorcycle,7
2023,Theft out of or from motor vehicle,215
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,287
2022,Attempted murder,23
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,83
2022,Burglary at residential premises,226
2022,Carjacking,1
2022,Commercial crime,132
2022,Common assault,413
2022,Common robbery,35
2022,Contact sexual offences,1
2022,Crimen Injuria,-1
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,27
2022,Drug-related crime,325
2022,Illegal possession of firearms and ammunition,14
2022,Kidnapping,4
2022,Malicious damage to property,346
2022,Murder,14
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,29
2022,Robbery at non-residential premises,6
