year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,110
2024,Attempted murder,58
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,173
2024,Burglary at residential premises,166
2024,Carjacking,54
2024,Commercial crime,255
2024,Common assault,581
2024,Common robbery,188
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,172
2024,Drug-related crime,924
2024,Illegal possession of firearms and ammunition,40
2024,Kidnapping,21
2024,Malicious damage to property,444
2024,Murder,36
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,20
2024,Robbery at non-residential premises,42
2024,Robbery at residential premises,11
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,434
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,28
2024,Shoplifting,180
2024,Stock-theft,0
2024,Street Robbery,108
2024,TRIO crimes,107
2024,Theft of motor vehicle and motorcycle,114
2024,Theft out of or from motor vehicle,461
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,126
2023,Attempted murder,52
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,123
2023,Burglary at residential premises,217
2023,Carjacking,39
2023,Commercial crime,187
2023,Common assault,508
2023,Common robbery,174
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,138
2023,Drug-related crime,1142
2023,Illegal possession of firearms and ammunition,53
2023,Kidnapping,10
2023,Malicious damage to property,389
2023,Murder,32
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,34
2023,Robbery at non-residential premises,23
2023,Robbery at residential premises,12
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,347
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,28
2023,Shoplifting,190
2023,Stock-theft,0
2023,Street Robbery,273
2023,TRIO crimes,74
2023,Theft of motor vehicle and motorcycle,144
2023,Theft out of or from motor vehicle,341
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,8
2022,Assault with the intent to inflict grievous bodily harm,131
2022,Attempted murder,55
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,141
2022,Burglary at residential premises,147
2022,Carjacking,21
2022,Commercial crime,256
2022,Common assault,521
2022,Common robbery,117
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,84
2022,Drug-related crime,1090
2022,Illegal possession of firearms and ammunition,46
2022,Kidnapping,8
2022,Malicious damage to property,409
2022,Murder,19
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,28
2022,Robbery at non-residential premises,22
