year,category,value
2024,Abduction,0
2024,Arson,10
2024,Assault with the intent to inflict grievous bodily harm,157
2024,Attempted murder,48
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,12
2024,Burglary at residential premises,133
2024,Carjacking,17
2024,Commercial crime,195
2024,Common assault,325
2024,Common robbery,79
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,87
2024,Drug-related crime,364
2024,Illegal possession of firearms and ammunition,38
2024,Kidnapping,9
2024,Malicious damage to property,228
2024,Murder,39
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,22
2024,Robbery at non-residential premises,7
2024,Robbery at residential premises,2
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,178
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,13
2024,Shoplifting,77
2024,Stock-theft,0
2024,Street Robbery,27
2024,TRIO crimes,26
2024,Theft of motor vehicle and motorcycle,25
2024,Theft out of or from motor vehicle,93
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,167
2023,Attempted murder,34
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,12
2023,Burglary at residential premises,126
2023,Carjacking,19
2023,Commercial crime,133
2023,Common assault,254
2023,Common robbery,96
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,51
2023,Drug-related crime,312
2023,Illegal possession of firearms and ammunition,13
2023,Kidnapping,12
2023,Malicious damage to property,228
2023,Murder,40
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,28
2023,Robbery at non-residential premises,8
2023,Robbery at residential premises,6
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,188
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,21
2023,Shoplifting,43
2023,Stock-theft,0
2023,Street Robbery,155
2023,TRIO crimes,33
2023,Theft of motor vehicle and motorcycle,42
2023,Theft out of or from motor vehicle,100
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,5
2022,Assault with the intent to inflict grievous bodily harm,132
2022,Attempted murder,78
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,13
2022,Burglary at residential premises,144
2022,Carjacking,12
2022,Commercial crime,109
2022,Common assault,231
2022,Common robbery,82
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,27
2022,Drug-related crime,591
2022,Illegal possession of firearms and ammunition,60
2022,Kidnapping,4
2022,Malicious damage to property,278
2022,Murder,47
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,25
2022,Robbery at non-residential premises,7
2022,Robbery at residential premises,10
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,135
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,17
2022,Shoplifting,47
2022,Stock-theft,0
2022,Street Robbery,102
2022,TRIO crimes,29
2022,Theft of motor vehicle and motorcycle,49
2022,Theft out of or from motor vehicle,146
2022,Truck hijacking,4
2021,Abduction,0
2021,Arson,4
2021,Assault with the intent to inflict grievous bodily harm,125
2021,Attempted murder,42
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,17
2021,Burglary at residential premises,143
2021,Carjacking,12
2021,Commercial crime,65
2021,Common assault,211
2021,Common robbery,80
2021,Contact sexual offences,4
2021,Crimen Injuria,31
2021,Culpable homicide,9
2021,Driving under the influence of alcohol or drugs,26
2021,Drug-related crime,374
2021,Illegal possession of firearms and ammunition,36
2021,Kidnapping,7
2021,Malicious damage to property,209
2021,Murder,33
2021,Neglect and ill-treatment of children,2
2021,Public violence,3
2021,Rape,27
2021,Robbery at non-residential premises,12
2021,Robbery at residential premises,11
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,144
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,13
2021,Shoplifting,93
2021,Stock-theft,0
2021,Street Robbery,106
2021,TRIO crimes,35
2021,Theft of motor vehicle and motorcycle,41
2021,Theft out of or from motor vehicle,145
2021,Truck hijacking,3
2020,Abduction,0
2020,Arson,6
2020,Assault with the intent to inflict grievous bodily harm,152
2020,Attempted murder,70
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,12
2020,Burglary at residential premises,284
2020,Carjacking,31
2020,Commercial crime,53
2020,Common assault,231
2020,Common robbery,127
2020,Contact sexual offences,1
2020,Crimen Injuria,19
2020,Culpable homicide,5
2020,Driving under the influence of alcohol or drugs,48
2020,Drug-related crime,634
2020,Illegal possession of firearms and ammunition,36
2020,Kidnapping,10
2020,Malicious damage to property,273
2020,Murder,41
2020,Neglect and ill-treatment of children,3
2020,Public violence,1
2020,Rape,22
2020,Robbery at non-residential premises,9
2020,Robbery at residential premises,19
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,231
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,17
2020,Shoplifting,141
2020,Stock-theft,0
2020,Street Robbery,167
2020,TRIO crimes,59
2020,Theft of motor vehicle and motorcycle,33
2020,Theft out of or from motor vehicle,196
2020,Truck hijacking,5
2019,Abduction,0
2019,Arson,5
2019,Assault with the intent to inflict grievous bodily harm,152
2019,Attempted murder,47
2019,Attempted sexual offences,1
2019,Bank robbery,0
2019,Burglary at non-residential premises,17
2019,Burglary at residential premises,245
2019,Carjacking,17
2019,Commercial crime,43
2019,Common assault,252
2019,Common robbery,145
2019,Contact sexual offences,2
2019,Crimen Injuria,33
2019,Culpable homicide,7
2019,Driving under the influence of alcohol or drugs,120
2019,Drug-related crime,1342
2019,Illegal possession of firearms and ammunition,45
2019,Kidnapping,5
2019,Malicious damage to property,246
2019,Murder,41
2019,Neglect and ill-treatment of children,2
2019,Public violence,2
2019,Rape,22
2019,Robbery at non-residential premises,5
2019,Robbery at residential premises,6
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,133
