year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,89
2024,Attempted murder,10
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,23
2024,Burglary at residential premises,102
2024,Carjacking,5
2024,Commercial crime,107
2024,Common assault,155
2024,Common robbery,46
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,49
2024,Drug-related crime,190
2024,Illegal possession of firearms and ammunition,2
2024,Kidnapping,4
2024,Malicious damage to property,169
2024,Murder,9
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,17
2024,Robbery at non-residential premises,2
2024,Robbery at residential premises,0
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,108
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,2
2024,Shoplifting,11
2024,Stock-theft,0
2024,Street Robbery,8
2024,TRIO crimes,7
2024,Theft of motor vehicle and motorcycle,12
2024,Theft out of or from motor vehicle,114
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,97
2023,Attempted murder,16
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,25
2023,Burglary at residential premises,105
2023,Carjacking,11
2023,Commercial crime,83
2023,Common assault,202
2023,Common robbery,55
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,40
2023,Drug-related crime,231
2023,Illegal possession of firearms and ammunition,10
2023,Kidnapping,6
2023,Malicious damage to property,201
2023,Murder,3
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,16
2023,Robbery at non-residential premises,3
2023,Robbery at residential premises,4
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,139
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,10
2023,Shoplifting,6
2023,Stock-theft,0
2023,Street Robbery,120
2023,TRIO crimes,18
2023,Theft of motor vehicle and motorcycle,7
2023,Theft out of or from motor vehicle,178
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,106
2022,Attempted murder,15
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,41
2022,Burglary at residential premises,83
2022,Carjacking,5
2022,Commercial crime,64
2022,Common assault,135
2022,Common robbery,47
2022,Contact sexual offences,3
2022,Crimen Injuria,-1
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,30
2022,Drug-related crime,279
2022,Illegal possession of firearms and ammunition,2
2022,Kidnapping,5
2022,Malicious damage to property,205
2022,Murder,13
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,27
2022,Robbery at non-residential premises,7
2022,Robbery at residential premises,2
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,91
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,6
2022,Shoplifting,3
2022,Stock-theft,0
2022,Street Robbery,77
2022,TRIO crimes,14
2022,Theft of motor vehicle and motorcycle,14
2022,Theft out of or from motor vehicle,149
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,3
2021,Assault with the intent to inflict grievous bodily harm,77
2021,Attempted murder,9
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,41
2021,Burglary at residential premises,83
2021,Carjacking,8
2021,Commercial crime,53
2021,Common assault,153
2021,Common robbery,43
2021,Contact sexual offences,3
2021,Crimen Injuria,23
2021,Culpable homicide,2
2021,Driving under the influence of alcohol or drugs,8
2021,Drug-related crime,342
2021,Illegal possession of firearms and ammunition,12
2021,Kidnapping,2
2021,Malicious damage to property,142
2021,Murder,2
2021,Neglect and ill-treatment of children,0
2021,Public violence,9
2021,Rape,17
2021,Robbery at non-residential premises,7
