year,category,value
2024,Abduction,0
2024,Arson,16
2024,Assault with the intent to inflict grievous bodily harm,355
2024,Attempted murder,117
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,98
2024,Burglary at residential premises,174
2024,Carjacking,30
2024,Commercial crime,170
2024,Common assault,639
2024,Common robbery,320
2024,Contact sexual offences,6
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,80
2024,Drug-related crime,1628
2024,Illegal possession of firearms and ammunition,160
2024,Kidnapping,4
2024,Malicious damage to property,727
2024,Murder,111
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,41
2024,Robbery at non-residential premises,9
2024,Robbery at residential premises,10
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,265
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,28
2024,Shoplifting,32
2024,Stock-theft,0
2024,Street Robbery,51
2024,TRIO crimes,49
2024,Theft of motor vehicle and motorcycle,35
2024,Theft out of or from motor vehicle,295
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,9
2023,Assault with the intent to inflict grievous bodily harm,356
2023,Attempted murder,79
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,92
2023,Burglary at residential premises,193
2023,Carjacking,28
2023,Commercial crime,154
2023,Common assault,529
2023,Common robbery,171
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,49
2023,Drug-related crime,1396
2023,Illegal possession of firearms and ammunition,87
2023,Kidnapping,6
2023,Malicious damage to property,630
2023,Murder,65
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,48
2023,Robbery at non-residential premises,20
2023,Robbery at residential premises,6
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,223
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,27
2023,Shoplifting,39
2023,Stock-theft,0
2023,Street Robbery,165
2023,TRIO crimes,54
2023,Theft of motor vehicle and motorcycle,30
2023,Theft out of or from motor vehicle,444
2023,Truck hijacking,4
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,319
2022,Attempted murder,80
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,63
2022,Burglary at residential premises,173
2022,Carjacking,24
2022,Commercial crime,131
2022,Common assault,524
2022,Common robbery,159
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,29
2022,Drug-related crime,1354
2022,Illegal possession of firearms and ammunition,67
2022,Kidnapping,16
2022,Malicious damage to property,574
2022,Murder,71
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,45
2022,Robbery at non-residential premises,14
2022,Robbery at residential premises,15
2022,Robbery of cash in transit,2
2022,Robbery with aggravating circumstances,253
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,28
2022,Shoplifting,79
2022,Stock-theft,0
2022,Street Robbery,195
2022,TRIO crimes,53
2022,Theft of motor vehicle and motorcycle,53
2022,Theft out of or from motor vehicle,488
2022,Truck hijacking,3
2021,Abduction,0
2021,Arson,11
2021,Assault with the intent to inflict grievous bodily harm,304
2021,Attempted murder,83
2021,Attempted sexual offences,1
2021,Bank robbery,0
2021,Burglary at non-residential premises,84
2021,Burglary at residential premises,126
2021,Carjacking,22
2021,Commercial crime,69
2021,Common assault,473
2021,Common robbery,164
2021,Contact sexual offences,2
2021,Crimen Injuria,89
2021,Culpable homicide,12
2021,Driving under the influence of alcohol or drugs,14
2021,Drug-related crime,1371
2021,Illegal possession of firearms and ammunition,108
2021,Kidnapping,8
2021,Malicious damage to property,614
2021,Murder,74
2021,Neglect and ill-treatment of children,1
2021,Public violence,5
2021,Rape,48
2021,Robbery at non-residential premises,11
2021,Robbery at residential premises,13
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,221
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,29
2021,Shoplifting,115
2021,Stock-theft,1
2021,Street Robbery,165
2021,TRIO crimes,46
2021,Theft of motor vehicle and motorcycle,45
2021,Theft out of or from motor vehicle,554
2021,Truck hijacking,9
2020,Abduction,0
2020,Arson,7
2020,Assault with the intent to inflict grievous bodily harm,341
2020,Attempted murder,98
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,71
2020,Burglary at residential premises,214
2020,Carjacking,41
2020,Commercial crime,97
2020,Common assault,568
2020,Common robbery,195
2020,Contact sexual offences,3
2020,Crimen Injuria,109
2020,Culpable homicide,8
2020,Driving under the influence of alcohol or drugs,94
2020,Drug-related crime,2009
2020,Illegal possession of firearms and ammunition,108
2020,Kidnapping,9
2020,Malicious damage to property,650
2020,Murder,77
2020,Neglect and ill-treatment of children,3
2020,Public violence,6
2020,Rape,46
2020,Robbery at non-residential premises,14
2020,Robbery at residential premises,8
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,363
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,44
2020,Shoplifting,103
