year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,36
2024,Attempted murder,4
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,96
2024,Burglary at residential premises,157
2024,Carjacking,5
2024,Commercial crime,641
2024,Common assault,144
2024,Common robbery,47
2024,Contact sexual offences,4
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,175
2024,Drug-related crime,40
2024,Illegal possession of firearms and ammunition,3
2024,Kidnapping,4
2024,Malicious damage to property,109
2024,Murder,8
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,22
2024,Robbery at non-residential premises,12
2024,Robbery at residential premises,7
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,79
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,257
2024,Stock-theft,0
2024,Street Robbery,28
2024,TRIO crimes,24
2024,Theft of motor vehicle and motorcycle,88
2024,Theft out of or from motor vehicle,263
2024,Truck hijacking,4
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,27
2023,Attempted murder,6
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,78
2023,Burglary at residential premises,234
2023,Carjacking,10
2023,Commercial crime,577
2023,Common assault,188
2023,Common robbery,41
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,114
2023,Drug-related crime,75
2023,Illegal possession of firearms and ammunition,8
2023,Kidnapping,6
2023,Malicious damage to property,124
2023,Murder,4
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,16
2023,Robbery at non-residential premises,12
2023,Robbery at residential premises,11
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,77
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,11
2023,Shoplifting,242
2023,Stock-theft,0
2023,Street Robbery,41
2023,TRIO crimes,33
2023,Theft of motor vehicle and motorcycle,125
2023,Theft out of or from motor vehicle,265
