year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,167
2024,Attempted murder,11
2024,Attempted sexual offences,7
2024,Bank robbery,0
2024,Burglary at non-residential premises,145
2024,Burglary at residential premises,517
2024,Carjacking,13
2024,Commercial crime,1165
2024,Common assault,653
2024,Common robbery,1350
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,155
2024,Drug-related crime,2586
2024,Illegal possession of firearms and ammunition,16
2024,Kidnapping,9
2024,Malicious damage to property,282
2024,Murder,8
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,53
2024,Robbery at non-residential premises,11
2024,Robbery at residential premises,12
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,768
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,19
2024,Shoplifting,649
2024,Stock-theft,0
2024,Street Robbery,37
2024,TRIO crimes,36
2024,Theft of motor vehicle and motorcycle,213
2024,Theft out of or from motor vehicle,2849
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,141
2023,Attempted murder,8
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,126
2023,Burglary at residential premises,438
2023,Carjacking,13
2023,Commercial crime,1093
2023,Common assault,577
2023,Common robbery,1196
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,168
2023,Drug-related crime,1403
2023,Illegal possession of firearms and ammunition,5
2023,Kidnapping,18
2023,Malicious damage to property,309
2023,Murder,12
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,65
2023,Robbery at non-residential premises,28
2023,Robbery at residential premises,16
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,667
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,31
2023,Shoplifting,536
2023,Stock-theft,0
2023,Street Robbery,610
2023,TRIO crimes,57
