year,category,value
2024,Abduction,0
2024,Arson,41
2024,Assault with the intent to inflict grievous bodily harm,739
2024,Attempted murder,184
2024,Attempted sexual offences,22
2024,Bank robbery,0
2024,Burglary at non-residential premises,38
2024,Burglary at residential premises,585
2024,Carjacking,201
2024,Commercial crime,212
2024,Common assault,1201
2024,Common robbery,147
2024,Contact sexual offences,8
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,308
2024,Drug-related crime,2935
2024,Illegal possession of firearms and ammunition,216
2024,Kidnapping,44
2024,Malicious damage to property,980
2024,Murder,275
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,189
2024,Robbery at non-residential premises,12
2024,Robbery at residential premises,161
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,968
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,36
2024,Shoplifting,120
2024,Stock-theft,3
2024,Street Robbery,374
2024,TRIO crimes,374
2024,Theft of motor vehicle and motorcycle,120
2024,Theft out of or from motor vehicle,139
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,25
2023,Assault with the intent to inflict grievous bodily harm,671
2023,Attempted murder,164
2023,Attempted sexual offences,13
2023,Bank robbery,0
2023,Burglary at non-residential premises,49
2023,Burglary at residential premises,634
2023,Carjacking,159
2023,Commercial crime,208
2023,Common assault,1039
2023,Common robbery,121
2023,Contact sexual offences,5
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,174
2023,Drug-related crime,2558
2023,Illegal possession of firearms and ammunition,246
2023,Kidnapping,39
2023,Malicious damage to property,830
2023,Murder,277
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,240
2023,Robbery at non-residential premises,13
2023,Robbery at residential premises,133
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,743
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,35
2023,Shoplifting,136
2023,Stock-theft,1
2023,Street Robbery,436
2023,TRIO crimes,305
2023,Theft of motor vehicle and motorcycle,116
2023,Theft out of or from motor vehicle,154
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,32
2022,Assault with the intent to inflict grievous bodily harm,660
2022,Attempted murder,175
2022,Attempted sexual offences,13
2022,Bank robbery,0
2022,Burglary at non-residential premises,52
2022,Burglary at residential premises,576
2022,Carjacking,152
2022,Commercial crime,191
2022,Common assault,1143
2022,Common robbery,140
2022,Contact sexual offences,8
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,74
2022,Drug-related crime,2386
2022,Illegal possession of firearms and ammunition,268
2022,Kidnapping,69
2022,Malicious damage to property,802
2022,Murder,268
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,266
2022,Robbery at non-residential premises,20
2022,Robbery at residential premises,153
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,723
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,68
2022,Shoplifting,98
2022,Stock-theft,0
2022,Street Robbery,396
2022,TRIO crimes,325
2022,Theft of motor vehicle and motorcycle,99
2022,Theft out of or from motor vehicle,173
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,22
2021,Assault with the intent to inflict grievous bodily harm,607
2021,Attempted murder,173
2021,Attempted sexual offences,15
2021,Bank robbery,0
2021,Burglary at non-residential premises,56
2021,Burglary at residential premises,499
2021,Carjacking,183
2021,Commercial crime,124
2021,Common assault,1091
2021,Common robbery,93
2021,Contact sexual offences,3
2021,Crimen Injuria,163
2021,Culpable homicide,14
2021,Driving under the influence of alcohol or drugs,54
2021,Drug-related crime,1304
2021,Illegal possession of firearms and ammunition,182
2021,Kidnapping,63
2021,Malicious damage to property,796
2021,Murder,224
2021,Neglect and ill-treatment of children,12
2021,Public violence,59
2021,Rape,213
2021,Robbery at non-residential premises,31
2021,Robbery at residential premises,146
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,685
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,42
2021,Shoplifting,148
2021,Stock-theft,0
2021,Street Robbery,320
2021,TRIO crimes,360
2021,Theft of motor vehicle and motorcycle,120
2021,Theft out of or from motor vehicle,150
2021,Truck hijacking,5
2020,Abduction,0
2020,Arson,47
2020,Assault with the intent to inflict grievous bodily harm,690
2020,Attempted murder,204
2020,Attempted sexual offences,11
2020,Bank robbery,0
2020,Burglary at non-residential premises,65
2020,Burglary at residential premises,816
2020,Carjacking,139
2020,Commercial crime,117
2020,Common assault,1163
2020,Common robbery,180
2020,Contact sexual offences,2
2020,Crimen Injuria,146
2020,Culpable homicide,21
2020,Driving under the influence of alcohol or drugs,154
2020,Drug-related crime,1857
2020,Illegal possession of firearms and ammunition,182
2020,Kidnapping,50
2020,Malicious damage to property,827
2020,Murder,265
2020,Neglect and ill-treatment of children,42
2020,Public violence,8
2020,Rape,224
2020,Robbery at non-residential premises,12
2020,Robbery at residential premises,149
