year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,64
2024,Attempted murder,23
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,160
2024,Burglary at residential premises,490
2024,Carjacking,4
2024,Commercial crime,659
2024,Common assault,336
2024,Common robbery,79
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,27
2024,Drug-related crime,579
2024,Illegal possession of firearms and ammunition,17
2024,Kidnapping,5
2024,Malicious damage to property,244
2024,Murder,25
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,29
2024,Robbery at non-residential premises,13
2024,Robbery at residential premises,58
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,221
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,10
2024,Shoplifting,55
2024,Stock-theft,3
2024,Street Robbery,76
2024,TRIO crimes,75
2024,Theft of motor vehicle and motorcycle,84
2024,Theft out of or from motor vehicle,479
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,70
2023,Attempted murder,23
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,159
2023,Burglary at residential premises,466
2023,Carjacking,9
2023,Commercial crime,539
2023,Common assault,329
2023,Common robbery,78
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,30
2023,Drug-related crime,771
2023,Illegal possession of firearms and ammunition,9
2023,Kidnapping,6
2023,Malicious damage to property,297
2023,Murder,20
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,39
2023,Robbery at non-residential premises,14
2023,Robbery at residential premises,36
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,150
2023,Sexual Offences detected as a result of police action,3
2023,Sexual assault,7
2023,Shoplifting,61
2023,Stock-theft,2
2023,Street Robbery,91
2023,TRIO crimes,59
2023,Theft of motor vehicle and motorcycle,94
2023,Theft out of or from motor vehicle,424
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,71
2022,Attempted murder,11
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,124
2022,Burglary at residential premises,429
2022,Carjacking,8
2022,Commercial crime,472
2022,Common assault,258
2022,Common robbery,53
2022,Contact sexual offences,7
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,28
2022,Drug-related crime,816
2022,Illegal possession of firearms and ammunition,8
2022,Kidnapping,3
2022,Malicious damage to property,236
2022,Murder,25
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,31
2022,Robbery at non-residential premises,17
2022,Robbery at residential premises,49
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,176
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,15
2022,Shoplifting,54
2022,Stock-theft,7
2022,Street Robbery,102
2022,TRIO crimes,74
2022,Theft of motor vehicle and motorcycle,56
2022,Theft out of or from motor vehicle,301
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,61
2021,Attempted murder,9
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,120
2021,Burglary at residential premises,411
2021,Carjacking,10
2021,Commercial crime,319
2021,Common assault,185
2021,Common robbery,34
2021,Contact sexual offences,1
2021,Crimen Injuria,26
2021,Culpable homicide,7
2021,Driving under the influence of alcohol or drugs,52
2021,Drug-related crime,265
2021,Illegal possession of firearms and ammunition,5
2021,Kidnapping,7
2021,Malicious damage to property,216
2021,Murder,17
2021,Neglect and ill-treatment of children,2
2021,Public violence,2
2021,Rape,35
2021,Robbery at non-residential premises,33
2021,Robbery at residential premises,33
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,165
2021,Sexual Offences detected as a result of police action,2
2021,Sexual assault,17
2021,Shoplifting,48
2021,Stock-theft,6
2021,Street Robbery,87
2021,TRIO crimes,76
2021,Theft of motor vehicle and motorcycle,53
2021,Theft out of or from motor vehicle,309
2021,Truck hijacking,2
2020,Abduction,0
2020,Arson,2
2020,Assault with the intent to inflict grievous bodily harm,64
2020,Attempted murder,10
2020,Attempted sexual offences,2
2020,Bank robbery,0
2020,Burglary at non-residential premises,127
2020,Burglary at residential premises,481
2020,Carjacking,8
2020,Commercial crime,225
2020,Common assault,132
2020,Common robbery,53
2020,Contact sexual offences,1
2020,Crimen Injuria,30
2020,Culpable homicide,11
2020,Driving under the influence of alcohol or drugs,171
2020,Drug-related crime,456
2020,Illegal possession of firearms and ammunition,5
