year,category,value
2024,Abduction,0
2024,Arson,9
2024,Assault with the intent to inflict grievous bodily harm,272
2024,Attempted murder,81
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,123
2024,Burglary at residential premises,186
2024,Carjacking,26
2024,Commercial crime,231
2024,Common assault,746
2024,Common robbery,254
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,68
2024,Drug-related crime,708
2024,Illegal possession of firearms and ammunition,40
2024,Kidnapping,15
2024,Malicious damage to property,640
2024,Murder,48
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,48
2024,Robbery at non-residential premises,11
2024,Robbery at residential premises,14
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,264
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,24
2024,Shoplifting,108
2024,Stock-theft,0
2024,Street Robbery,54
2024,TRIO crimes,51
2024,Theft of motor vehicle and motorcycle,66
2024,Theft out of or from motor vehicle,304
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,11
2023,Assault with the intent to inflict grievous bodily harm,286
2023,Attempted murder,81
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,100
2023,Burglary at residential premises,188
2023,Carjacking,14
2023,Commercial crime,170
2023,Common assault,698
2023,Common robbery,183
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,48
2023,Drug-related crime,599
2023,Illegal possession of firearms and ammunition,51
2023,Kidnapping,4
2023,Malicious damage to property,654
2023,Murder,37
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,35
2023,Robbery at non-residential premises,9
2023,Robbery at residential premises,14
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,222
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,32
2023,Shoplifting,68
2023,Stock-theft,0
2023,Street Robbery,183
2023,TRIO crimes,37
2023,Theft of motor vehicle and motorcycle,49
2023,Theft out of or from motor vehicle,287
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,10
2022,Assault with the intent to inflict grievous bodily harm,221
2022,Attempted murder,99
2022,Attempted sexual offences,5
2022,Bank robbery,2
2022,Burglary at non-residential premises,155
2022,Burglary at residential premises,143
2022,Carjacking,17
2022,Commercial crime,144
2022,Common assault,481
2022,Common robbery,193
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,63
2022,Drug-related crime,525
2022,Illegal possession of firearms and ammunition,59
2022,Kidnapping,9
2022,Malicious damage to property,570
2022,Murder,57
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,38
2022,Robbery at non-residential premises,17
2022,Robbery at residential premises,16
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,195
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,30
2022,Shoplifting,57
2022,Stock-theft,0
2022,Street Robbery,142
2022,TRIO crimes,50
2022,Theft of motor vehicle and motorcycle,42
2022,Theft out of or from motor vehicle,243
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,7
2021,Assault with the intent to inflict grievous bodily harm,223
2021,Attempted murder,207
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,91
2021,Burglary at residential premises,147
2021,Carjacking,15
2021,Commercial crime,92
2021,Common assault,430
2021,Common robbery,146
2021,Contact sexual offences,2
2021,Crimen Injuria,203
2021,Culpable homicide,13
2021,Driving under the influence of alcohol or drugs,10
2021,Drug-related crime,508
2021,Illegal possession of firearms and ammunition,82
2021,Kidnapping,7
2021,Malicious damage to property,531
2021,Murder,87
2021,Neglect and ill-treatment of children,6
2021,Public violence,4
2021,Rape,28
2021,Robbery at non-residential premises,12
2021,Robbery at residential premises,22
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,222
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,25
2021,Shoplifting,90
2021,Stock-theft,0
2021,Street Robbery,168
2021,TRIO crimes,49
2021,Theft of motor vehicle and motorcycle,69
2021,Theft out of or from motor vehicle,231
2021,Truck hijacking,5
2020,Abduction,0
2020,Arson,10
2020,Assault with the intent to inflict grievous bodily harm,284
2020,Attempted murder,137
2020,Attempted sexual offences,0
2020,Bank robbery,0
2020,Burglary at non-residential premises,92
2020,Burglary at residential premises,257
2020,Carjacking,32
2020,Commercial crime,94
2020,Common assault,548
2020,Common robbery,279
2020,Contact sexual offences,2
2020,Crimen Injuria,275
2020,Culpable homicide,8
2020,Driving under the influence of alcohol or drugs,88
2020,Drug-related crime,714
2020,Illegal possession of firearms and ammunition,82
2020,Kidnapping,11
2020,Malicious damage to property,671
2020,Murder,85
2020,Neglect and ill-treatment of children,3
2020,Public violence,1
2020,Rape,35
2020,Robbery at non-residential premises,28
2020,Robbery at residential premises,8
2020,Robbery of cash in transit,1
2020,Robbery with aggravating circumstances,352
2020,Sexual Offences detected as a result of police action,2
2020,Sexual assault,30
2020,Shoplifting,59
2020,Stock-theft,0
2020,Street Robbery,279
2020,TRIO crimes,68
2020,Theft of motor vehicle and motorcycle,61
2020,Theft out of or from motor vehicle,385
2020,Truck hijacking,4
2019,Abduction,2
2019,Arson,17
2019,Assault with the intent to inflict grievous bodily harm,306
2019,Attempted murder,175
2019,Attempted sexual offences,1
2019,Bank robbery,0
2019,Burglary at non-residential premises,114
2019,Burglary at residential premises,278
2019,Carjacking,19
2019,Commercial crime,102
2019,Common assault,563
2019,Common robbery,275
2019,Contact sexual offences,3
2019,Crimen Injuria,338
2019,Culpable homicide,11
2019,Driving under the influence of alcohol or drugs,76
2019,Drug-related crime,1028
2019,Illegal possession of firearms and ammunition,100
2019,Kidnapping,7
2019,Malicious damage to property,735
2019,Murder,90
2019,Neglect and ill-treatment of children,6
2019,Public violence,8
2019,Rape,38
2019,Robbery at non-residential premises,19
2019,Robbery at residential premises,13
2019,Robbery of cash in transit,1
2019,Robbery with aggravating circumstances,287
2019,Sexual Offences detected as a result of police action,2
2019,Sexual assault,32
2019,Shoplifting,44
2019,Stock-theft,0
2019,Street Robbery,228
2019,TRIO crimes,51
2019,Theft of motor vehicle and motorcycle,96
2019,Theft out of or from motor vehicle,402
2019,Truck hijacking,7
2018,Abduction,1
2018,Arson,14
2018,Assault with the intent to inflict grievous bodily harm,294
2018,Attempted murder,129
2018,Attempted sexual offences,0
2018,Bank robbery,0
2018,Burglary at non-residential premises,141
2018,Burglary at residential premises,292
2018,Carjacking,24
2018,Commercial crime,130
2018,Common assault,611
2018,Common robbery,283
2018,Contact sexual offences,1
2018,Crimen Injuria,252
2018,Culpable homicide,8
2018,Driving under the influence of alcohol or drugs,67
2018,Drug-related crime,2459
2018,Illegal possession of firearms and ammunition,75
2018,Kidnapping,5
2018,Malicious damage to property,710
2018,Murder,54
2018,Neglect and ill-treatment of children,10
2018,Public violence,7
2018,Rape,52
2018,Robbery at non-residential premises,25
2018,Robbery at residential premises,22
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,309
2018,Sexual Offences detected as a result of police action,2
2018,Sexual assault,30
2018,Shoplifting,64
2018,Stock-theft,0
2018,Street Robbery,237
2018,TRIO crimes,71
2018,Theft of motor vehicle and motorcycle,149
2018,Theft out of or from motor vehicle,402
2018,Truck hijacking,1
2017,Abduction,3
2017,Arson,9
2017,Assault with the intent to inflict grievous bodily harm,275
2017,Attempted murder,156
2017,Attempted sexual offences,1
2017,Bank robbery,0
2017,Burglary at non-residential premises,216
2017,Burglary at residential premises,276
2017,Carjacking,28
2017,Commercial crime,107
2017,Common assault,532
2017,Common robbery,294
2017,Contact sexual offences,5
2017,Crimen Injuria,230
2017,Culpable homicide,10
2017,Driving under the influence of alcohol or drugs,78
2017,Drug-related crime,1951
2017,Illegal possession of firearms and ammunition,125
2017,Kidnapping,1
2017,Malicious damage to property,681
2017,Murder,65
2017,Neglect and ill-treatment of children,6
2017,Public violence,13
2017,Rape,29
2017,Robbery at non-residential premises,19
2017,Robbery at residential premises,8
2017,Robbery of cash in transit,0
2017,Robbery with aggravating circumstances,327
2017,Sexual Offences detected as a result of police action,2
2017,Sexual assault,12
2017,Shoplifting,71
2017,Stock-theft,0
2017,Street Robbery,271
2017,TRIO crimes,55
2017,Theft of motor vehicle and motorcycle,153
2017,Theft out of or from motor vehicle,444
2017,Truck hijacking,1
2016,Arson,13
2016,Assault with the intent to inflict grievous bodily harm,319
2016,Attempted murder,163
2016,Attempted sexual offences,1
2016,Bank robbery,0
2016,Burglary at non-residential premises,204
2016,Burglary at residential premises,292
2016,Carjacking,19
2016,Commercial crime,123
2016,Common assault,619
2016,Common robbery,240
2016,Contact sexual offences,3
2016,Crimen Injuria,0
2016,Culpable homicide,0
2016,Driving under the influence of alcohol or drugs,66
2016,Drug-related crime,1497
2016,Illegal possession of firearms and ammunition,83
2016,Kidnapping,8
2016,Malicious damage to property,757
2016,Murder,58
2016,Neglect and ill-treatment of children,0
2016,Public violence,0
2016,Rape,46
2016,Robbery at non-residential premises,26
2016,Robbery at residential premises,8
2016,Robbery of cash in transit,0
2016,Robbery with aggravating circumstances,312
2016,Sexual Offences detected as a result of police action,0
2016,Sexual assault,30
2016,Shoplifting,88
2016,Stock-theft,0
2016,Street Robbery,258
2016,TRIO crimes,53
2016,Theft of motor vehicle and motorcycle,156
2016,Theft out of or from motor vehicle,543
2016,Truck hijacking,1
2015,Arson,19
2015,Assault with the intent to inflict grievous bodily harm,384
2015,Attempted murder,225
2015,Attempted sexual offences,1
2015,Bank robbery,0
2015,Burglary at non-residential premises,192
2015,Burglary at residential premises,305
2015,Carjacking,17
2015,Commercial crime,107
2015,Common assault,660
2015,Common robbery,275
2015,Contact sexual offences,7
2015,Crimen Injuria,307
2015,Culpable homicide,7
2015,Driving under the influence of alcohol or drugs,161
2015,Drug-related crime,1406
2015,Illegal possession of firearms and ammunition,92
2015,Kidnapping,8
2015,Malicious damage to property,828
2015,Murder,69
2015,Neglect and ill-treatment of children,20
2015,Public violence,0
2015,Rape,61
2015,Robbery at non-residential premises,29
2015,Robbery at residential premises,16
2015,Robbery of cash in transit,0
2015,Robbery with aggravating circumstances,361
2015,Sexual Offences detected as a result of police action,1
2015,Sexual assault,26
2015,Shoplifting,121
2015,Stock-theft,0
2015,Street Robbery,298
2015,TRIO crimes,62
2015,Theft of motor vehicle and motorcycle,127
2015,Theft out of or from motor vehicle,501
2015,Truck hijacking,1
2014,Arson,9
2014,Assault with the intent to inflict grievous bodily harm,342
2014,Attempted murder,178
2014,Attempted sexual offences,2
2014,Bank robbery,0
2014,Burglary at non-residential premises,245
2014,Burglary at residential premises,308
2014,Carjacking,15
2014,Commercial crime,120
2014,Common assault,546
2014,Common robbery,226
2014,Contact sexual offences,8
2014,Crimen Injuria,202
2014,Culpable homicide,10
2014,Driving under the influence of alcohol or drugs,160
2014,Drug-related crime,1354
2014,Illegal possession of firearms and ammunition,94
2014,Kidnapping,7
2014,Malicious damage to property,592
2014,Murder,60
2014,Neglect and ill-treatment of children,22
2014,Public violence,0
2014,Rape,71
2014,Robbery at non-residential premises,28
2014,Robbery at residential premises,5
2014,Robbery of cash in transit,0
2014,Robbery with aggravating circumstances,303
2014,Sexual Offences detected as a result of police action,0
2014,Sexual assault,14
2014,Shoplifting,87
2014,Stock-theft,0
2014,Street Robbery,255
2014,TRIO crimes,48
2014,Theft of motor vehicle and motorcycle,136
2014,Theft out of or from motor vehicle,503
2014,Truck hijacking,0
2013,Arson,7
2013,Assault with the intent to inflict grievous bodily harm,320
2013,Attempted murder,159
2013,Attempted sexual offences,2
2013,Bank robbery,0
2013,Burglary at non-residential premises,205
2013,Burglary at residential premises,299
2013,Carjacking,13
2013,Commercial crime,129
2013,Common assault,503
2013,Common robbery,256
2013,Contact sexual offences,6
2013,Crimen Injuria,208
2013,Culpable homicide,12
2013,Driving under the influence of alcohol or drugs,203
2013,Drug-related crime,1944
2013,Illegal possession of firearms and ammunition,97
2013,Kidnapping,4
2013,Malicious damage to property,626
2013,Murder,40
2013,Neglect and ill-treatment of children,13
2013,Public violence,0
2013,Rape,67
2013,Robbery at non-residential premises,23
2013,Robbery at residential premises,8
2013,Robbery of cash in transit,0
2013,Robbery with aggravating circumstances,282
2013,Sexual Offences detected as a result of police action,0
2013,Sexual assault,22
2013,Shoplifting,131
2013,Stock-theft,0
2013,Street Robbery,238
2013,TRIO crimes,44
2013,Theft of motor vehicle and motorcycle,83
2013,Theft out of or from motor vehicle,410
2013,Truck hijacking,0
