year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,75
2024,Attempted murder,16
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,76
2024,Burglary at residential premises,186
2024,Carjacking,30
2024,Commercial crime,426
2024,Common assault,283
2024,Common robbery,319
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,210
2024,Drug-related crime,274
2024,Illegal possession of firearms and ammunition,7
2024,Kidnapping,9
2024,Malicious damage to property,180
2024,Murder,7
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,28
2024,Robbery at non-residential premises,16
2024,Robbery at residential premises,16
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,285
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,12
2024,Shoplifting,232
2024,Stock-theft,0
2024,Street Robbery,64
2024,TRIO crimes,62
2024,Theft of motor vehicle and motorcycle,157
2024,Theft out of or from motor vehicle,472
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,62
2023,Attempted murder,9
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,58
2023,Burglary at residential premises,272
2023,Carjacking,21
2023,Commercial crime,361
2023,Common assault,266
2023,Common robbery,220
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,219
2023,Drug-related crime,407
2023,Illegal possession of firearms and ammunition,7
2023,Kidnapping,7
2023,Malicious damage to property,140
2023,Murder,7
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,26
2023,Robbery at non-residential premises,18
2023,Robbery at residential premises,7
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,214
2023,Sexual Offences detected as a result of police action,3
2023,Sexual assault,13
2023,Shoplifting,253
2023,Stock-theft,0
2023,Street Robbery,166
2023,TRIO crimes,46
2023,Theft of motor vehicle and motorcycle,122
2023,Theft out of or from motor vehicle,360
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,2
2022,Assault with the intent to inflict grievous bodily harm,58
2022,Attempted murder,9
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,57
2022,Burglary at residential premises,238
2022,Carjacking,10
2022,Commercial crime,300
2022,Common assault,235
2022,Common robbery,171
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,60
2022,Drug-related crime,305
2022,Illegal possession of firearms and ammunition,9
2022,Kidnapping,11
2022,Malicious damage to property,129
2022,Murder,5
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,32
2022,Robbery at non-residential premises,21
2022,Robbery at residential premises,8
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,214
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,11
2022,Shoplifting,239
2022,Stock-theft,0
2022,Street Robbery,171
2022,TRIO crimes,39
2022,Theft of motor vehicle and motorcycle,97
2022,Theft out of or from motor vehicle,333
2022,Truck hijacking,3
2021,Abduction,0
2021,Arson,1
