year,category,value
2024,Abduction,0
2024,Arson,10
2024,Assault with the intent to inflict grievous bodily harm,420
2024,Attempted murder,126
2024,Attempted sexual offences,8
2024,Bank robbery,0
2024,Burglary at non-residential premises,46
2024,Burglary at residential premises,170
2024,Carjacking,123
2024,Commercial crime,139
2024,Common assault,579
2024,Common robbery,119
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,33
2024,Drug-related crime,968
2024,Illegal possession of firearms and ammunition,94
2024,Kidnapping,33
2024,Malicious damage to property,466
2024,Murder,259
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,116
2024,Robbery at non-residential premises,34
2024,Robbery at residential premises,108
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,599
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,30
2024,Shoplifting,61
2024,Stock-theft,0
2024,Street Robbery,266
2024,TRIO crimes,265
2024,Theft of motor vehicle and motorcycle,38
2024,Theft out of or from motor vehicle,83
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,15
2023,Assault with the intent to inflict grievous bodily harm,451
2023,Attempted murder,80
2023,Attempted sexual offences,14
2023,Bank robbery,0
2023,Burglary at non-residential premises,44
2023,Burglary at residential premises,189
2023,Carjacking,156
2023,Commercial crime,154
2023,Common assault,594
2023,Common robbery,83
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,89
2023,Drug-related crime,844
2023,Illegal possession of firearms and ammunition,75
2023,Kidnapping,42
2023,Malicious damage to property,495
2023,Murder,165
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,142
2023,Robbery at non-residential premises,38
2023,Robbery at residential premises,126
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,599
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,36
2023,Shoplifting,36
2023,Stock-theft,0
2023,Street Robbery,268
2023,TRIO crimes,320
2023,Theft of motor vehicle and motorcycle,43
2023,Theft out of or from motor vehicle,93
2023,Truck hijacking,10
2022,Abduction,0
2022,Arson,11
2022,Assault with the intent to inflict grievous bodily harm,448
2022,Attempted murder,92
2022,Attempted sexual offences,9
2022,Bank robbery,1
2022,Burglary at non-residential premises,67
2022,Burglary at residential premises,212
2022,Carjacking,141
2022,Commercial crime,145
2022,Common assault,646
2022,Common robbery,87
2022,Contact sexual offences,4
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,11
2022,Drug-related crime,970
2022,Illegal possession of firearms and ammunition,62
2022,Kidnapping,68
2022,Malicious damage to property,457
2022,Murder,165
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,163
2022,Robbery at non-residential premises,37
2022,Robbery at residential premises,129
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,524
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,39
2022,Shoplifting,115
2022,Stock-theft,0
2022,Street Robbery,213
2022,TRIO crimes,307
2022,Theft of motor vehicle and motorcycle,37
2022,Theft out of or from motor vehicle,85
2022,Truck hijacking,2
2021,Abduction,0
2021,Arson,11
2021,Assault with the intent to inflict grievous bodily harm,392
2021,Attempted murder,75
2021,Attempted sexual offences,6
2021,Bank robbery,0
2021,Burglary at non-residential premises,64
2021,Burglary at residential premises,206
2021,Carjacking,165
2021,Commercial crime,157
2021,Common assault,458
2021,Common robbery,94
2021,Contact sexual offences,3
2021,Crimen Injuria,63
2021,Culpable homicide,14
2021,Driving under the influence of alcohol or drugs,9
2021,Drug-related crime,538
2021,Illegal possession of firearms and ammunition,39
2021,Kidnapping,26
2021,Malicious damage to property,368
2021,Murder,145
2021,Neglect and ill-treatment of children,4
2021,Public violence,0
2021,Rape,133
2021,Robbery at non-residential premises,29
2021,Robbery at residential premises,147
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,591
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,34
2021,Shoplifting,79
2021,Stock-theft,0
2021,Street Robbery,247
2021,TRIO crimes,341
2021,Theft of motor vehicle and motorcycle,50
2021,Theft out of or from motor vehicle,134
2021,Truck hijacking,2
2020,Abduction,0
2020,Arson,9
2020,Assault with the intent to inflict grievous bodily harm,489
2020,Attempted murder,75
2020,Attempted sexual offences,10
2020,Bank robbery,0
2020,Burglary at non-residential premises,61
2020,Burglary at residential premises,306
2020,Carjacking,172
2020,Commercial crime,120
2020,Common assault,472
2020,Common robbery,110
2020,Contact sexual offences,2
2020,Crimen Injuria,64
2020,Culpable homicide,13
2020,Driving under the influence of alcohol or drugs,152
2020,Drug-related crime,1272
2020,Illegal possession of firearms and ammunition,39
2020,Kidnapping,25
2020,Malicious damage to property,450
2020,Murder,157
2020,Neglect and ill-treatment of children,8
2020,Public violence,10
2020,Rape,153
2020,Robbery at non-residential premises,43
2020,Robbery at residential premises,99
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,671
2020,Sexual Offences detected as a result of police action,1
2020,Sexual assault,43
2020,Shoplifting,85
2020,Stock-theft,0
2020,Street Robbery,353
2020,TRIO crimes,314
2020,Theft of motor vehicle and motorcycle,69
2020,Theft out of or from motor vehicle,165
2020,Truck hijacking,4
2019,Abduction,3
2019,Arson,10
2019,Assault with the intent to inflict grievous bodily harm,511
2019,Attempted murder,83
2019,Attempted sexual offences,8
2019,Bank robbery,0
2019,Burglary at non-residential premises,39
2019,Burglary at residential premises,315
2019,Carjacking,153
2019,Commercial crime,105
2019,Common assault,470
2019,Common robbery,92
2019,Contact sexual offences,8
2019,Crimen Injuria,55
2019,Culpable homicide,15
2019,Driving under the influence of alcohol or drugs,225
2019,Drug-related crime,1801
2019,Illegal possession of firearms and ammunition,91
2019,Kidnapping,14
2019,Malicious damage to property,398
2019,Murder,155
2019,Neglect and ill-treatment of children,7
2019,Public violence,6
2019,Rape,134
2019,Robbery at non-residential premises,38
2019,Robbery at residential premises,109
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,576
