year,category,value
2024,Abduction,0
2024,Arson,24
2024,Assault with the intent to inflict grievous bodily harm,626
2024,Attempted murder,102
2024,Attempted sexual offences,18
2024,Bank robbery,0
2024,Burglary at non-residential premises,42
2024,Burglary at residential premises,334
2024,Carjacking,385
2024,Commercial crime,168
2024,Common assault,877
2024,Common robbery,102
2024,Contact sexual offences,7
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,162
2024,Drug-related crime,1036
2024,Illegal possession of firearms and ammunition,97
2024,Kidnapping,46
2024,Malicious damage to property,532
2024,Murder,227
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,208
2024,Robbery at non-residential premises,24
2024,Robbery at residential premises,159
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,1299
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,54
2024,Shoplifting,43
2024,Stock-theft,0
2024,Street Robbery,569
2024,TRIO crimes,568
2024,Theft of motor vehicle and motorcycle,131
2024,Theft out of or from motor vehicle,129
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,33
2023,Assault with the intent to inflict grievous bodily harm,652
2023,Attempted murder,83
2023,Attempted sexual offences,20
2023,Bank robbery,0
2023,Burglary at non-residential premises,61
2023,Burglary at residential premises,402
2023,Carjacking,353
2023,Commercial crime,133
2023,Common assault,934
2023,Common robbery,127
2023,Contact sexual offences,6
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,144
2023,Drug-related crime,757
2023,Illegal possession of firearms and ammunition,99
2023,Kidnapping,39
2023,Malicious damage to property,504
2023,Murder,203
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,220
2023,Robbery at non-residential premises,24
2023,Robbery at residential premises,138
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,958
2023,Sexual Offences detected as a result of police action,2
2023,Sexual assault,32
2023,Shoplifting,53
2023,Stock-theft,0
2023,Street Robbery,439
2023,TRIO crimes,515
2023,Theft of motor vehicle and motorcycle,131
2023,Theft out of or from motor vehicle,63
2023,Truck hijacking,3
2022,Abduction,0
2022,Arson,24
2022,Assault with the intent to inflict grievous bodily harm,520
2022,Attempted murder,96
2022,Attempted sexual offences,18
2022,Bank robbery,0
2022,Burglary at non-residential premises,50
2022,Burglary at residential premises,320
2022,Carjacking,360
2022,Commercial crime,130
2022,Common assault,936
2022,Common robbery,91
2022,Contact sexual offences,6
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,146
2022,Drug-related crime,620
2022,Illegal possession of firearms and ammunition,65
2022,Kidnapping,37
2022,Malicious damage to property,415
2022,Murder,218
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,213
2022,Robbery at non-residential premises,50
2022,Robbery at residential premises,184
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,877
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,25
2022,Shoplifting,36
2022,Stock-theft,0
2022,Street Robbery,275
2022,TRIO crimes,594
2022,Theft of motor vehicle and motorcycle,153
2022,Theft out of or from motor vehicle,77
2022,Truck hijacking,8
2021,Abduction,0
2021,Arson,24
2021,Assault with the intent to inflict grievous bodily harm,406
2021,Attempted murder,83
2021,Attempted sexual offences,10
2021,Bank robbery,0
2021,Burglary at non-residential premises,65
2021,Burglary at residential premises,285
2021,Carjacking,197
2021,Commercial crime,121
2021,Common assault,689
2021,Common robbery,85
2021,Contact sexual offences,4
2021,Crimen Injuria,29
2021,Culpable homicide,21
2021,Driving under the influence of alcohol or drugs,60
2021,Drug-related crime,415
2021,Illegal possession of firearms and ammunition,41
2021,Kidnapping,21
2021,Malicious damage to property,501
2021,Murder,189
2021,Neglect and ill-treatment of children,8
2021,Public violence,26
2021,Rape,198
2021,Robbery at non-residential premises,26
2021,Robbery at residential premises,173
2021,Robbery of cash in transit,2
2021,Robbery with aggravating circumstances,607
2021,Sexual Offences detected as a result of police action,3
2021,Sexual assault,29
2021,Shoplifting,12
2021,Stock-theft,0
2021,Street Robbery,207
2021,TRIO crimes,396
2021,Theft of motor vehicle and motorcycle,150
2021,Theft out of or from motor vehicle,74
2021,Truck hijacking,2
2020,Abduction,0
2020,Arson,28
2020,Assault with the intent to inflict grievous bodily harm,497
2020,Attempted murder,93
2020,Attempted sexual offences,6
2020,Bank robbery,0
2020,Burglary at non-residential premises,110
2020,Burglary at residential premises,398
2020,Carjacking,186
2020,Commercial crime,76
2020,Common assault,738
2020,Common robbery,105
2020,Contact sexual offences,2
2020,Crimen Injuria,39
2020,Culpable homicide,34
2020,Driving under the influence of alcohol or drugs,344
2020,Drug-related crime,827
2020,Illegal possession of firearms and ammunition,41
2020,Kidnapping,19
2020,Malicious damage to property,425
2020,Murder,162
2020,Neglect and ill-treatment of children,11
2020,Public violence,16
2020,Rape,168
2020,Robbery at non-residential premises,50
2020,Robbery at residential premises,128
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,725
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,15
2020,Shoplifting,10
2020,Stock-theft,0
2020,Street Robbery,355
2020,TRIO crimes,364
