year,category,value
2024,Abduction,0
2024,Arson,16
2024,Assault with the intent to inflict grievous bodily harm,466
2024,Attempted murder,143
2024,Attempted sexual offences,15
2024,Bank robbery,0
2024,Burglary at non-residential premises,44
2024,Burglary at residential premises,241
2024,Carjacking,174
2024,Commercial crime,136
2024,Common assault,841
2024,Common robbery,101
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,109
2024,Drug-related crime,1226
2024,Illegal possession of firearms and ammunition,74
2024,Kidnapping,53
2024,Malicious damage to property,461
2024,Murder,209
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,130
2024,Robbery at non-residential premises,26
2024,Robbery at residential premises,129
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,1109
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,24
2024,Shoplifting,217
2024,Stock-theft,1
2024,Street Robbery,329
2024,TRIO crimes,329
2024,Theft of motor vehicle and motorcycle,35
2024,Theft out of or from motor vehicle,56
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,9
2023,Assault with the intent to inflict grievous bodily harm,387
2023,Attempted murder,110
2023,Attempted sexual offences,11
2023,Bank robbery,0
2023,Burglary at non-residential premises,47
2023,Burglary at residential premises,239
2023,Carjacking,149
2023,Commercial crime,133
2023,Common assault,820
2023,Common robbery,127
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,56
2023,Drug-related crime,948
2023,Illegal possession of firearms and ammunition,94
2023,Kidnapping,36
2023,Malicious damage to property,478
2023,Murder,167
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,138
2023,Robbery at non-residential premises,24
2023,Robbery at residential premises,123
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,1122
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,26
2023,Shoplifting,217
2023,Stock-theft,0
2023,Street Robbery,822
2023,TRIO crimes,296
2023,Theft of motor vehicle and motorcycle,35
2023,Theft out of or from motor vehicle,54
2023,Truck hijacking,4
2022,Abduction,0
2022,Arson,16
2022,Assault with the intent to inflict grievous bodily harm,392
2022,Attempted murder,123
2022,Attempted sexual offences,9
2022,Bank robbery,0
2022,Burglary at non-residential premises,74
2022,Burglary at residential premises,221
2022,Carjacking,117
2022,Commercial crime,167
2022,Common assault,896
2022,Common robbery,140
2022,Contact sexual offences,4
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,46
2022,Drug-related crime,497
2022,Illegal possession of firearms and ammunition,101
2022,Kidnapping,27
2022,Malicious damage to property,447
2022,Murder,197
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,119
2022,Robbery at non-residential premises,54
2022,Robbery at residential premises,148
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,1060
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,15
2022,Shoplifting,116
2022,Stock-theft,0
2022,Street Robbery,738
2022,TRIO crimes,319
2022,Theft of motor vehicle and motorcycle,46
2022,Theft out of or from motor vehicle,60
2022,Truck hijacking,3
2021,Abduction,0
2021,Arson,12
2021,Assault with the intent to inflict grievous bodily harm,368
2021,Attempted murder,173
2021,Attempted sexual offences,7
2021,Bank robbery,0
2021,Burglary at non-residential premises,64
2021,Burglary at residential premises,240
2021,Carjacking,170
2021,Commercial crime,143
2021,Common assault,859
2021,Common robbery,140
2021,Contact sexual offences,5
2021,Crimen Injuria,85
2021,Culpable homicide,32
2021,Driving under the influence of alcohol or drugs,34
2021,Drug-related crime,353
2021,Illegal possession of firearms and ammunition,82
2021,Kidnapping,36
2021,Malicious damage to property,567
2021,Murder,265
2021,Neglect and ill-treatment of children,4
2021,Public violence,12
2021,Rape,133
2021,Robbery at non-residential premises,50
2021,Robbery at residential premises,186
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,1213
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,20
2021,Shoplifting,110
2021,Stock-theft,0
2021,Street Robbery,794
2021,TRIO crimes,406
2021,Theft of motor vehicle and motorcycle,41
2021,Theft out of or from motor vehicle,91
2021,Truck hijacking,13
2020,Abduction,0
2020,Arson,12
2020,Assault with the intent to inflict grievous bodily harm,496
2020,Attempted murder,146
2020,Attempted sexual offences,13
2020,Bank robbery,0
2020,Burglary at non-residential premises,63
2020,Burglary at residential premises,386
2020,Carjacking,180
2020,Commercial crime,164
2020,Common assault,942
2020,Common robbery,193
2020,Contact sexual offences,4
2020,Crimen Injuria,84
2020,Culpable homicide,39
2020,Driving under the influence of alcohol or drugs,229
2020,Drug-related crime,635
2020,Illegal possession of firearms and ammunition,82
2020,Kidnapping,20
2020,Malicious damage to property,498
2020,Murder,251
2020,Neglect and ill-treatment of children,3
2020,Public violence,3
2020,Rape,130
2020,Robbery at non-residential premises,72
2020,Robbery at residential premises,137
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,1335
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,14
2020,Shoplifting,166
