year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,21
2024,Attempted murder,1
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,44
2024,Burglary at residential premises,112
2024,Carjacking,2
2024,Commercial crime,293
2024,Common assault,76
2024,Common robbery,27
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,41
2024,Drug-related crime,63
2024,Illegal possession of firearms and ammunition,1
2024,Kidnapping,0
2024,Malicious damage to property,88
2024,Murder,8
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,18
2024,Robbery at non-residential premises,4
2024,Robbery at residential premises,6
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,51
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,3
2024,Shoplifting,114
2024,Stock-theft,0
2024,Street Robbery,13
2024,TRIO crimes,12
2024,Theft of motor vehicle and motorcycle,40
2024,Theft out of or from motor vehicle,166
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,22
2023,Attempted murder,4
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,50
2023,Burglary at residential premises,104
2023,Carjacking,4
2023,Commercial crime,228
2023,Common assault,94
2023,Common robbery,30
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,26
2023,Drug-related crime,66
2023,Illegal possession of firearms and ammunition,3
2023,Kidnapping,2
2023,Malicious damage to property,52
2023,Murder,4
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,22
2023,Robbery at non-residential premises,4
2023,Robbery at residential premises,3
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,61
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,106
2023,Stock-theft,0
2023,Street Robbery,50
2023,TRIO crimes,11
2023,Theft of motor vehicle and motorcycle,37
2023,Theft out of or from motor vehicle,148
