year,category,value
2024,Abduction,0
2024,Arson,16
2024,Assault with the intent to inflict grievous bodily harm,560
2024,Attempted murder,128
2024,Attempted sexual offences,7
2024,Bank robbery,0
2024,Burglary at non-residential premises,100
2024,Burglary at residential premises,678
2024,Carjacking,60
2024,Commercial crime,520
2024,Common assault,1159
2024,Common robbery,198
2024,Contact sexual offences,6
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,232
2024,Drug-related crime,3182
2024,Illegal possession of firearms and ammunition,111
2024,Kidnapping,40
2024,Malicious damage to property,701
2024,Murder,165
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,189
2024,Robbery at non-residential premises,60
2024,Robbery at residential premises,88
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,782
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,27
2024,Shoplifting,167
2024,Stock-theft,6
2024,Street Robbery,213
2024,TRIO crimes,208
2024,Theft of motor vehicle and motorcycle,157
2024,Theft out of or from motor vehicle,351
2024,Truck hijacking,5
2023,Abduction,0
2023,Arson,23
2023,Assault with the intent to inflict grievous bodily harm,512
2023,Attempted murder,116
2023,Attempted sexual offences,7
2023,Bank robbery,0
2023,Burglary at non-residential premises,140
2023,Burglary at residential premises,623
2023,Carjacking,47
2023,Commercial crime,403
2023,Common assault,997
2023,Common robbery,195
2023,Contact sexual offences,5
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,198
2023,Drug-related crime,3201
2023,Illegal possession of firearms and ammunition,120
2023,Kidnapping,24
2023,Malicious damage to property,659
2023,Murder,210
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,175
2023,Robbery at non-residential premises,57
2023,Robbery at residential premises,97
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,602
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,34
2023,Shoplifting,166
2023,Stock-theft,4
2023,Street Robbery,397
2023,TRIO crimes,201
2023,Theft of motor vehicle and motorcycle,137
2023,Theft out of or from motor vehicle,361
2023,Truck hijacking,4
2022,Abduction,0
2022,Arson,17
2022,Assault with the intent to inflict grievous bodily harm,417
2022,Attempted murder,142
2022,Attempted sexual offences,4
2022,Bank robbery,0
2022,Burglary at non-residential premises,125
2022,Burglary at residential premises,648
2022,Carjacking,75
2022,Commercial crime,387
2022,Common assault,857
2022,Common robbery,168
2022,Contact sexual offences,13
2022,Crimen Injuria,-1
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,117
2022,Drug-related crime,2630
2022,Illegal possession of firearms and ammunition,135
2022,Kidnapping,25
2022,Malicious damage to property,598
2022,Murder,237
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,151
2022,Robbery at non-residential premises,69
2022,Robbery at residential premises,161
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,655
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,29
2022,Shoplifting,106
2022,Stock-theft,9
2022,Street Robbery,345
2022,TRIO crimes,305
2022,Theft of motor vehicle and motorcycle,127
2022,Theft out of or from motor vehicle,310
2022,Truck hijacking,5
2021,Abduction,0
2021,Arson,16
2021,Assault with the intent to inflict grievous bodily harm,395
2021,Attempted murder,188
2021,Attempted sexual offences,6
2021,Bank robbery,0
2021,Burglary at non-residential premises,153
2021,Burglary at residential premises,750
2021,Carjacking,46
2021,Commercial crime,333
2021,Common assault,909
2021,Common robbery,148
2021,Contact sexual offences,5
2021,Crimen Injuria,100
2021,Culpable homicide,25
2021,Driving under the influence of alcohol or drugs,101
2021,Drug-related crime,1084
2021,Illegal possession of firearms and ammunition,147
2021,Kidnapping,18
2021,Malicious damage to property,630
2021,Murder,196
2021,Neglect and ill-treatment of children,5
2021,Public violence,23
2021,Rape,165
2021,Robbery at non-residential premises,51
2021,Robbery at residential premises,157
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,618
2021,Sexual Offences detected as a result of police action,1
2021,Sexual assault,31
2021,Shoplifting,93
2021,Stock-theft,9
2021,Street Robbery,357
2021,TRIO crimes,254
2021,Theft of motor vehicle and motorcycle,117
2021,Theft out of or from motor vehicle,406
2021,Truck hijacking,7
2020,Abduction,0
2020,Arson,16
2020,Assault with the intent to inflict grievous bodily harm,453
2020,Attempted murder,88
2020,Attempted sexual offences,2
2020,Bank robbery,0
2020,Burglary at non-residential premises,139
2020,Burglary at residential premises,850
2020,Carjacking,44
2020,Commercial crime,251
2020,Common assault,1057
2020,Common robbery,222
2020,Contact sexual offences,3
2020,Crimen Injuria,143
2020,Culpable homicide,38
2020,Driving under the influence of alcohol or drugs,321
2020,Drug-related crime,3082
2020,Illegal possession of firearms and ammunition,147
2020,Kidnapping,35
2020,Malicious damage to property,662
2020,Murder,137
2020,Neglect and ill-treatment of children,4
2020,Public violence,5
2020,Rape,175
2020,Robbery at non-residential premises,36
2020,Robbery at residential premises,87
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,661
2020,Sexual Offences detected as a result of police action,1
2020,Sexual assault,36
2020,Shoplifting,133
