year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,51
2024,Attempted murder,15
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,44
2024,Burglary at residential premises,159
2024,Carjacking,18
2024,Commercial crime,249
2024,Common assault,143
2024,Common robbery,56
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,53
2024,Drug-related crime,164
2024,Illegal possession of firearms and ammunition,3
2024,Kidnapping,0
2024,Malicious damage to property,162
2024,Murder,7
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,9
2024,Robbery at non-residential premises,15
2024,Robbery at residential premises,12
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,137
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,12
2024,Shoplifting,20
2024,Stock-theft,0
2024,Street Robbery,47
2024,TRIO crimes,45
2024,Theft of motor vehicle and motorcycle,39
2024,Theft out of or from motor vehicle,205
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,49
2023,Attempted murder,12
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,76
2023,Burglary at residential premises,164
2023,Carjacking,13
2023,Commercial crime,202
2023,Common assault,134
2023,Common robbery,71
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,48
2023,Drug-related crime,511
2023,Illegal possession of firearms and ammunition,7
2023,Kidnapping,6
2023,Malicious damage to property,150
2023,Murder,11
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,13
2023,Robbery at non-residential premises,19
2023,Robbery at residential premises,10
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,128
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,10
2023,Shoplifting,17
2023,Stock-theft,0
2023,Street Robbery,86
2023,TRIO crimes,42
2023,Theft of motor vehicle and motorcycle,63
2023,Theft out of or from motor vehicle,123
